condition,true_e,mae,median_abs_error,p95_abs_error,mean_e_hat,std_e_hat
sparse_full_medium_noise,0.3,0.0014618496781100088,0.0012256195552343419,0.003551394187218222,0.30003487064615103,0.0018133399522064868
sparse_full_medium_noise,0.35,0.0015757487597136007,0.0013950476029035153,0.003870262429230034,0.35009105910982075,0.001967708622845359
sparse_full_medium_noise,0.4,0.0018300737415879993,0.0014474588502805252,0.004461698802112551,0.3999262473958624,0.0022811133328327015
sparse_full_medium_noise,0.45,0.0020156770301237976,0.0016575587563693595,0.004992971367258907,0.4497608703725626,0.002525553378644381
sparse_full_medium_noise,0.5,0.0022192822244091297,0.0018915747833135321,0.005196279302706774,0.4998510834150702,0.0027677671185175248
sparse_full_medium_noise,0.55,0.0024404679818487577,0.001979197127317145,0.0060132301662011904,0.5499678657845632,0.003052336691801856
sparse_full_medium_noise,0.6,0.0025514055556831285,0.002060895180998612,0.006484751137070521,0.6000472619999924,0.003235004846801744
sparse_full_medium_noise,0.65,0.002716646070985603,0.002375067075701842,0.006382338174114631,0.649973411744867,0.003340756595822999
sparse_full_medium_noise,0.7,0.002752931428878258,0.002399235784364351,0.006477961318769447,0.6997782434344716,0.003376349572114716
sparse_full_medium_noise,0.75,0.002740783485989817,0.002306517754086135,0.006607576659088575,0.7496468512524196,0.003367044299791002
sparse_full_medium_noise,0.8,0.00277586321689813,0.002325502362898857,0.006745644740313121,0.7998436922015565,0.003499441832980922
sparse_full_medium_noise,0.85,0.0027638974705099482,0.0023133641392577564,0.006892966967012636,0.8497455969859411,0.0034375644741404775
sparse_full_medium_noise,0.9,0.002521340307869018,0.0021310193256008914,0.005930486389053023,0.9000013030371061,0.0031386933555394964
sparse_partial_high_noise,0.1,0.0008094117987245934,0.0006656433382033686,0.002041747149883356,0.10004896797452299,0.001025405226926289
sparse_partial_high_noise,0.15,0.001243275497382764,0.001049327658557947,0.00316525427662405,0.14988023033087242,0.0015806651044193351
sparse_partial_high_noise,0.2,0.001592499686887768,0.0013280206645090303,0.004010189845719631,0.20015173155379956,0.0020041081903359324
sparse_partial_high_noise,0.25,0.002036521726570412,0.001705192811374337,0.005224815147645527,0.24987373071162428,0.002570067962122948
sparse_partial_high_noise,0.3,0.002352639481974309,0.0020139951170674575,0.005637907959737555,0.2997604643671731,0.0029338219358558742
sparse_partial_high_noise,0.35,0.002898828495288967,0.002304034612167244,0.0073586235676477065,0.349703905631978,0.003637119539077754
sparse_partial_high_noise,0.4,0.0031304020284015333,0.0026603886563873747,0.007395049543278149,0.4000169989290042,0.0038835532255478526
sparse_partial_high_noise,0.45,0.0035976092547317174,0.0030655446357026606,0.008089796013685327,0.44975768551676937,0.004390609965944965
sparse_partial_high_noise,0.5,0.003982654639215263,0.0033128957411945326,0.009658024710911104,0.49959725819213713,0.004905100273284862
sparse_partial_high_noise,0.55,0.0039035391146839205,0.0032330568414968286,0.00967165455682395,0.5500265987613386,0.004904873008730431
sparse_partial_high_noise,0.6,0.004402816049338091,0.003736602716334969,0.010570434826208506,0.6002115276844696,0.005548093114280733
sparse_partial_high_noise,0.65,0.0045226320208726365,0.003746380410104888,0.011340190594548891,0.6497673680971553,0.005739497331230611
sparse_partial_high_noise,0.7,0.004737129928493604,0.003971526612119802,0.011707330387380295,0.699670249700222,0.005949435944123453
