condition,alpha_strength_bin,geometry_skew_bin,count,baseline_alpha_error_mean,oracle_alpha_error_mean,harmonic_alpha_error_mean,pca_alpha_error_mean,harmonic_alignment_clean_rmse_mean,pca_alignment_clean_rmse_mean,oracle_headroom_mean,harmonic_fraction_of_oracle_gain_mean,pca_fraction_of_oracle_gain_mean,harmonic_improves_alpha_fraction,pca_improves_alpha_fraction
partial_arc_noisy,moderate,low_skew,5,0.14018908330524582,0.027097612570034225,0.22927617517029536,0.19474246217944613,0.11542111874667745,0.10976934780713236,0.1130914707352116,-0.7877436846995732,-0.48238278730966083,0.4,0.4
partial_arc_noisy,moderate,mid_skew,6,0.31445009860168166,0.0284196809781823,0.20825566173360274,0.13132177988047608,0.09533995374421779,0.08807569392368363,0.28603041762349934,0.37126973330459634,0.6402407137070877,0.5,0.8333333333333334
partial_arc_noisy,moderate,high_skew,9,0.2290844624960745,0.031478224120280084,0.20956563774756753,0.209456561860042,0.08732083085659198,0.0820849328821495,0.1976062383757944,0.09877635903066666,0.09932834508344555,0.5555555555555556,0.6666666666666666
partial_arc_noisy,strong,low_skew,5,0.27811755796261733,0.03643507073987262,0.598805670684055,0.5166995066872417,0.18803609565636478,0.15740343942805265,0.2416824872227447,-1.3268984294500332,-0.9871710253657613,0.4,0.4
partial_arc_noisy,strong,mid_skew,15,0.46503389995789457,0.030411818499653163,0.3525420860143545,0.5737849002868228,0.11386267483277236,0.10499176912767431,0.4346220814582414,0.2588267341735335,-0.25021968502853686,0.4666666666666667,0.4
partial_arc_noisy,strong,high_skew,13,0.486106583052393,0.017040423358045856,0.3076642546222374,0.3024645644286704,0.15179206925360741,0.12215413168011378,0.4690661596943472,0.38042038365426356,0.3915055793907354,0.6153846153846154,0.6153846153846154
sparse_full_noisy,weak,low_skew,1,0.005983983620206246,0.054407318460275356,0.029176332616075884,0.028845276633956196,0.06165775360557242,0.08874198736347493,-0.04842333484006911,nan,nan,0.0,0.0
sparse_full_noisy,weak,mid_skew,2,0.00491406311685022,0.020135775372711884,0.08519017230458464,0.05435631778310751,0.07232391637723593,0.05257753833739817,-0.015221712255861664,nan,nan,0.0,0.0
sparse_full_noisy,weak,high_skew,3,0.023377948161692252,0.025886146321782988,0.05242544914369799,0.07382085533437417,0.03331830966760092,0.03596656570351831,-0.0025081981600907355,nan,nan,0.3333333333333333,0.3333333333333333
sparse_full_noisy,moderate,low_skew,6,0.10518951314237439,0.021867551492434356,0.2161984465204497,0.1038295405713673,0.11557807767754529,0.119191399233134,0.08332196164994003,-1.3322890049619374,0.016321898141581602,0.16666666666666666,0.3333333333333333
sparse_full_noisy,moderate,mid_skew,6,0.32344479745725496,0.03755606145672086,0.192641196860173,0.2669316600978731,0.08557670332309213,0.08375770179310434,0.2858887360005341,0.4575332432713879,0.19767528497266948,0.8333333333333334,0.6666666666666666
sparse_full_noisy,moderate,high_skew,10,0.1500225792734589,0.02437943585430933,0.1836545789689727,0.1400204028712801,0.0980694105977735,0.09730964117741916,0.1256431434191496,-0.2676787509471674,0.07960781726712485,0.4,0.5
sparse_full_noisy,strong,low_skew,11,0.26983909334836886,0.029792662914287768,0.6044376628777062,0.49763027174373203,0.19392104616794725,0.1621287220344448,0.24004643043408108,-1.3938910440129253,-0.9489463266895638,0.36363636363636365,0.36363636363636365
sparse_full_noisy,strong,mid_skew,10,0.3188363599519156,0.021596985206223628,0.4610568712672709,0.37854311711695887,0.16020580943173446,0.1485249735660929,0.297239374745692,-0.47847130427129436,-0.2008709553238912,0.4,0.5
sparse_full_noisy,strong,high_skew,11,0.27420341924833713,0.03343042271235968,0.4059809007775259,0.37740762845603554,0.17158554325636494,0.1320230909422491,0.24077299653597745,-0.5473100531416859,-0.42863697629097347,0.2727272727272727,0.2727272727272727
sparse_partial_high_noise,weak,low_skew,4,0.15761447815930701,0.08152761478451781,0.05778581631086502,0.04783746750388668,0.05457332438344235,0.05367109251499855,0.0760868633747892,1.3120354476528395,1.4427853348965112,0.75,0.75
sparse_partial_high_noise,weak,mid_skew,2,0.02466105618079234,0.06143204100029909,0.0396688638555322,0.04857047081192756,0.03419437400412222,0.03419437400412222,-0.03677098481950675,nan,nan,0.5,0.5
sparse_partial_high_noise,weak,high_skew,6,0.07808657761133642,0.0282486957806678,0.05537365625322042,0.04844095525409997,0.03670431162495082,0.03696638025067527,0.04983788183066862,0.4557360891718156,0.594841138272323,1.0,0.6666666666666666
sparse_partial_high_noise,moderate,low_skew,1,0.22708874687905822,0.03983767232508906,0.12689161061416232,0.10216642883878024,0.07800438158673283,0.07800438158673283,0.18725107455396917,0.5350951203007236,0.667138056952902,1.0,1.0
sparse_partial_high_noise,moderate,mid_skew,3,0.05049735129422669,0.032662689713212734,0.17308301736583823,0.1701758539408362,0.07434059735928018,0.07434059735928018,0.017834661581013954,-6.873450640751781,-6.710444271845018,0.0,0.0
sparse_partial_high_noise,moderate,high_skew,1,0.28669726290467634,0.061793147728881115,0.2415254053301158,0.22749158951378612,0.14605936138186162,0.14605936138186162,0.22490411517579523,0.2008494043750697,0.2632485107914206,1.0,1.0
sparse_partial_high_noise,strong,low_skew,14,0.42668456924484666,0.05656190344075956,0.5808415949957849,0.5496640014197315,0.20121975113554044,0.19233241256659386,0.3701226658040871,-0.4165025273878701,-0.3322666876066978,0.35714285714285715,0.42857142857142855
sparse_partial_high_noise,strong,mid_skew,11,0.22832271422768222,0.09955192970093014,0.3343816987499456,0.33004295145176565,0.19034144056330246,0.18931182907561092,0.12877078452675206,-0.8236261424673521,-0.7899325735873817,0.18181818181818182,0.2727272727272727
sparse_partial_high_noise,strong,high_skew,18,0.3401719153544498,0.04796473644965064,0.3883135811500059,0.40419385139188146,0.17002796589107264,0.16461409710575536,0.29220717890479914,-0.1647518242912185,-0.21909775207230608,0.3333333333333333,0.3333333333333333
