condition,trial,true_rho,true_t,true_h,true_w1,true_w2,true_w3,true_alpha,rotation_shift,canonical_best_score,canonical_gap_top2,canonical_gap_topk,canonical_alpha_best_error,canonical_alpha_span_topk,canonical_alpha_std_topk,canonical_geometry_dispersion_topk,canonical_weight_dispersion_topk,canonical_near_tie_diverse,pose_best_score,pose_gap_top2,pose_gap_topk,pose_alpha_best_error,pose_alpha_span_topk,pose_alpha_std_topk,pose_geometry_dispersion_topk,pose_weight_dispersion_topk,pose_near_tie_diverse,alpha_span_ratio_pose_over_canonical,alpha_error_ratio_pose_over_canonical,geometry_dispersion_ratio_pose_over_canonical,weight_dispersion_ratio_pose_over_canonical
full_clean,10,0.12324466927856427,0.017798300301169356,1.4216990824072344,0.46619321409883385,0.27336221717963305,0.2604445687215331,0.8594985190077352,4,4.74413039361495e-05,7.6429442148037e-05,0.0006543517456940549,0.013510582514314806,0.10218340936501724,0.03179045681549001,0.07491449151469505,0.17853478506929102,0,4.744130393614949e-05,7.642944214803698e-05,0.0002611259967925954,0.013510582514314806,0.34474543108679623,0.15030252874908018,0.08949177556917738,0.20635239185495938,0,3.3737906498627823,1.0,1.1945856370342296,1.1558105708916728
full_clean,11,0.12919852692205086,-0.41938363660758354,0.9559223693042118,0.2540597132937755,0.27964450169795324,0.46629578500827124,1.238096157509297,31,7.746773188755349e-05,7.274949283820433e-05,0.001006119574274858,0.015537508508856268,0.15911616806141615,0.04734862551267677,0.058670773186719725,0.11439896610871493,0,6.04217200267601e-05,8.732005862691846e-06,0.0003052446979965652,0.4314008796745674,0.5277175393457392,0.2166601627786934,0.06163422612315451,0.19674430635055992,0,3.316555104205684,27.76512588415781,1.0505098667611485,1.7198084304677288
full_clean,12,0.16337978491479585,-0.5055141005678832,0.5789180465155999,0.41421628335866373,0.06375575999952572,0.5220279566418105,1.624161167974143,45,8.008116774658268e-05,0.00016694643056517215,0.0006424459447678318,0.025420362734670743,0.19796118193303824,0.06773561293982212,0.08026331763658785,0.1292519206168755,0,8.008116774658268e-05,4.65362904684431e-05,0.0003305493833395519,0.025420362734670743,1.0691525554528325,0.49340540018390866,0.0635642964997714,0.1840900147524586,0,5.400819216236448,1.0,0.7919470359744482,1.424272953731438
full_clean,13,0.12879007488504268,-0.26263153495854386,1.3502830393400687,0.7107583581604513,0.1378183389850846,0.1514233028544641,1.23049937917952,16,0.00016033507305027983,1.3388232022709288e-05,0.0005976147825743393,0.009835318762325462,0.11702020758918041,0.04339752506887746,0.04713559639698447,0.10387397262919545,0,2.6558264874898577e-05,4.570455152685659e-05,0.00018381513775180848,0.4203388698163645,0.468040081139633,0.17300255569082343,0.06287285677852923,0.15323968361512605,0,3.999651776236531,42.73769665976536,1.3338720963452488,1.4752462020698298
full_clean,14,0.16338060895259127,0.4555456046289344,0.7576321061003166,0.06234102928157801,0.6212893406584458,0.3163696300599762,1.2185130100591959,10,0.0001334611912286766,0.0001849701537937485,0.0007221889467419081,0.025140617168564416,0.1357629932594755,0.04659625991380223,0.08584849002823579,0.15508393281667443,0,0.00010935904457242165,2.410214665625499e-05,0.0002090723004500035,0.4138291381642527,0.4816079494293668,0.19989274072006935,0.05467530032518638,0.1761568669116079,0,3.547416993885064,16.460579920913823,0.6368813278742996,1.1358808337666024
full_clean,15,0.19544768576118035,-0.0657231287574163,0.9102418532782709,0.19445307872537074,0.46839060813929273,0.3371563131353365,1.5164862789224471,19,0.0002982761454602377,4.028481091475822e-05,0.0003889365980100809,0.006819036801474665,0.14531365494939563,0.051719022048428646,0.07634861639175285,0.15125393775553966,0,0.00029827614546023765,4.028481091475827e-05,0.00037720159642700015,0.006819036801474665,0.896216306869912,0.25023085682244744,0.0792588559120818,0.15723627211631216,0,6.167461049562152,1.0,1.0381177768225192,1.039551594157114
full_clean,16,0.10066120598728029,-0.5037153140899697,0.6558163624826093,0.35908256330677346,0.36907722939886595,0.2718402072943606,1.452073210235066,34,0.00015770002557742894,2.9170964770692745e-05,0.0003475356205723169,0.0007193311004145553,0.14942828735060143,0.045061113204555324,0.034656151488997596,0.18813534734221668,0,2.2656887269620485e-05,4.182179167297679e-06,0.00016421410307850118,0.00949812752759982,0.7864135692883366,0.37754768945743483,0.06041006201332331,0.2490473598875728,0,5.262815918134602,13.20411076641339,1.7431266721148162,1.3237669763064654
full_clean,17,0.15240360396954858,-0.14264834469776655,0.7362205813174498,0.6451033584332235,0.1143424075592009,0.24055423400757558,1.702087208952618,63,2.008243024087871e-05,9.78258900828333e-05,0.000561815329784469,0.012985594510315446,0.1254565825728,0.03989532372354587,0.06696124810286458,0.1824321302047236,0,2.0082430240878706e-05,9.78258900828333e-05,0.00042579412816237,0.012985594510315446,1.1754234890661814,0.44421915601701595,0.05668530700270676,0.17740252449454352,0,9.369165530904734,1.0,0.8465389849906604,0.9724302637669368
full_clean,18,0.09049629006849828,-0.07054638207932037,1.4023183631941285,0.10675833281678213,0.4960283643563524,0.39721330282686546,0.6180956868722719,18,0.00020226842728313275,0.00041460035331754806,0.0011576157755906508,0.018317525787331368,0.07849789903635407,0.023535930534606352,0.07638032024040226,0.2163552607158851,0,2.8413563557897333e-05,3.3998395028168e-06,0.0003439213353316392,0.007012651875439868,1.0684135863075395,0.4884503487342002,0.051939535343165116,0.17438989552411166,0,13.61072843252447,0.3828383787667386,0.6800120132998748,0.8060349212082168
full_clean,19,0.13685395222736896,-0.3886999108611995,1.4017496829233251,0.3984959471790758,0.3932514830989025,0.2082525697220216,0.8530985172426216,63,0.00014268076761834046,3.660488730826468e-05,0.0003099119247169898,0.02835369208869787,0.07415891757806825,0.027413242791708585,0.07575461121153455,0.16917215756424808,0,7.028084710833157e-05,2.7764153017618095e-05,0.00011793020357690412,0.2957572256655757,0.33723961374228384,0.14908273253110688,0.08500846936464133,0.1710890762957312,0,4.54752610685379,10.430995185401912,1.1221557078191138,1.011331171506488
full_clean,20,0.15025804681807897,0.6561457551500105,0.7063490534682405,0.33614091580432426,0.22808310230443854,0.43577598189123723,1.3436962710628844,29,6.703244736447107e-05,0.00010506145835999894,0.0009630491743673694,0.028158589636065434,0.1416724386304853,0.03820530894816367,0.061664092704551345,0.11001689608117955,0,6.703244736447107e-05,4.2463550199909236e-05,0.0003747562682798339,0.028158589636065434,0.6751459612372979,0.3124722999315798,0.0755702683651458,0.16761311039616697,0,4.765542033184279,1.0,1.2255149642308458,1.523521535023931
full_clean,21,0.08729548515624172,-0.4501330618751784,1.3764012126968341,0.1735230359321272,0.5862614809525659,0.24021548311530694,1.261634335388472,11,0.00015922800233254494,0.00018817473335291034,0.0005978992696846241,0.011330809284639365,0.17725543165470614,0.06108978689668091,0.07152300489647886,0.11941781977240355,0,0.00010555009739735107,6.156299134646334e-06,0.00024185263828810426,0.4847383207072806,0.5510409935767877,0.2414425003480938,0.06701114246420271,0.15536469658603244,0,3.1087396782865104,42.780555962972315,0.9369173255680946,1.3010176946969845
