observable,e,value,derivative,abs_sensitivity,relative_condition_number,delta_e_for_1pct_relative_noise
width_residue,6.309573e-06,0.9999999999800946,-6.309573000125595e-06,6.309573000125595e-06,3.98107114439139e-11,1584.8933041272194
width_residue,6.738627e-06,0.9999999999772954,-6.738627000152998e-06,6.738627000152998e-06,4.540909384719099e-11,1483.9818259039873
width_residue,7.196857e-06,0.9999999999741026,-7.19685700018638e-06,7.19685700018638e-06,5.1794750681131696e-11,1389.4954421745565
width_residue,7.686246e-06,0.9999999999704607,-7.686246000227046e-06,7.686246000227046e-06,5.907837757600625e-11,1301.025233827959
width_residue,8.208914e-06,0.9999999999663068,-8.208914000276585e-06,8.208914000276585e-06,6.738626906393694e-11,1218.1879356180532
width_residue,8.767124e-06,0.9999999999615687,-8.767124000336931e-06,8.767124000336931e-06,7.686246323728383e-11,1140.6249072365551
width_residue,9.363292e-06,0.9999999999561644,-9.363292000410445e-06,9.363292000410445e-06,8.767123708495024e-11,1068.0004424857505
width_residue,1e-05,0.99999999995,-1.0000000000500001e-05,1.0000000000500001e-05,1.0000000001000002e-10,999.9999999
width_residue,1.0680004e-05,0.9999999999429687,-1.0680004000609095e-05,1.0680004000609095e-05,1.1406248545302627e-10,936.3292372230735
width_residue,1.1406249e-05,0.9999999999349487,-1.140624900074199e-05,1.140624900074199e-05,1.3010251626692767e-10,876.7124055155182
width_residue,1.2181879e-05,0.9999999999258009,-1.2181879000903884e-05,1.2181879000903884e-05,1.4839817599266302e-10,820.891423935176
width_residue,1.3010252e-05,0.9999999999153666,-1.3010252001101102e-05,1.3010252001101102e-05,1.6926665713215524e-10,768.6246199003165
width_residue,1.3894955e-05,0.9999999999034651,-1.3894955001341348e-05,1.3894955001341348e-05,1.9306977448930093e-10,719.6856699477834
width_residue,1.4839818e-05,0.9999999998898899,-1.4839818001634015e-05,1.4839818001634015e-05,2.20220198321621e-10,673.8627116449674
width_residue,1.5848932e-05,0.9999999998744057,-1.5848932001990535e-05,1.5848932001990535e-05,2.5118864560371973e-10,630.9573413204192
width_residue,1.6926666e-05,0.9999999998567439,-1.6926666002424847e-05,1.6926666002424847e-05,2.8651202195764517e-10,590.7837962381298
width_residue,1.8077687e-05,0.9999999998365986,-1.8077687002953918e-05,1.8077687002953918e-05,3.2680276737676903e-10,553.1681125318728
width_residue,1.9306977e-05,0.9999999998136203,-1.930697700359843e-05,1.930697700359843e-05,3.7275936101747864e-10,517.9474754785488
width_residue,2.061986e-05,0.9999999997874106,-2.0619860004383564e-05,2.0619860004383564e-05,4.25178626600377e-10,484.96934488149833
width_residue,2.2022019e-05,0.9999999997575153,-2.2022019005340003e-05,2.2022019005340003e-05,4.849693210715563e-10,454.09097118435443
width_residue,2.3519526e-05,0.9999999997234159,-2.3519526006505127e-05,2.3519526006505127e-05,5.53168103570671e-10,425.1786364431119
width_residue,2.5118864e-05,0.9999999996845214,-2.5118864007924463e-05,2.5118864007924463e-05,6.309573290486031e-10,398.1071752962406
width_residue,2.6826958e-05,0.9999999996401572,-2.682695800965349e-05,2.682695800965349e-05,7.196856760517115e-10,372.7593711073444
width_residue,2.8651203e-05,0.9999999995895542,-2.8651203011759764e-05,2.8651203011759764e-05,8.208914340210718e-10,349.02548391392446
width_residue,3.0599497e-05,0.9999999995318354,-3.0599497014325606e-05,3.0599497014325606e-05,9.363292175297217e-10,326.80275726874555
width_residue,3.2680276e-05,0.9999999994659997,-3.268027601745128e-05,3.268027601745128e-05,1.0680004405768012e-09,305.99496740235594
width_residue,3.4902549e-05,0.999999999390906,-3.4902549021258935e-05,3.4902549021258935e-05,1.218187928181383e-09,286.5120248901626
width_residue,3.7275937e-05,0.9999999993052522,-3.7275937025897376e-05,3.7275937025897376e-05,1.389495481158667e-09,268.2695806172503
width_residue,3.9810717e-05,0.9999999992075533,-3.981071703154787e-05,3.981071703154787e-05,1.5848931905659758e-09,251.18864310208394
width_residue,4.2517863e-05,0.9999999990961156,-4.2517863038431234e-05,4.2517863038431234e-05,1.807768677354797e-09,235.19526326904793
width_residue,4.5409096e-05,0.9999999989690069,-4.540909604681647e-05,4.540909604681647e-05,2.0619860037890027e-09,220.22019507677797
width_residue,4.8496934e-05,0.9999999988240237,-4.849693405703124e-05,4.849693405703124e-05,2.351952612932037e-09,206.19860167821074
width_residue,5.1794747e-05,0.9999999986586521,-5.1794747069474777e-05,5.1794747069474777e-05,2.682695823990866e-09,193.06977159620146
width_residue,5.5316812e-05,0.9999999984700251,-5.5316812084633335e-05,5.5316812084633335e-05,3.0599496992066365e-09,180.7768670653056
width_residue,5.9078379e-05,0.9999999982548725,-5.907837910309931e-05,5.907837910309931e-05,3.490254877449521e-09,169.26666124501233
width_residue,6.3095734e-05,0.9999999980094642,-6.309573412559432e-05,6.309573412559432e-05,3.9810716648476876e-09,158.4893197405277
width_residue,6.7386272e-05,0.9999999977295452,-6.73862721529975e-05,6.73862721529975e-05,4.540909674677845e-09,148.39817751887065
width_residue,7.1968567e-05,0.9999999974102627,-7.196856718637968e-05,7.196856718637968e-05,5.179474662860445e-09,138.94954929705986
width_residue,7.6862461e-05,0.999999997046081,-7.686246122704549e-05,7.686246122704549e-05,5.907837945879071e-09,130.10252092919092
width_residue,8.2089142e-05,0.9999999966306864,-8.208914227658406e-05,8.208914227658406e-05,6.7386272797052605e-09,121.81878978115924
width_residue,8.7671239e-05,0.9999999961568768,-8.767123933693137e-05,8.767123933693137e-05,7.686246206873503e-09,114.06249115673542
width_residue,9.3632921e-05,0.999999995616438,-9.36329214104457e-05,9.36329214104457e-05,8.767123971854701e-09,106.8000421809842
width_residue,0.0001,0.9999999949999999,-0.00010000000050000002,0.00010000000050000002,1.0000000100000004e-08,99.99999899999999
width_residue,0.000106800043,0.9999999942968754,-0.00010680004360909396,0.00010680004360909396,1.1406249314904372e-08,93.63292003484969
width_residue,0.000114062492,0.9999999934948739,-0.0001140624927419909,0.0001140624927419909,1.3010252250516729e-08,87.67123788508388
width_residue,0.000121818791,0.9999999925800911,-0.00012181879190388434,0.00012181879190388434,1.4839818060921876e-08,82.08914051364886
width_residue,0.000130102522,0.9999999915366669,-0.000130102523101101,0.000130102523101101,1.6926666517272522e-08,76.8624595204491
width_residue,0.000138949549,0.9999999903465114,-0.0001389495503413479,0.0001389495503413479,1.9306977540062776e-08,71.96856613712528
width_residue,0.000148398179,0.9999999889889901,-0.00014839818063401382,0.00014839818063401382,2.2022020015485393e-08,67.38627014944574
width_residue,0.000158489319,0.9999999874405678,-0.00015848932099053588,0.00015848932099053588,2.5118864868041116e-08,63.09573296110484
width_residue,0.000169266662,0.9999999856743985,-0.0001692666644248468,0.0001692666644248468,2.8651203685513695e-08,59.07837725002205
width_residue,0.000180776868,0.9999999836598619,-0.00018077687095391904,0.00018077687095391904,3.26802770718899e-08,55.31681007548621
width_residue,0.000193069773,0.9999999813620312,-0.00019306977659842847,0.00019306977659842847,3.727593863576708e-08,51.79474483165538
width_residue,0.000206198601,0.9999999787410683,-0.00020619860538356207,0.00020619860538356207,4.251786486212595e-08,48.49693221158843
width_residue,0.000220220195,0.9999999757515325,-0.00022022020034000238,0.00022022020034000238,4.849693663779078e-08,45.40909390726249
width_residue,0.000235195264,0.9999999723415935,-0.00023519527050512638,0.00023519527050512638,5.5316815267979574e-08,42.5178605927706
width_residue,0.000251188643,0.9999999684521323,-0.0002511886509244663,0.0002511886509244663,6.309573835325338e-08,39.81071456738853
width_residue,0.00026826958,0.9999999640157156,-0.0002682695896534892,0.0002682695896534892,7.196857273285147e-08,37.275934454865606
width_residue,0.000286512027,0.9999999589554284,-0.0002865120387597639,0.0002865120387597639,8.208914835427645e-08,34.90254592037976
width_residue,0.000305994969,0.9999999531835384,-0.0003059949833256024,0.0003059949833256024,9.363292982043569e-08,32.6802728043244
width_residue,0.000326802759,0.9999999465999769,-0.0003268027764512758,0.0003268027764512758,1.0680005469626254e-07,30.599493598521203
width_residue,0.000349025488,0.9999999390906025,-0.00034902550925893346,0.00034902550925893346,1.2181880611345784e-07,28.651199197842217
width_residue,0.000372759372,0.9999999305252228,-0.0003727593978973761,0.0003727593978973761,1.3894956872081435e-07,26.826954227470114
width_residue,0.000398107171,0.9999999207553371,-0.0003981072025478711,0.0003981072025478711,1.5848934472049164e-07,25.118860305851673
width_residue,0.00042517863,0.9999999096115623,-0.0004251786684312356,0.0004251786684312356,1.807769000889586e-07,23.519522117636363
width_residue,0.000454090961,0.9999998969006942,-0.00045409100781646763,0.00045409100781646763,2.0619864337977528e-07,22.022014963680355
width_residue,0.000484969343,0.9999998824023613,-0.0004849694000312563,0.0004849694000312563,2.351953189666767e-07,20.619855239070986
width_residue,0.000517947468,0.9999998658652012,-0.0005179475374747888,0.0005179475374747888,2.682696515761977e-07,19.306972106492086
width_residue,0.00055316812,0.9999998470025038,-0.0005531682046333503,0.0005531682046333503,3.0599506261728415e-07,18.077681230166174
width_residue,0.000590783791,0.9999998254872409,-0.0005907838940993273,0.0005907838940993273,3.4902560952716525e-07,16.926660247090503
width_residue,0.000630957344,0.9999998009463953,-0.0006309574695943586,0.0006309574695943586,3.98107328436916e-07,15.848925627099609
width_residue,0.000673862717,0.9999997729544935,-0.0006738628699975366,0.0006738628699975366,4.540911675613169e-07,14.839811146712226
width_residue,0.000719685673,0.9999997410262325,-0.0007196858593797584,0.0007196858593797584,5.179477361911814e-07,13.894947746896888
width_residue,0.00076862461,0.9999997046080609,-0.0007686248370455812,0.0007686248370455812,5.907841401233462e-07,13.010244483535454
width_residue,0.000820891416,0.9999996630685848,-0.0008208916925841998,0.0008208916925841998,6.738631709537524e-07,12.181870910650174
width_residue,0.000876712387,0.9999996156876214,-0.0008767127239315523,0.0008767127239315523,7.686252003034821e-07,11.406240475251668
width_residue,0.000936329209,0.9999995616437102,-0.000936329619445978,0.000936329619445978,8.7671315625185e-07,10.679994959845502
width_residue,0.001,0.999999499999875,-0.001000000500000375,0.001000000500000375,1.0000010000009997e-06,9.999990000000002
width_residue,0.001068000433,0.999999429687375,-0.0010680010420944777,0.0010680010420944777,1.1406262259148903e-06,9.363281403979313
width_residue,0.001140624924,0.9999993494871798,-0.0011406256659916188,0.0011406256659916188,1.3010269099188239e-06,8.767112465576659
width_residue,0.001218187912,0.9999992580088303,-0.0012181888158853444,0.0012181888158853444,1.4839839911481373e-06,8.208901977827303
width_residue,0.001301025217,0.9999991536663342,-0.001301026318102373,0.001301026318102373,1.6926694803950171e-06,7.686233089618775
width_residue,0.001389495494,0.9999990346506702,-0.0013894968353498386,0.0013894968353498386,1.9307014554472163e-06,7.196842836989239
width_residue,0.001483981789,0.9999988988984188,-0.0014839834230164937,0.0014839834230164937,2.2022067997877496e-06,6.738612328065772
width_residue,0.001584893192,0.9999987440559963,-0.001584895182539601,0.001584895182539601,2.5118927396372352e-06,6.309557597705739
width_residue,0.001692666615,0.9999985674388391,-0.0016926690398519247,0.0016926690398519247,2.8651284784732365e-06,5.9078209850539904
width_residue,0.001807768677,0.9999983659848702,-0.0018077716309261962,0.0018077716309261962,3.2680382695815594e-06,5.5316631198185675
width_residue,0.001930697729,0.9999981362014028,-0.0019307013274384257,0.0019307013274384257,3.727607615772499e-06,5.179455371940717
width_residue,0.00206198601,0.9999978741045875,-0.0020619903935759185,0.0020619903935759185,4.251804383199371e-06,4.849672807497343
width_residue,0.00220220195,0.9999975751503457,-0.002202207290021586,0.002202207290021586,4.849716948224218e-06,4.540887588926943
width_residue,0.002351952635,0.9999972341555764,-0.0023519591401530726,0.0023519591401530726,5.531711796949581e-06,4.251762783984817
width_residue,0.002511886432,0.9999968452083,-0.002511894356503467,0.002511894356503467,6.309613258233968e-06,3.9810465858933894
width_residue,0.002682695795,0.9999964015651613,-0.002682705448540748,0.002682705448540748,7.196908523630216e-06,3.7275668937456676
width_residue,0.00286512027,0.9999958955344959,-0.0028651320298355813,0.0028651320298355813,8.208981548389759e-06,3.490226227347302
width_residue,0.003059949687,0.9999953183429975,-0.0030599640127019477,0.0030599640127019477,9.363379759031005e-06,3.2679969901345403
width_residue,0.003268027589,0.9999946599835808,-0.0032680450404141744,0.0032680450404141744,1.0680118386175682e-05,3.059917007315318
width_residue,0.003490254879,0.9999939090418899,-0.00349027613812575,0.00349027613812575,1.218202752037e-05,2.8650853670818104
width_residue,0.00372759372,0.9999930524983954,-0.003727619617643275,0.003727619617643275,1.3895148013838993e-05,2.6826585195691837
width_residue,0.003981071706,0.999992075502637,-0.00398110325424224,0.00398110325424224,1.5849183120938152e-05,2.511846620499108
width_residue,0.004251786303,0.999990961115766,-0.00425182473475156,0.00425182473475156,1.8078013575045177e-05,2.3519101174197314
