method,split,observation_seed,condition,geometry_skew_bin,true_alpha,true_t,true_rotation_shift,mean_candidate_count,mean_alpha_log_span_set,mean_geometry_span_norm_set,mean_ambiguity_ratio,alpha_bank_log_span,consensus_geometry_bank_span_norm,best_geometry_mae_mean,consensus_geometry_mae_mean,geometry_mae_gain,compression_load
one_shot_random,confirmation,20260426,sparse_partial_high_noise,low_skew,0.8367153816937006,-0.09721380364975842,58,80.66666666666667,0.4442163521745381,0.9311533968217242,0.47820899381298027,0.2656368737541481,0.06046177112327423,0.08237189259450305,0.0496152597873637,0.03275663280713935,15.400696663735092
persistent_mode_informed,confirmation,20260426,sparse_partial_high_noise,low_skew,0.8367153816937006,-0.09721380364975842,58,203.66666666666666,0.44931883314475507,0.8687208948970859,0.5172935984589273,0.2648175673959381,0.03354984923058226,0.04858467948102568,0.04838762021735001,0.000197059263675671,25.89343662698806
one_shot_random,confirmation,20260426,sparse_partial_high_noise,mid_skew,1.2188639297390595,-0.2911026935130036,30,92.66666666666667,0.6378453757459633,0.9032363586136758,0.7063698975622508,0.004075320495178947,0.021881468773906575,0.03859077712428229,0.08043255173629117,-0.04184177461200888,41.278598248887924
persistent_mode_informed,confirmation,20260426,sparse_partial_high_noise,mid_skew,1.2188639297390595,-0.2911026935130036,30,187.0,0.6324571703003092,0.8731254624248633,0.7260504321755518,0.45819776973221427,0.04098918214895427,0.07118153717035475,0.0671867738484415,0.0039947633219132445,21.301363351235803
one_shot_random,confirmation,20260426,sparse_partial_high_noise,high_skew,0.8019425689008923,-0.6495091928693849,42,102.0,0.5248091106651517,0.9229004760501917,0.5685469128277206,0.3135925463731447,0.017151331311956574,0.15390237484932004,0.11037295193834629,0.04352942291097375,53.809261757238474
persistent_mode_informed,confirmation,20260426,sparse_partial_high_noise,high_skew,0.8019425689008923,-0.6495091928693849,42,227.33333333333334,0.503793813400812,0.8533500936893402,0.5903707769257444,0.012609411456628111,0.08175688287780378,0.15300058988280418,0.1086584101791505,0.044342179703653686,10.43765446592163
one_shot_random,confirmation,20260427,sparse_partial_high_noise,low_skew,1.1919344353632797,-0.14797549125154508,6,85.33333333333333,0.6277363289326136,0.9166671520855108,0.6851351103875372,0.015864270216522675,0.0937756450681098,0.09548411579088167,0.025322916350482932,0.07016119944039874,9.775108999993869
persistent_mode_informed,confirmation,20260427,sparse_partial_high_noise,low_skew,1.1919344353632797,-0.14797549125154508,6,160.66666666666666,0.6185024759119226,0.898623959127253,0.6882581613898527,0.4573822036152041,0.13783176293835062,0.0872409721318032,0.028314977511088375,0.05892599462071482,6.519716065223584
one_shot_random,confirmation,20260427,sparse_partial_high_noise,mid_skew,0.8371333086222645,0.323964267389595,6,93.66666666666667,0.46719337169536895,0.9168862632167887,0.5096033267794133,0.24112544055159574,0.05917714524910155,0.09402071312857019,0.08058197393547535,0.013438739193094837,15.493925219900822
persistent_mode_informed,confirmation,20260427,sparse_partial_high_noise,mid_skew,0.8371333086222645,0.323964267389595,6,215.66666666666666,0.4378885236859135,0.8957007213372651,0.4888925241749522,0.25425327864357167,0.085384727578592,0.1595817375472768,0.07746769398212124,0.08211404356515557,10.490174844357513
one_shot_random,confirmation,20260427,sparse_partial_high_noise,high_skew,0.8731351834837112,-0.6812330477156526,52,93.0,0.5670591495353219,0.9396560360806198,0.6042894072701535,0.3849262479068426,0.038735931599318395,0.22665222048653252,0.1323850476485056,0.09426717283802694,24.25799502643572
persistent_mode_informed,confirmation,20260427,sparse_partial_high_noise,high_skew,0.8731351834837112,-0.6812330477156526,52,186.33333333333334,0.5735176349392729,0.8733045864679331,0.6572193171589789,0.01054755242611255,0.023587458759510484,0.1762298716673777,0.13246616599542904,0.04376370567194865,37.02410655475194
