dataset,e,a,pc1,pc2,isomap1
scale_overlay,0.9,1.0,5.105954358849571,0.12410606182407058,nan
scale_overlay,0.9,1.5,5.1059543588495355,0.12410606182416739,nan
scale_overlay,0.9,2.5,5.1059543588495835,0.12410606182403061,nan
scale_overlay,0.9,4.0,5.105954358849571,0.12410606182407058,nan
scale_overlay,0.925,0.75,6.097276158051562,-0.1055924818303593,nan
scale_overlay,0.925,1.0,6.097276158051578,-0.10559248183042325,nan
scale_overlay,0.925,1.5,6.097276158051562,-0.1055924818303593,nan
scale_overlay,0.925,2.5,6.097276158051573,-0.10559248183042058,nan
scale_overlay,0.925,4.0,6.097276158051578,-0.10559248183042325,nan
scale_overlay,0.95,0.75,7.37036388434132,-0.5162095204101229,nan
scale_overlay,0.95,1.0,7.370363884341325,-0.51620952041013,nan
scale_overlay,0.95,1.5,7.37036388434132,-0.5162095204101229,nan
scale_overlay,0.95,2.5,7.370363884341345,-0.5162095204101842,nan
scale_overlay,0.95,4.0,7.370363884341325,-0.51620952041013,nan
