dataset,e,a,pc1,pc2,isomap1
unique,0.17,1.0,-2.5475164163224555,-0.22522820352173056,-2.5878366516791296
unique,0.175,1.0,-2.5375814485558372,-0.22278406550657248,-2.5775856002194697
unique,0.18,1.0,-2.5273434242313932,-0.22026989024060306,-2.567023117806694
unique,0.185,1.0,-2.5168010028185925,-0.21768576814059593,-2.5561479333846795
unique,0.19,1.0,-2.5059528001126488,-0.21503177707648646,-2.5449587320395746
unique,0.195,1.0,-2.4947973860334116,-0.2123079695768295,-2.5334541500668615
unique,0.2,1.0,-2.483333284764125,-0.2095144503526294,-2.5216327927157334
unique,0.205,1.0,-2.4715589667345697,-0.20665132911845863,-2.509493208051759
unique,0.21,1.0,-2.4594728788515248,-0.2037187110615113,-2.49703392379929
unique,0.215,1.0,-2.4470733612808573,-0.20071669732098574,-2.484253364003979
unique,0.22,1.0,-2.434358720956162,-0.19764543306681226,-2.4711499324157296
unique,0.225,1.0,-2.4213272501782335,-0.19450498770177216,-2.457721994321816
unique,0.23,1.0,-2.4079771982633282,-0.1912954746377924,-2.4439678867008423
unique,0.235,1.0,-2.3943067422250195,-0.18801701117087877,-2.4298858769171154
unique,0.24,1.0,-2.380314007023241,-0.18466975365908844,-2.4154741927166143
unique,0.245,1.0,-2.3659970177662366,-0.1812538640192427,-2.4007309561466013
unique,0.25,1.0,-2.351353799265013,-0.17776945851873194,-2.385654288376565
unique,0.255,1.0,-2.336382307518914,-0.17421668711707117,-2.370242247958899
unique,0.26,1.0,-2.32108042748418,-0.1705956998003728,-2.3544928283236346
unique,0.265,1.0,-2.3054460421805807,-0.16690674609002798,-2.338404030324023
unique,0.27,1.0,-2.289476856618567,-0.1631499587883738,-2.3219736612079767
unique,0.275,1.0,-2.273170594437847,-0.1593255520614809,-2.3051995631677165
unique,0.28,1.0,-2.256524879752561,-0.15543379949839764,-2.288079503242095
unique,0.285,1.0,-2.2395374276102515,-0.1514748033890294,-2.270611283102805
unique,0.29,1.0,-2.2222056992087964,-0.14744876024371312,-2.2527924846341847
unique,0.295,1.0,-2.2045270771311003,-0.14335590501364326,-2.234620623556293
unique,0.3,1.0,-2.1864990082174884,-0.13919656428318739,-2.216093298814151
unique,0.305,1.0,-2.1681188579542052,-0.13497085823585042,-2.1972079694681095
unique,0.31,1.0,-2.1493839156931713,-0.1306790977248795,-2.177962066606667
unique,0.315,1.0,-2.1302912198244535,-0.12632164426895276,-2.1583527952321693
unique,0.32,1.0,-2.1108378953688067,-0.12189878149455247,-2.138377435033534
unique,0.325,1.0,-2.0910209478879196,-0.11741090314301061,-2.118033140595125
unique,0.33,1.0,-2.070837468554789,-0.11285807880352827,-2.097317099910761
unique,0.335,1.0,-2.050284253803369,-0.10824058439438211,-2.0762262616935288
unique,0.34,1.0,-2.0293581362988853,-0.10355868127348344,-2.0547576089282416
unique,0.345,1.0,-2.008055907534718,-0.0988127429176684,-2.032908072418896
unique,0.35,1.0,-1.9863739539115208,-0.09400349909648664,-2.010674284369057
unique,0.355,1.0,-1.9643089028315508,-0.0891308940415394,-1.9880529491625618
unique,0.36,1.0,-1.9418572862355887,-0.08419545600460143,-1.9650408057869804
unique,0.365,1.0,-1.9190155596871499,-0.07919780782327734,-1.9416344958565661
unique,0.37,1.0,-1.8957795410768838,-0.07413856309479971,-1.9178300609753436
unique,0.375,1.0,-1.8721456036298108,-0.06901792283928554,-1.8936240005266682
unique,0.38,1.0,-1.8481100279996987,-0.06383636570568552,-1.8690127920320407
unique,0.385,1.0,-1.8236686674609857,-0.0585940150775528,-1.843992386160262
unique,0.39,1.0,-1.7988172276302627,-0.05329167406939117,-1.818558739938911
unique,0.395,1.0,-1.7735515585189248,-0.047930301522028707,-1.7927079761935625
unique,0.4,1.0,-1.7478672730417912,-0.04251019353027363,-1.7664358739937729
unique,0.405,1.0,-1.7217595645217898,-0.03703234947142686,-1.7397378736722204
unique,0.41,1.0,-1.6952243740006523,-0.03149696165495808,-1.7126100514543323
unique,0.415,1.0,-1.6682567722090909,-0.025904403030017065,-1.6850476548308082
unique,0.42,1.0,-1.6408517658742916,-0.02025528127474363,-1.6570459177336367
unique,0.425,1.0,-1.6130048839360214,-0.014550408849434149,-1.6286005541001973
unique,0.43,1.0,-1.5847105443011742,-0.008790846756996373,-1.5997062818983518
unique,0.435,1.0,-1.5559632379593822,-0.0029776401237286976,-1.5703578847879407
unique,0.44,1.0,-1.5267582033438423,0.002888441110387774,-1.5405508327845605
unique,0.445,1.0,-1.497089587774516,0.0088072034906439,-1.5102793678102062
unique,0.45,1.0,-1.4669516617113612,0.014777533560052625,-1.4795380450311035
unique,0.455,1.0,-1.4363390424642297,0.02079820800344212,-1.4483217987893697
unique,0.46,1.0,-1.4052452612016229,0.026869045136884928,-1.4166243011056987
unique,0.465,1.0,-1.373664102763387,0.032988118203206795,-1.3844396924506461
unique,0.47,1.0,-1.3415895352532683,0.03915340105674492,-1.3517623924711921
unique,0.475,1.0,-1.309014509651357,0.04536503720798368,-1.3185853839445039
unique,0.48,1.0,-1.2759328215794739,0.05162218030423116,-1.2849027367474857
unique,0.485,1.0,-1.2423382246634933,0.05792338035019551,-1.25070846987846
unique,0.49,1.0,-1.2082223467942619,0.0642674719091314,-1.2159944842817096
unique,0.495,1.0,-1.1735783591993627,0.07065276531005171,-1.1807542854312338
unique,0.5,1.0,-1.1383995194184493,0.07707688964178327,-1.1449816542966214
unique,0.505,1.0,-1.1026774029319277,0.08354017451560836,-1.108668089724367
unique,0.51,1.0,-1.0664040613763692,0.0900407430206922,-1.0718059952205021
unique,0.515,1.0,-1.0295715266675671,0.09657676778435498,-1.0343877656823368
unique,0.52,1.0,-0.9921713523434814,0.10314615660337356,-0.9964054132184994
unique,0.525,1.0,-0.9541948224472705,0.10974653507003396,-0.9578505091615738
unique,0.53,1.0,-0.9156331206754267,0.11637663219195638,-0.9187144898017625
unique,0.535,1.0,-0.8764769162564097,0.12303421349179366,-0.8789884086738794
unique,0.54,1.0,-0.836717361001611,0.12971890740305803,-0.8386635693441479
unique,0.545,1.0,-0.7963441924439181,0.1364271849306089,-0.797730163184571
unique,0.55,1.0,-0.7553470877918951,0.1431561281604692,-0.7561783189020297
unique,0.555,1.0,-0.7137163782141744,0.14990495518248537,-0.7139984739287344
unique,0.56,1.0,-0.6714411798532538,0.1566713120003982,-0.6711801959690171
unique,0.565,1.0,-0.6285104258682672,0.16345204685695958,-0.6277127034507857
unique,0.57,1.0,-0.5849129081075741,0.17024452143386792,-0.5835851593676724
unique,0.575,1.0,-0.5406361238690423,0.1770444436041867,-0.5387856566172047
unique,0.58,1.0,-0.4956688322607068,0.18385110371263114,-0.493303068883376
unique,0.585,1.0,-0.4499981570811773,0.19065975537808733,-0.4471249671802903
unique,0.59,1.0,-0.4036110321685893,0.19746735530184623,-0.4002386338409156
unique,0.595,1.0,-0.35649427230470465,0.20427064699115505,-0.35263124824975
unique,0.6,1.0,-0.30863358430026366,0.21106501587882764,-0.3042891508274054
unique,0.605,1.0,-0.2600156084361007,0.21784939894917432,-0.2551987775375858
unique,0.61,1.0,-0.21062519766779353,0.22461864895849537,-0.2053455505960258
unique,0.615,1.0,-0.16044641357083655,0.23136766485755444,-0.15471402666849887
unique,0.62,1.0,-0.1094643231766721,0.23809135181580743,-0.10328987153204604
unique,0.625,1.0,-0.05766174706929661,0.2447875564736286,-0.051055729577115794
unique,0.63,1.0,-0.005021974659310757,0.251449699654005,0.0020045265956508294
unique,0.635,1.0,0.0484729693807644,0.2580711853471058,0.055908305345946804
unique,0.64,1.0,0.10284140096074346,0.2646467922458564,0.11067343532561313
unique,0.645,1.0,0.15810231595309077,0.271171464109913,0.16631893311295787
unique,0.65,1.0,0.21427466826827946,0.27764154017845755,0.2228636683571676
unique,0.655,1.0,0.2713795385461104,0.28404856371217235,0.2803281159633769
unique,0.66,1.0,0.32943864064043105,0.2903841108413676,0.3387332777584573
unique,0.665,1.0,0.38847345773127806,0.29664364234503005,0.3981009852180475
unique,0.67,1.0,0.4485069013660805,0.30282011702690514,0.45845388812130144
unique,0.675,1.0,0.5095636454940724,0.3089020320574347,0.5198159780280512
unique,0.68,1.0,0.5716691595425818,0.31487941424357846,0.5822120703515845
unique,0.685,1.0,0.634848323102192,0.3207473075223488,0.6456676941187703
unique,0.69,1.0,0.6991286229862972,0.3264951043706166,0.7102100021993228
unique,0.695,1.0,0.7645380650782236,0.3321127681358975,0.7758668030577528
unique,0.7,1.0,0.8311066720558031,0.33758827631471444,0.8426675563244982
unique,0.705,1.0,0.8988660585026267,0.34291380327928067,0.9106446492863786
unique,0.71,1.0,0.9678460794632233,0.3480744471177557,0.9798276830064264
unique,0.715,1.0,1.038083820247266,0.3530551696637927,1.0502534529219916
unique,0.72,1.0,1.1096110547607356,0.3578430769883578,1.1219535797419469
unique,0.725,1.0,1.1824678801549098,0.3624255933270595,1.1949691382930503
unique,0.73,1.0,1.2566919248217658,0.3667855810166394,1.269337838392766
unique,0.735,1.0,1.3323239686299964,0.3709049309245538,1.3451006297310424
unique,0.74,1.0,1.4094053060899192,0.3747710184313222,1.4222991613020999
unique,0.745,1.0,1.4879824593312794,0.3783608056653964,1.5009810828318813
unique,0.75,1.0,1.5681025225071767,0.3816552632083763,1.5811941740205213
unique,0.755,1.0,1.6498158667853886,0.38462954905100766,1.6629893690665987
unique,0.76,1.0,1.7331728427665798,0.3872663290421663,1.7464178624207092
unique,0.765,1.0,1.8182313083965056,0.3895319911196653,1.8315391992817456
unique,0.77,1.0,1.9050480676076376,0.3914039439390695,1.9184118689128826
unique,0.775,1.0,1.9936858487530333,0.39285677938271046,2.0071003494413566
unique,0.78,1.0,2.084210057049047,0.39385610493246936,2.0976711166534523
unique,0.785,1.0,2.176688711218773,0.39436762508372336,2.1901956871358816
unique,0.79,1.0,2.2711976705275276,0.3943564141543039,2.284752629782479
unique,0.795,1.0,2.3678126690265984,0.39378443366918603,2.3814206223251655
unique,0.8,1.0,2.4666196642019216,0.39260294465538603,2.4802879741449604
