lambda_ratio,c1,c2,mean_collapse_error,max_collapse_error
0.8,1.0,1.5,1.4595915230377373e-15,4.5593872290441585e-14
0.8,1.0,2.5,1.5272065755120311e-15,9.438550226197147e-14
0.8,1.0,4.0,0.0,0.0
0.8,1.5,2.5,2.033908650024852e-15,1.0578430492680369e-13
0.8,1.5,4.0,1.4595915230377373e-15,4.5593872290441585e-14
0.8,2.5,4.0,1.5272065755120311e-15,9.438550226197147e-14
0.85,0.75,1.0,2.682521085500135e-15,4.2845719623256816e-13
0.85,0.75,1.5,0.0,0.0
0.85,0.75,2.5,2.7165728824177547e-15,2.7421229349677834e-13
0.85,0.75,4.0,2.682521085500135e-15,4.2845719623256816e-13
0.85,1.0,1.5,2.682521085500135e-15,4.2845719623256816e-13
0.85,1.0,2.5,2.1976167075013756e-15,1.5424531188210663e-13
0.85,1.0,4.0,0.0,0.0
0.85,1.5,2.5,2.7165728824177547e-15,2.7421229349677834e-13
0.85,1.5,4.0,2.682521085500135e-15,4.2845719623256816e-13
0.85,2.5,4.0,2.1976167075013756e-15,1.5424531188210663e-13
0.9,0.75,1.0,2.6146801305146088e-15,7.845468247916159e-14
0.9,0.75,1.5,0.0,0.0
0.9,0.75,2.5,3.3949506880835527e-15,1.4059105629583182e-13
0.9,0.75,4.0,2.6146801305146088e-15,7.845468247916159e-14
0.9,1.0,1.5,2.6146801305146088e-15,7.845468247916159e-14
0.9,1.0,2.5,2.585795068188256e-15,8.849518340348084e-14
0.9,1.0,4.0,0.0,0.0
0.9,1.5,2.5,3.3949506880835527e-15,1.4059105629583182e-13
0.9,1.5,4.0,2.6146801305146088e-15,7.845468247916159e-14
0.9,2.5,4.0,2.585795068188256e-15,8.849518340348084e-14
0.95,0.75,1.0,7.947619645763842e-11,3.973642985026042e-08
0.95,0.75,1.5,0.0,0.0
0.95,0.75,2.5,7.947778373119828e-11,3.973642985026042e-08
0.95,0.75,4.0,7.947619645763842e-11,3.973642985026042e-08
0.95,1.0,1.5,7.947619645763842e-11,3.973642985026042e-08
0.95,1.0,2.5,3.973214182249423e-15,1.9713561874356317e-13
0.95,1.0,4.0,0.0,0.0
0.95,1.5,2.5,7.947778373119828e-11,3.973642985026042e-08
0.95,1.5,4.0,7.947619645763842e-11,3.973642985026042e-08
0.95,2.5,4.0,3.973214182249423e-15,1.9713561874356317e-13
