e,w,a1,a2,mean_collapse_error,max_collapse_error
0.2,0.6,1.5,2.5,1.1022984146662662e-09,1.103127515178635e-09
0.2,0.6,1.5,4.0,2.8097958257782077e-08,2.8119129844304254e-08
0.2,0.6,2.5,4.0,2.9200256672448342e-08,2.9222257359482885e-08
0.2,0.7,0.75,1.0,8.4023663504678e-09,8.409165699457265e-09
0.2,0.7,0.75,1.5,0.0,0.0
0.2,0.7,0.75,2.5,1.8071703599980455e-08,1.8086336728514547e-08
0.2,0.7,0.75,4.0,8.4023663504678e-09,8.409165699457265e-09
0.2,0.7,1.0,1.5,8.4023663504678e-09,8.409165699457265e-09
0.2,0.7,1.0,2.5,9.669337249512655e-09,9.677171029057283e-09
0.2,0.7,1.0,4.0,0.0,0.0
0.2,0.7,1.5,2.5,1.8071703599980455e-08,1.8086336728514547e-08
0.2,0.7,1.5,4.0,8.4023663504678e-09,8.409165699457265e-09
0.2,0.7,2.5,4.0,9.669337249512655e-09,9.677171029057283e-09
0.25,0.3,0.75,1.0,2.107344908427582e-08,2.108517223731276e-08
0.25,0.3,0.75,1.5,0.0,0.0
0.25,0.3,0.75,2.5,2.859810318355672e-15,1.3301379999800775e-14
0.25,0.3,0.75,4.0,2.107344908427582e-08,2.108517223731276e-08
0.25,0.3,1.0,1.5,2.107344908427582e-08,2.108517223731276e-08
0.25,0.3,1.0,2.5,2.1073451203257935e-08,2.108517135877124e-08
0.25,0.3,1.0,4.0,0.0,0.0
0.25,0.3,1.5,2.5,2.859810318355672e-15,1.3301379999800775e-14
0.25,0.3,1.5,4.0,2.107344908427582e-08,2.108517223731276e-08
0.25,0.3,2.5,4.0,2.1073451203257935e-08,2.108517135877124e-08
0.25,0.4,0.75,1.0,3.2766593889243653e-15,9.096889908022376e-15
0.25,0.4,0.75,1.5,0.0,0.0
0.25,0.4,0.75,2.5,3.703897350192256e-15,1.2588308695936153e-14
0.25,0.4,0.75,4.0,3.2766593889243653e-15,9.096889908022376e-15
0.25,0.4,1.0,1.5,3.2766593889243653e-15,9.096889908022376e-15
0.25,0.4,1.0,2.5,6.925808916642411e-15,1.604310686145019e-14
0.25,0.4,1.0,4.0,0.0,0.0
0.25,0.4,1.5,2.5,3.703897350192256e-15,1.2588308695936153e-14
0.25,0.4,1.5,4.0,3.2766593889243653e-15,9.096889908022376e-15
0.25,0.4,2.5,4.0,6.925808916642411e-15,1.604310686145019e-14
0.25,0.5,0.75,1.0,2.4390668835390744e-15,9.860380650283726e-15
0.25,0.5,0.75,1.5,0.0,0.0
0.25,0.5,0.75,2.5,4.157493949369351e-15,1.1998629721882189e-14
0.25,0.5,0.75,4.0,2.4390668835390744e-15,9.860380650283726e-15
0.25,0.5,1.0,1.5,2.4390668835390744e-15,9.860380650283726e-15
0.25,0.5,1.0,2.5,2.646590664261548e-15,6.75322301446426e-15
0.25,0.5,1.0,4.0,0.0,0.0
0.25,0.5,1.5,2.5,4.157493949369351e-15,1.1998629721882189e-14
0.25,0.5,1.5,4.0,2.4390668835390744e-15,9.860380650283726e-15
0.25,0.5,2.5,4.0,2.646590664261548e-15,6.75322301446426e-15
0.25,0.6,0.75,1.0,2.628323655674402e-08,2.6303840292392323e-08
0.25,0.6,0.75,1.5,0.0,0.0
0.25,0.6,0.75,2.5,2.6283254281981238e-08,2.6303798647735555e-08
0.25,0.6,0.75,4.0,2.628323655674402e-08,2.6303840292392323e-08
0.25,0.6,1.0,1.5,2.628323655674402e-08,2.6303840292392323e-08
0.25,0.6,1.0,2.5,9.878653193971104e-12,5.609436891023034e-10
0.25,0.6,1.0,4.0,0.0,0.0
0.25,0.6,1.5,2.5,2.6283254281981238e-08,2.6303798647735555e-08
0.25,0.6,1.5,4.0,2.628323655674402e-08,2.6303840292392323e-08
0.25,0.6,2.5,4.0,9.878653193971104e-12,5.609436891023034e-10
0.25,0.7,0.75,1.0,2.3560864769582655e-08,2.358096658021396e-08
0.25,0.7,0.75,1.5,0.0,0.0
0.25,0.7,0.75,2.5,2.5069805618717626e-12,1.5018857258178774e-10
0.25,0.7,0.75,4.0,2.3560864769582655e-08,2.358096658021396e-08
0.25,0.7,1.0,1.5,2.3560864769582655e-08,2.358096658021396e-08
0.25,0.7,1.0,2.5,2.3560860721301527e-08,2.358095607094161e-08
0.25,0.7,1.0,4.0,0.0,0.0
0.25,0.7,1.5,2.5,2.5069805618717626e-12,1.5018857258178774e-10
0.25,0.7,1.5,4.0,2.3560864769582655e-08,2.358096658021396e-08
0.25,0.7,2.5,4.0,2.3560860721301527e-08,2.358095607094161e-08
0.3,0.3,0.75,1.0,1.6660147357896188e-08,1.6692204753586215e-08
0.3,0.3,0.75,1.5,0.0,0.0
0.3,0.3,0.75,2.5,8.429378651835272e-09,8.433968568837454e-09
0.3,0.3,0.75,4.0,1.6660147357896188e-08,1.6692204753586215e-08
0.3,0.3,1.0,1.5,1.6660147357896188e-08,1.6692204753586215e-08
0.3,0.3,1.0,2.5,8.230851249928119e-09,8.268128316566882e-09
0.3,0.3,1.0,4.0,0.0,0.0
0.3,0.3,1.5,2.5,8.429378651835272e-09,8.433968568837454e-09
0.3,0.3,1.5,4.0,1.6660147357896188e-08,1.6692204753586215e-08
0.3,0.3,2.5,4.0,8.230851249928119e-09,8.268128316566882e-09
0.3,0.4,0.75,1.0,4.09028185759354e-12,2.1139779435328054e-10
0.3,0.4,0.75,1.5,0.0,0.0
0.3,0.4,0.75,2.5,2.735815502601867e-12,1.41385298641731e-10
0.3,0.4,0.75,4.0,4.09028185759354e-12,2.1139779435328054e-10
0.3,0.4,1.0,1.5,4.09028185759354e-12,2.1139779435328054e-10
0.3,0.4,1.0,2.5,1.354496112688712e-12,7.001276777617326e-11
0.3,0.4,1.0,4.0,0.0,0.0
0.3,0.4,1.5,2.5,2.735815502601867e-12,1.41385298641731e-10
0.3,0.4,1.5,4.0,4.09028185759354e-12,2.1139779435328054e-10
0.3,0.4,2.5,4.0,1.354496112688712e-12,7.001276777617326e-11
0.3,0.5,0.75,1.0,2.0077406143575344e-15,7.371914323887742e-15
0.3,0.5,0.75,1.5,0.0,0.0
0.3,0.5,0.75,2.5,6.6162641766083004e-15,1.5454448065437518e-14
0.3,0.5,0.75,4.0,2.0077406143575344e-15,7.371914323887742e-15
0.3,0.5,1.0,1.5,2.0077406143575344e-15,7.371914323887742e-15
0.3,0.5,1.0,2.5,5.039302295258337e-15,1.0751408024913127e-14
0.3,0.5,1.0,4.0,0.0,0.0
0.3,0.5,1.5,2.5,6.6162641766083004e-15,1.5454448065437518e-14
0.3,0.5,1.5,4.0,2.0077406143575344e-15,7.371914323887742e-15
0.3,0.5,2.5,4.0,5.039302295258337e-15,1.0751408024913127e-14
0.3,0.6,0.75,1.0,1.4049025045394518e-08,1.4063597784630703e-08
0.3,0.6,0.75,1.5,0.0,0.0
0.3,0.6,0.75,2.5,2.1283657176096272e-09,2.1792013527844745e-09
0.3,0.6,0.75,4.0,1.4049025045394518e-08,1.4063597784630703e-08
0.3,0.6,1.0,1.5,1.4049025045394518e-08,1.4063597784630703e-08
0.3,0.6,1.0,2.5,1.1920960189020326e-08,1.1930708046922082e-08
0.3,0.6,1.0,4.0,0.0,0.0
0.3,0.6,1.5,2.5,2.1283657176096272e-09,2.1792013527844745e-09
0.3,0.6,1.5,4.0,1.4049025045394518e-08,1.4063597784630703e-08
0.3,0.6,2.5,4.0,1.1920960189020326e-08,1.1930708046922082e-08
0.3,0.7,0.75,1.0,1.4048989727673148e-08,1.406163075200299e-08
0.3,0.7,0.75,1.5,0.0,0.0
0.3,0.7,0.75,2.5,6.5988521600250924e-09,6.62370329124671e-09
0.3,0.7,0.75,4.0,1.4048989727673148e-08,1.406163075200299e-08
0.3,0.7,1.0,1.5,1.4048989727673148e-08,1.406163075200299e-08
0.3,0.7,1.0,2.5,2.064774203628887e-08,2.066625757343173e-08
0.3,0.7,1.0,4.0,0.0,0.0
0.3,0.7,1.5,2.5,6.5988521600250924e-09,6.62370329124671e-09
0.3,0.7,1.5,4.0,1.4048989727673148e-08,1.406163075200299e-08
0.3,0.7,2.5,4.0,2.064774203628887e-08,2.066625757343173e-08
0.35,0.3,0.75,1.0,6.313479669015056e-15,1.4250805618481546e-14
0.35,0.3,0.75,1.5,0.0,0.0
0.35,0.3,0.75,2.5,5.983566486166908e-15,1.463221719554628e-14
0.35,0.3,0.75,4.0,6.313479669015056e-15,1.4250805618481546e-14
0.35,0.3,1.0,1.5,6.313479669015056e-15,1.4250805618481546e-14
0.35,0.3,1.0,2.5,2.7411311601036092e-15,8.995547373193812e-15
0.35,0.3,1.0,4.0,0.0,0.0
0.35,0.3,1.5,2.5,5.983566486166908e-15,1.463221719554628e-14
0.35,0.3,1.5,4.0,6.313479669015056e-15,1.4250805618481546e-14
0.35,0.3,2.5,4.0,2.7411311601036092e-15,8.995547373193812e-15
0.35,0.4,0.75,1.0,1.724018495602942e-15,6.611422389910714e-15
0.35,0.4,0.75,1.5,0.0,0.0
0.35,0.4,0.75,2.5,1.2035439886588551e-11,6.1436131508692e-10
0.35,0.4,0.75,4.0,1.724018495602942e-15,6.611422389910714e-15
0.35,0.4,1.0,1.5,1.724018495602942e-15,6.611422389910714e-15
0.35,0.4,1.0,2.5,1.2034830267851672e-11,6.143615161252892e-10
0.35,0.4,1.0,4.0,0.0,0.0
0.35,0.4,1.5,2.5,1.2035439886588551e-11,6.1436131508692e-10
0.35,0.4,1.5,4.0,1.724018495602942e-15,6.611422389910714e-15
0.35,0.4,2.5,4.0,1.2034830267851672e-11,6.143615161252892e-10
0.35,0.5,0.75,1.0,4.186175844752128e-15,1.0923150274288002e-14
0.35,0.5,0.75,1.5,0.0,0.0
0.35,0.5,0.75,2.5,3.531380383506024e-15,1.2551413783433517e-14
0.35,0.5,0.75,4.0,4.186175844752128e-15,1.0923150274288002e-14
0.35,0.5,1.0,1.5,4.186175844752128e-15,1.0923150274288002e-14
0.35,0.5,1.0,2.5,2.0489190569151677e-15,9.787137054013475e-15
0.35,0.5,1.0,4.0,0.0,0.0
0.35,0.5,1.5,2.5,3.531380383506024e-15,1.2551413783433517e-14
0.35,0.5,1.5,4.0,4.186175844752128e-15,1.0923150274288002e-14
0.35,0.5,2.5,4.0,2.0489190569151677e-15,9.787137054013475e-15
0.35,0.6,0.75,1.0,1.4048982825081911e-08,1.4061026851645512e-08
0.35,0.6,0.75,1.5,0.0,0.0
0.35,0.6,0.75,2.5,1.4048984341298563e-08,1.4061026875073557e-08
0.35,0.6,0.75,4.0,1.4048982825081911e-08,1.4061026851645512e-08
0.35,0.6,1.0,1.5,1.4048982825081911e-08,1.4061026851645512e-08
0.35,0.6,1.0,2.5,1.9036227879892226e-15,9.451415399428094e-15
0.35,0.6,1.0,4.0,0.0,0.0
0.35,0.6,1.5,2.5,1.4048984341298563e-08,1.4061026875073557e-08
0.35,0.6,1.5,4.0,1.4048982825081911e-08,1.4061026851645512e-08
