split,observation_seed,condition,geometry_skew_bin,true_alpha,true_t,true_rotation_shift,mean_candidate_count,mean_alpha_log_span_set,mean_geometry_span_norm_set,mean_ambiguity_ratio,alpha_bank_log_span,best_geometry_bank_span_norm,consensus_geometry_bank_span_norm,best_geometry_mae_mean,consensus_geometry_mae_mean,geometry_mae_gain,geometry_bank_span_gain,consensus_beats_best_flag,consensus_tighter_flag
calibration,20260411,sparse_partial_high_noise,mid_skew,1.2226140284530431,0.2578962401373784,21,101.2,0.6166075956607922,0.9087758049353483,0.6789673368250293,0.41983922125673157,0.5892666796269589,0.0855728829903027,0.1094929651929536,0.0442068016153563,0.0652861635775973,0.5036937966366561,1,1
calibration,20260411,sparse_partial_high_noise,high_skew,1.2745425961678112,0.6954212915285561,18,99.2,0.7573916103896113,0.8853329295449204,0.8551995734188637,0.522064288657915,0.12634840180860696,0.10320584348860161,0.02090113705989598,0.09757878602526254,-0.07667764896536657,0.02314255832000535,0,1
calibration,20260412,sparse_full_noisy,low_skew,0.8962159817208718,0.07936317382920971,18,25.2,0.27720871607391284,0.7888910223629475,0.35267886389411907,0.21602965189652829,0.400026770369413,0.08413322805207822,0.1060746865818637,0.09637363228861272,0.00970105429325098,0.31589354231733474,1,1
calibration,20260412,sparse_full_noisy,mid_skew,0.8301997466221273,-0.3456479674719034,7,29.2,0.45282980701706377,0.7672540571503417,0.5925019060735732,0.36228941571536444,0.38001801992845957,0.05259883406335644,0.08263761637654515,0.10363591774324328,-0.020998301366698127,0.3274191858651031,0,1
calibration,20260412,sparse_full_noisy,high_skew,1.1321343287894376,0.5160498421535533,31,27.6,0.3140842863099578,0.7825370759543777,0.40364508086455525,0.22474755400140514,0.34698650837357276,0.08844494001013858,0.08012680023888213,0.03969429123406763,0.0404325090048145,0.25854156836343417,1,1
calibration,20260412,sparse_partial_high_noise,low_skew,1.1685674195962412,0.14831088408388507,32,91.0,0.417530701726666,0.9094204195533943,0.4601633536052875,0.18258715378805346,0.2857117636760633,0.05590170835983537,0.05024844345979036,0.01566370546504932,0.034584737994741044,0.22981005531622795,1,1
calibration,20260412,sparse_partial_high_noise,mid_skew,0.8812085887392607,0.4266360032401446,58,15.2,0.29188487870444024,0.5655694569611018,0.5165813191695042,0.09182187480827454,0.17036907272646454,0.10786252719423058,0.17094912733993098,0.11203109740795006,0.05891802993198092,0.06250654553223396,1,1
calibration,20260412,sparse_partial_high_noise,high_skew,0.791242631916462,-0.6767255273818573,1,116.0,0.9049414500712466,0.8952899023519489,1.0122866678493385,0.5544414026463524,0.6333980543046572,0.08812561230390076,0.07276177152404914,0.027129965333028767,0.04563180619102038,0.5452724420007564,1,1
calibration,20260416,sparse_full_noisy,low_skew,0.843420762150945,0.03544723703524339,0,34.2,0.4406041040651081,0.7906409842709285,0.5598290353702347,0.3370404512630697,0.3988948973911173,0.06823734025871386,0.07648878351090604,0.04489938047913914,0.031589403031766904,0.3306575571324034,1,1
calibration,20260416,sparse_full_noisy,mid_skew,0.8914591742959608,-0.41798272193138025,2,32.4,0.29897585136979266,0.8427386009048558,0.35489897292572564,0.2251579861451467,0.47367467903293864,0.06927176409363446,0.055079305759837306,0.06539885548392269,-0.01031954972408538,0.4044029149393042,0,1
calibration,20260416,sparse_full_noisy,high_skew,0.7919341547849998,0.6727910454320641,59,38.4,0.5676106303413835,0.772141720962271,0.7457008743492661,0.4636928573317858,0.8268150756438164,0.11814447223484763,0.0919921337070527,0.025030132183196902,0.0669620015238558,0.7086706034089688,1,1
calibration,20260416,sparse_partial_high_noise,low_skew,1.251449993747517,-0.011978891607849106,32,94.4,0.6747641241018935,0.897427787439448,0.7526313736269886,0.48337979020085386,0.8067517576036435,0.07855455396525808,0.10968032293653276,0.03507054750555039,0.07460977543098238,0.7281972036383854,1,1
calibration,20260416,sparse_partial_high_noise,mid_skew,1.2419793681897893,-0.44764907761156186,12,102.8,0.686822949001196,0.9026830015305249,0.761735978575009,0.5383166464631396,0.33144749938355006,0.0930752919785948,0.16408341952099853,0.09925208801191815,0.06483133150908038,0.23837220740495524,1,1
calibration,20260416,sparse_partial_high_noise,high_skew,1.1866154632460388,0.6027915804267757,5,123.0,0.8423572842061494,0.9100605016919993,0.9262150484791294,0.624076665767614,0.5577331346545142,0.08543304602698114,0.08266072861295162,0.13385299272834486,-0.05119226411539324,0.4723000886275331,0,1
calibration,20260417,sparse_full_noisy,low_skew,1.1253636301066579,0.0032712117242083226,39,42.4,0.41052688095492085,0.8314061300388351,0.4939956505736681,0.315158025239328,0.5533434873609029,0.06277162259447633,0.05965150550571717,0.022015056424621267,0.0376364490810959,0.49057186476642656,1,1
calibration,20260417,sparse_full_noisy,mid_skew,0.7818524568839363,0.22568076777600718,9,22.8,0.583024113304415,0.7122236950930946,0.8794644158911108,0.5050224175459032,0.14699418633462055,0.222663693114983,0.025237600948226184,0.05403213046490509,-0.028794529516678907,-0.07566950678036244,0,0
calibration,20260417,sparse_full_noisy,high_skew,0.8225173096767153,0.5662878117286482,16,13.8,0.4377998361577705,0.6985176515603606,0.6379916089381179,0.4077934116042922,0.43241259565917184,0.13528857860692853,0.10521364408574174,0.040817587705565435,0.06439605638017631,0.29712401705224334,1,1
calibration,20260417,sparse_partial_high_noise,low_skew,0.8118979550083474,-0.1806085087754579,29,101.4,0.5398872197459053,0.9023913402736513,0.598813023412466,0.3181586779898219,0.4738413230481861,0.06501142448711549,0.05134034412035354,0.08499082829542186,-0.033650484175068315,0.4088298985610706,0,1
calibration,20260417,sparse_partial_high_noise,mid_skew,1.2619160489624313,0.23231582095435085,4,106.4,0.920124625668097,0.8869612633276308,1.0391976435077577,0.021953827567274264,0.8496331304393866,0.06834858976031051,0.07265556466685479,0.0827173130295564,-0.010061748362701614,0.781284540679076,0,1
calibration,20260417,sparse_partial_high_noise,high_skew,0.86848329444384,-0.6280079309469837,40,86.2,0.5440473595068542,0.915078697627236,0.595370017071876,0.3753261110235563,0.48243092531888565,0.06285907019737294,0.18079827026114273,0.15748097137614944,0.023317298884993287,0.41957185512151274,1,1
calibration,20260418,sparse_full_noisy,low_skew,0.8433559122909388,0.14583597539702348,3,31.8,0.4516351310438161,0.7886383332689766,0.5800079906040995,0.37847326633874157,0.2765387354017757,0.0838217253270777,0.046631618031664074,0.028741452412031954,0.01789016561963212,0.192717010074698,1,1
