condition,true_e,replicate,pilot_perimeter_estimate,perimeter_estimate,width_estimate,major_tip_estimate,pilot_abs_error,perimeter_abs_error,width_abs_error,major_tip_abs_error
sparse_high_noise,0.75,62,0.7912219630425519,0.7529906642730801,0.742060664301921,0.9572868144838337,0.04122196304255188,0.002990664273080146,0.00793933569807903,0.20728681448383368
sparse_high_noise,0.75,63,0.7848546260277618,0.7502309805170047,0.7465272449909005,0.9502275646795235,0.03485462602776179,0.00023098051700465305,0.003472755009099493,0.20022756467952352
sparse_high_noise,0.75,64,0.7716813290337841,0.7313070205634784,0.7404761211532882,0.9607017512074604,0.021681329033784058,0.018692979436521595,0.009523878846711797,0.21070175120746037
sparse_high_noise,0.75,65,0.7595456339618827,0.7355003079934797,0.7404139693531436,0.9590777278569709,0.009545633961882682,0.014499692006520348,0.00958603064685637,0.20907772785697087
sparse_high_noise,0.75,66,0.7575635451209493,0.7515972684829684,0.7212958362689529,0.9597253082492002,0.0075635451209492555,0.0015972684829683725,0.028704163731047116,0.20972530824920022
sparse_high_noise,0.75,67,0.8029947080990192,0.7307467153846317,0.7573975397218694,0.9526137106340904,0.05299470809901918,0.01925328461536835,0.007397539721869406,0.2026137106340904
sparse_high_noise,0.75,68,0.7306367287119668,0.7407228080515278,0.7530117009489682,0.960915611750333,0.019363271288033168,0.009277191948472208,0.003011700948968188,0.21091561175033302
sparse_high_noise,0.75,69,0.7641472283951862,0.7416524359348884,0.7337760918164773,0.9503940314059267,0.014147228395186229,0.008347564065111612,0.016223908183522706,0.2003940314059267
sparse_high_noise,0.75,70,0.7774366411889135,0.7488477059458571,0.7417345785803132,0.9557809971360247,0.027436641188913535,0.001152294054142855,0.00826542141968678,0.2057809971360247
sparse_high_noise,0.75,71,0.7873161761040441,0.7417278433026664,0.7328173778967698,0.9581774817182621,0.03731617610404414,0.00827215669733361,0.017182622103230183,0.20817748171826211
sparse_high_noise,0.75,72,0.7524441196570331,0.737118947420309,0.7505699226890102,0.962726035006503,0.0024441196570330614,0.012881052579690966,0.0005699226890102382,0.212726035006503
sparse_high_noise,0.75,73,0.8062610601591895,0.7378212044521235,0.7508389125330096,0.9518850994668526,0.056261060159189524,0.012178795547876486,0.0008389125330096059,0.20188509946685262
sparse_high_noise,0.75,74,0.7931040829708933,0.7487216363306022,0.7458662800910184,0.9583617596218219,0.0431040829708933,0.0012783636693978195,0.004133719908981592,0.2083617596218219
sparse_high_noise,0.75,75,0.7921263475623765,0.7261817043828873,0.7461562766817407,0.9601021039815176,0.04212634756237654,0.023818295617112684,0.003843723318259329,0.21010210398151763
sparse_high_noise,0.75,76,0.78782200599116,0.7578824677367308,0.7443672390103184,0.9598102319090157,0.037822005991160035,0.007882467736730847,0.005632760989681573,0.2098102319090157
sparse_high_noise,0.75,77,0.7634263831396184,0.7437571745405847,0.729284738719707,0.9604461663116897,0.013426383139618414,0.0062428254594153465,0.020715261280292996,0.21044616631168966
sparse_high_noise,0.75,78,0.7493019988697087,0.7362534626730917,0.7488691836376167,0.9486240212957674,0.0006980011302912814,0.013746537326908337,0.0011308163623833245,0.1986240212957674
sparse_high_noise,0.75,79,0.7994198290151315,0.7553772550195705,0.7356297333046007,0.9626907047802108,0.04941982901513153,0.005377255019570537,0.014370266695399314,0.2126907047802108
sparse_high_noise,0.75,80,0.7835155545746746,0.7398747752346182,0.7367342192568835,0.9604518708045804,0.03351555457467459,0.010125224765381802,0.013265780743116462,0.2104518708045804
sparse_high_noise,0.75,81,0.7765776204312909,0.7533785265508823,0.725672991917373,0.9639557658812339,0.02657762043129086,0.0033785265508823326,0.024327008082627,0.21395576588123388
sparse_high_noise,0.75,82,0.7734953229385702,0.7516856247366146,0.7358916846951389,0.9627268533447043,0.02349532293857015,0.0016856247366145993,0.014108315304861119,0.21272685334470431
sparse_high_noise,0.75,83,0.7733621345472659,0.7488347401210294,0.7460131137342686,0.9582110798951667,0.023362134547265878,0.001165259878970648,0.003986886265731404,0.20821107989516674
sparse_high_noise,0.75,84,0.7717110021594165,0.7548877434500785,0.748193987697655,0.9536864958577593,0.02171100215941646,0.0048877434500784744,0.0018060123023450059,0.20368649585775933
sparse_high_noise,0.75,85,0.7938565007911087,0.7473563120641293,0.7467732053641186,0.9547673519289676,0.0438565007911087,0.0026436879358706644,0.0032267946358813804,0.20476735192896756
sparse_high_noise,0.75,86,0.7803510386847372,0.7260319212506998,0.7493429100871186,0.9540448665028012,0.030351038684737208,0.02396807874930018,0.0006570899128813812,0.20404486650280118
sparse_high_noise,0.75,87,0.759284305948174,0.7376301247716839,0.7412985413588249,0.9561428034642097,0.009284305948173976,0.012369875228316118,0.008701458641175108,0.20614280346420966
sparse_high_noise,0.75,88,0.734976148740115,0.7535893492313779,0.7368430729597093,0.9631793889587406,0.015023851259885035,0.0035893492313778808,0.0131569270402907,0.21317938895874056
sparse_high_noise,0.75,89,0.7706288464913988,0.743210120135211,0.7583871538433276,0.9558705701797994,0.020628846491398845,0.006789879864788961,0.008387153843327555,0.20587057017979937
sparse_high_noise,0.75,90,0.7564448177890337,0.7445077375679943,0.7477664073779388,0.9607116277217724,0.006444817789033719,0.0054922624320057345,0.0022335926220612423,0.21071162772177243
sparse_high_noise,0.75,91,0.772692890712287,0.7563949998719768,0.7364592172990349,0.9443871837082624,0.022692890712286973,0.006394999871976781,0.013540782700965148,0.19438718370826236
sparse_high_noise,0.75,92,0.7878844773389382,0.7588417266453482,0.7570343008175469,0.9451249117213325,0.03788447733893818,0.008841726645348214,0.007034300817546857,0.1951249117213325
sparse_high_noise,0.75,93,0.7693726377914352,0.7322566988073522,0.7477850029657412,0.9561539745591023,0.019372637791435166,0.017743301192647776,0.002214997034258759,0.20615397455910234
sparse_high_noise,0.75,94,0.7551780815591342,0.7435660078847484,0.7528954479888368,0.9565436328579663,0.00517808155913424,0.006433992115251641,0.0028954479888367857,0.2065436328579663
sparse_high_noise,0.75,95,0.7692719230502778,0.7460042972174912,0.717802821482873,0.9597942432291621,0.019271923050277806,0.003995702782508825,0.032197178517127,0.20979424322916207
sparse_high_noise,0.75,96,0.7787846482193357,0.7318666543474639,0.7495669934167936,0.9622466765314839,0.028784648219335685,0.018133345652536104,0.00043300658320644114,0.21224667653148388
sparse_high_noise,0.75,97,0.7664027395945143,0.7388683584911884,0.7279453388307493,0.9580398103663973,0.016402739594514326,0.01113164150881163,0.0220546611692507,0.2080398103663973
sparse_high_noise,0.75,98,0.7505035871609049,0.7463073597982459,0.7475155913817678,0.9466473080027875,0.0005035871609049281,0.0036926402017540827,0.002484408618232181,0.1966473080027875
sparse_high_noise,0.75,99,0.7698172686498421,0.7471423821132281,0.7459586032327562,0.9531522095932302,0.019817268649842124,0.002857617886771857,0.004041396767243799,0.20315220959323022
sparse_high_noise,0.75,100,0.7944135966027406,0.73841739029442,0.7517868782447649,0.9615359287721547,0.04441359660274058,0.011582609705580005,0.0017868782447648668,0.21153592877215466
sparse_high_noise,0.75,101,0.720459849061845,0.7446786414560076,0.7362648718272422,0.9506628363468467,0.029540150938154985,0.005321358543992405,0.013735128172757793,0.20066283634684667
sparse_high_noise,0.75,102,0.7761248903311952,0.7488410708402193,0.7263316646994963,0.958974866787732,0.02612489033119525,0.001158929159780664,0.023668335300503718,0.20897486678773203
sparse_high_noise,0.75,103,0.7454531576270789,0.7432328677771336,0.7543175836482306,0.9456916829511873,0.004546842372921134,0.006767132222866401,0.0043175836482306496,0.19569168295118733
sparse_high_noise,0.75,104,0.7552421902781097,0.7389706500212572,0.7306200128166155,0.9600040328794772,0.005242190278109682,0.01102934997874283,0.019379987183384517,0.21000403287947722
sparse_high_noise,0.75,105,0.779589533478118,0.729254309919606,0.7282347762049117,0.9552822745239326,0.02958953347811799,0.020745690080393953,0.021765223795088273,0.20528227452393255
sparse_high_noise,0.75,106,0.7486066314583604,0.7510426641457051,0.7347959512427477,0.9571875252275175,0.001393368541639628,0.0010426641457050856,0.015204048757252342,0.2071875252275175
sparse_high_noise,0.75,107,0.7677223898464673,0.7195441116493224,0.7546112829870804,0.9603301464948881,0.017722389846467346,0.030455888350677585,0.004611282987080356,0.21033014649488813
sparse_high_noise,0.75,108,0.7849634982210101,0.7521082662748424,0.740456394164809,0.9454052649893858,0.03496349822101008,0.0021082662748423964,0.009543605835190982,0.19540526498938582
sparse_high_noise,0.75,109,0.7745289904114989,0.7362106873261467,0.743934483692618,0.9561438706625867,0.02452899041149892,0.013789312673853305,0.006065516307381946,0.20614387066258666
sparse_high_noise,0.75,110,0.783858702698923,0.7586796901156396,0.7507737222654681,0.9449673125163915,0.03385870269892299,0.008679690115639627,0.0007737222654681242,0.19496731251639154
sparse_high_noise,0.75,111,0.80671618675826,0.7598583847474727,0.7468033628000994,0.9626138335424647,0.05671618675825996,0.009858384747472693,0.0031966371999005982,0.21261383354246466
sparse_high_noise,0.75,112,0.7779436060210176,0.7631659847141679,0.7476317895182113,0.9574214691338475,0.027943606021017642,0.013165984714167855,0.0023682104817887017,0.2074214691338475
sparse_high_noise,0.75,113,0.7648066857916553,0.7403279257739133,0.7420271166716917,0.920320740985332,0.014806685791655338,0.009672074226086735,0.007972883328308256,0.170320740985332
sparse_high_noise,0.75,114,0.7820962729819774,0.7522491479802431,0.7489955329629985,0.9614809136771322,0.03209627298197737,0.002249147980243116,0.0010044670370015218,0.21148091367713218
sparse_high_noise,0.75,115,0.732439948176971,0.7525922628584627,0.7481924408093706,0.9549754720500249,0.017560051823029,0.0025922628584627017,0.0018075591906293598,0.20497547205002487
sparse_high_noise,0.75,116,0.727028790399604,0.7436715467313479,0.7473966275538828,0.9541953905603464,0.022971209600396003,0.006328453268652057,0.0026033724461171914,0.2041953905603464
sparse_high_noise,0.75,117,0.7610157568764027,0.7588526218944651,0.723714158235649,0.9446191841494206,0.01101575687640266,0.008852621894465118,0.026285841764351003,0.1946191841494206
sparse_high_noise,0.75,118,0.7952019287991647,0.7306837309090839,0.7353070205396214,0.955181553811751,0.04520192879916474,0.019316269090916105,0.014692979460378619,0.20518155381175096
sparse_high_noise,0.75,119,0.799136968652689,0.735975364180053,0.7557756133971358,0.9582540277763197,0.04913696865268902,0.014024635819946951,0.005775613397135837,0.20825402777631974
sparse_high_noise,0.75,120,0.7561230606245375,0.7422410800198012,0.7333494232229981,0.9595121656145185,0.006123060624537491,0.007758919980198842,0.01665057677700188,0.20951216561451846
sparse_high_noise,0.75,121,0.7748334985496235,0.7654068143934571,0.7440409550613055,0.9509188911167632,0.024833498549623467,0.015406814393457147,0.00595904493869448,0.2009188911167632
sparse_high_noise,0.75,122,0.7242654182732693,0.75864437144444,0.7414947515421659,0.9484498910510056,0.02573458172673071,0.008644371444439969,0.00850524845783407,0.19844989105100563
sparse_high_noise,0.75,123,0.7598941216396464,0.7484567322537179,0.7445001560376185,0.9397254900602724,0.009894121639646425,0.0015432677462821065,0.0054998439623814566,0.1897254900602724
sparse_high_noise,0.75,124,0.7970210119919419,0.7398700258340078,0.7406736642895694,0.9520251825876724,0.04702101199194186,0.01012997416599215,0.009326335710430622,0.20202518258767244
sparse_high_noise,0.75,125,0.7373528403466718,0.7270640264642114,0.740126107610379,0.9586311070231114,0.012647159653328188,0.02293597353578858,0.009873892389620997,0.20863110702311138
sparse_high_noise,0.75,126,0.7882837402599527,0.7624246952650253,0.7538631399389533,0.9606696661743471,0.03828374025995274,0.01242469526502532,0.003863139938953264,0.21066966617434713
sparse_high_noise,0.75,127,0.8041777957723781,0.7609751222226897,0.7481042439762533,0.9598623888370935,0.054177795772378134,0.010975122222689704,0.0018957560237466975,0.20986238883709352
sparse_high_noise,0.75,128,0.7858296903955164,0.7494905408305805,0.7482461353378719,0.9558927578313678,0.03582969039551642,0.0005094591694194683,0.001753864662128124,0.20589275783136785
sparse_high_noise,0.75,129,0.7800520456284512,0.7605089084039502,0.7333068046063844,0.9591823759268093,0.030052045628451207,0.010508908403950246,0.01669319539361558,0.20918237592680933
sparse_high_noise,0.75,130,0.7783908012388456,0.7548639058821562,0.7386160697359511,0.954230662141512,0.02839080123884563,0.004863905882156239,0.011383930264048936,0.20423066214151198
sparse_high_noise,0.75,131,0.7679962559319733,0.7369587397072992,0.7151245047156715,0.9513221162258084,0.017996255931973293,0.013041260292700807,0.03487549528432854,0.20132211622580842
sparse_high_noise,0.75,132,0.7713988698513032,0.7407091148768832,0.7445264130022712,0.9609660125029319,0.021398869851303237,0.009290885123116821,0.005473586997728819,0.2109660125029319
sparse_high_noise,0.75,133,0.7851640203051331,0.7435717461955025,0.738963358569696,0.9512226904203821,0.035164020305133104,0.006428253804497519,0.011036641430304028,0.2012226904203821
