lambda_ratio,c_scale,a_deficit,b_residue,hyperbolic_eccentricity,normalized_vertex,normalized_openness,asymptote_slope,normalized_vertex_curvature,max_equation_residual,rms_equation_residual
0.3,4.0,1.2,3.8157568056677826,3.3333333333333335,0.3,0.9539392014169457,3.1797973380564857,0.32967032967032966,1.7763568394002505e-14,4.2634125368148076e-15
0.35,0.75,0.26249999999999996,0.7025622748198198,2.8571428571428577,0.3499999999999999,0.9367496997597597,2.676427713599314,0.3988603988603988,2.3092638912203256e-14,3.96709889803271e-15
0.35,1.0,0.35,0.9367496997597597,2.857142857142857,0.35,0.9367496997597597,2.6764277135993138,0.3988603988603988,1.687538997430238e-14,3.573397292954714e-15
0.35,1.5,0.5249999999999999,1.4051245496396396,2.8571428571428577,0.3499999999999999,0.9367496997597597,2.676427713599314,0.3988603988603988,2.3092638912203256e-14,3.96709889803271e-15
0.35,2.5,0.875,2.341874249399399,2.857142857142857,0.35,0.9367496997597596,2.6764277135993133,0.3988603988603989,1.509903313490213e-14,2.3004667653293805e-15
0.35,4.0,1.4,3.746998799039039,2.857142857142857,0.35,0.9367496997597597,2.6764277135993138,0.3988603988603988,1.687538997430238e-14,3.573397292954714e-15
0.4,0.75,0.30000000000000004,0.687386354243376,2.4999999999999996,0.4000000000000001,0.916515138991168,2.29128784747792,0.4761904761904762,2.6645352591003757e-14,3.555560953792772e-15
0.4,1.0,0.4,0.916515138991168,2.5,0.4,0.916515138991168,2.29128784747792,0.4761904761904762,1.4210854715202004e-14,2.969164814927037e-15
0.4,1.5,0.6000000000000001,1.374772708486752,2.4999999999999996,0.4000000000000001,0.916515138991168,2.29128784747792,0.4761904761904762,2.6645352591003757e-14,3.555560953792772e-15
0.4,2.5,1.0,2.29128784747792,2.5,0.4,0.916515138991168,2.29128784747792,0.47619047619047616,1.5987211554602254e-14,2.402031080708526e-15
0.4,4.0,1.6,3.666060555964672,2.5,0.4,0.916515138991168,2.29128784747792,0.4761904761904762,1.4210854715202004e-14,2.969164814927037e-15
0.45,0.75,0.3375,0.6697714162309407,2.222222222222222,0.45,0.8930285549745877,1.984507899943528,0.5642633228840126,1.4210854715202004e-14,3.352660305947274e-15
0.45,1.0,0.45,0.8930285549745876,2.2222222222222223,0.45,0.8930285549745876,1.984507899943528,0.5642633228840126,1.4210854715202004e-14,3.189050657157371e-15
0.45,1.5,0.675,1.3395428324618814,2.222222222222222,0.45,0.8930285549745877,1.984507899943528,0.5642633228840126,1.4210854715202004e-14,3.352660305947274e-15
0.45,2.5,1.125,2.2325713874364688,2.2222222222222223,0.45,0.8930285549745876,1.9845078999435277,0.5642633228840126,1.3322676295501878e-14,2.362517032166777e-15
0.45,4.0,1.8,3.57211421989835,2.2222222222222223,0.45,0.8930285549745876,1.984507899943528,0.5642633228840126,1.4210854715202004e-14,3.189050657157371e-15
0.5,0.75,0.375,0.649519052838329,2.0,0.5,0.8660254037844387,1.7320508075688774,0.6666666666666666,9.769962616701378e-15,1.937159434386614e-15
0.5,1.0,0.5,0.8660254037844386,2.0,0.5,0.8660254037844386,1.7320508075688772,0.6666666666666667,8.881784197001252e-15,1.8574731299538457e-15
0.5,1.5,0.75,1.299038105676658,2.0,0.5,0.8660254037844387,1.7320508075688774,0.6666666666666666,9.769962616701378e-15,1.937159434386614e-15
0.5,2.5,1.25,2.165063509461097,2.0,0.5,0.8660254037844387,1.7320508075688774,0.6666666666666665,1.2434497875801753e-14,2.3230949218531644e-15
0.5,4.0,2.0,3.4641016151377544,2.0,0.5,0.8660254037844386,1.7320508075688772,0.6666666666666667,8.881784197001252e-15,1.8574731299538457e-15
0.55,0.75,0.41250000000000003,0.6263734908183775,1.8181818181818181,0.55,0.8351646544245033,1.518481189862733,0.7885304659498208,1.0658141036401503e-14,2.350219160556662e-15
0.55,1.0,0.55,0.8351646544245033,1.8181818181818181,0.55,0.8351646544245033,1.518481189862733,0.7885304659498208,1.5987211554602254e-14,3.564867180158937e-15
0.55,1.5,0.8250000000000001,1.252746981636755,1.8181818181818181,0.55,0.8351646544245033,1.518481189862733,0.7885304659498208,1.0658141036401503e-14,2.350219160556662e-15
0.55,2.5,1.375,2.0879116360612584,1.8181818181818181,0.55,0.8351646544245034,1.5184811898627333,0.7885304659498207,1.5987211554602254e-14,2.2784524804875237e-15
0.55,4.0,2.2,3.340658617698013,1.8181818181818181,0.55,0.8351646544245033,1.518481189862733,0.7885304659498208,1.5987211554602254e-14,3.564867180158937e-15
0.6,0.75,0.44999999999999996,0.6000000000000001,1.6666666666666667,0.6,0.8000000000000002,1.3333333333333337,0.9374999999999997,1.5987211554602254e-14,3.3437956492519974e-15
0.6,1.0,0.6,0.8,1.6666666666666667,0.6,0.8,1.3333333333333335,0.9374999999999998,1.2434497875801753e-14,2.7354777871675472e-15
0.6,1.5,0.8999999999999999,1.2000000000000002,1.6666666666666667,0.6,0.8000000000000002,1.3333333333333337,0.9374999999999997,1.5987211554602254e-14,3.3437956492519974e-15
0.6,2.5,1.5,2.0,1.6666666666666667,0.6,0.8,1.3333333333333333,0.9375,1.5987211554602254e-14,2.635567508775001e-15
0.6,4.0,2.4,3.2,1.6666666666666667,0.6,0.8,1.3333333333333335,0.9374999999999998,1.2434497875801753e-14,2.7354777871675472e-15
0.65,0.75,0.48750000000000004,0.5699506557588999,1.5384615384615383,0.65,0.7599342076785333,1.1691295502746664,1.1255411255411254,1.5987211554602254e-14,3.518457741941313e-15
0.65,1.0,0.65,0.7599342076785331,1.5384615384615383,0.65,0.7599342076785331,1.1691295502746664,1.1255411255411258,1.4210854715202004e-14,3.1693435392052657e-15
0.65,1.5,0.9750000000000001,1.1399013115177998,1.5384615384615383,0.65,0.7599342076785333,1.1691295502746664,1.1255411255411254,1.5987211554602254e-14,3.518457741941313e-15
0.65,2.5,1.625,1.899835519196333,1.5384615384615385,0.65,0.7599342076785331,1.1691295502746664,1.1255411255411256,1.3322676295501878e-14,2.9457252747172662e-15
0.65,4.0,2.6,3.0397368307141326,1.5384615384615383,0.65,0.7599342076785331,1.1691295502746664,1.1255411255411258,1.4210854715202004e-14,3.1693435392052657e-15
0.7,0.75,0.5249999999999999,0.5356071321407139,1.4285714285714288,0.6999999999999998,0.7141428428542852,1.0202040612204075,1.3725490196078425,1.1546319456101628e-14,2.5331338627065738e-15
0.7,1.0,0.7,0.714142842854285,1.4285714285714286,0.7,0.714142842854285,1.020204061220407,1.372549019607843,1.9539925233402755e-14,3.8428987205220425e-15
0.7,1.5,1.0499999999999998,1.0712142642814277,1.4285714285714288,0.6999999999999998,0.7141428428542852,1.0202040612204075,1.3725490196078425,1.1546319456101628e-14,2.5331338627065738e-15
0.7,2.5,1.75,1.7853571071357126,1.4285714285714286,0.7,0.7141428428542851,1.0202040612204073,1.372549019607843,1.2434497875801753e-14,2.7069914858210847e-15
0.7,4.0,2.8,2.85657137141714,1.4285714285714286,0.7,0.714142842854285,1.020204061220407,1.372549019607843,1.9539925233402755e-14,3.8428987205220425e-15
0.75,0.75,0.5625,0.49607837082461076,1.3333333333333333,0.75,0.6614378277661477,0.8819171036881969,1.7142857142857142,1.4210854715202004e-14,2.9810222148470163e-15
0.75,1.0,0.75,0.6614378277661477,1.3333333333333333,0.75,0.6614378277661477,0.8819171036881969,1.714285714285714,1.2434497875801753e-14,2.5128445658327164e-15
0.75,1.5,1.125,0.9921567416492215,1.3333333333333333,0.75,0.6614378277661477,0.8819171036881969,1.7142857142857142,1.4210854715202004e-14,2.9810222148470163e-15
0.75,2.5,1.875,1.653594569415369,1.3333333333333333,0.75,0.6614378277661477,0.8819171036881969,1.7142857142857142,2.042810365310288e-14,3.3211334108267998e-15
0.75,4.0,3.0,2.6457513110645907,1.3333333333333333,0.75,0.6614378277661477,0.8819171036881969,1.714285714285714,1.2434497875801753e-14,2.5128445658327164e-15
0.8,0.75,0.6000000000000001,0.4499999999999999,1.2499999999999998,0.8000000000000002,0.5999999999999999,0.7499999999999998,2.2222222222222237,1.5987211554602254e-14,3.774745222255586e-15
0.8,1.0,0.8,0.5999999999999999,1.25,0.8,0.5999999999999999,0.7499999999999998,2.2222222222222237,2.4868995751603507e-14,4.785097298927404e-15
0.8,1.5,1.2000000000000002,0.8999999999999998,1.2499999999999998,0.8000000000000002,0.5999999999999999,0.7499999999999998,2.2222222222222237,1.5987211554602254e-14,3.774745222255586e-15
0.8,2.5,2.0,1.5,1.25,0.8,0.6,0.75,2.2222222222222223,2.1316282072803006e-14,3.709999242331835e-15
0.8,4.0,3.2,2.3999999999999995,1.25,0.8,0.5999999999999999,0.7499999999999998,2.2222222222222237,2.4868995751603507e-14,4.785097298927404e-15
0.85,0.75,0.6375,0.39508701573197774,1.1764705882352942,0.85,0.526782687642637,0.6197443384031024,3.0630630630630624,2.842170943040401e-14,5.750760225070896e-15
0.85,1.0,0.85,0.526782687642637,1.1764705882352942,0.85,0.526782687642637,0.6197443384031024,3.063063063063062,1.9539925233402755e-14,5.178368684455074e-15
0.85,1.5,1.275,0.7901740314639555,1.1764705882352942,0.85,0.526782687642637,0.6197443384031024,3.0630630630630624,2.842170943040401e-14,5.750760225070896e-15
0.85,2.5,2.125,1.3169567191065923,1.1764705882352942,0.85,0.5267826876426369,0.6197443384031023,3.0630630630630633,2.6645352591003757e-14,5.19043215825321e-15
0.85,4.0,3.4,2.107130750570548,1.1764705882352942,0.85,0.526782687642637,0.6197443384031024,3.063063063063062,1.9539925233402755e-14,5.178368684455074e-15
0.9,0.75,0.675,0.3269174207655504,1.111111111111111,0.9,0.4358898943540672,0.48432210483785243,4.736842105263162,5.3290705182007514e-14,8.829456507508429e-15
0.9,1.0,0.9,0.4358898943540673,1.1111111111111112,0.9,0.4358898943540673,0.48432210483785254,4.73684210526316,2.5757174171303632e-14,7.050973898570615e-15
0.9,1.5,1.35,0.6538348415311008,1.111111111111111,0.9,0.4358898943540672,0.48432210483785243,4.736842105263162,5.3290705182007514e-14,8.829456507508429e-15
0.9,2.5,2.25,1.0897247358851685,1.1111111111111112,0.9,0.4358898943540674,0.48432210483785265,4.736842105263157,3.552713678800501e-14,7.852426233426523e-15
0.9,4.0,3.6,1.743559577416269,1.1111111111111112,0.9,0.4358898943540673,0.48432210483785254,4.73684210526316,2.5757174171303632e-14,7.050973898570615e-15
0.95,0.75,0.7124999999999999,0.2341874249399401,1.0526315789473686,0.9499999999999998,0.31224989991992014,0.3286841051788633,9.743589743589729,6.750155989720952e-14,1.3861740692317446e-14
0.95,1.0,0.95,0.31224989991991997,1.0526315789473684,0.95,0.31224989991991997,0.32868410517886315,9.74358974358974,7.815970093361102e-14,1.3698291429273258e-14
0.95,1.5,1.4249999999999998,0.4683748498798802,1.0526315789473686,0.9499999999999998,0.31224989991992014,0.3286841051788633,9.743589743589729,6.750155989720952e-14,1.3861740692317446e-14
0.95,2.5,2.375,0.7806247497997998,1.0526315789473684,0.95,0.3122498999199199,0.3286841051788631,9.743589743589743,6.661338147750939e-14,1.4000948569025765e-14
0.95,4.0,3.8,1.2489995996796799,1.0526315789473684,0.95,0.31224989991991997,0.32868410517886315,9.74358974358974,7.815970093361102e-14,1.3698291429273258e-14
