method,metric,threshold,direction,calibration_balanced_accuracy,holdout_balanced_accuracy,confirmation_balanced_accuracy,oos_mean_balanced_accuracy
legacy_random_5seed,ratio_candidate_times_geometry,80.81852095741331,ge,0.75,0.6071428571428572,0.25,0.4285714285714286
legacy_random_5seed,ratio_effective_over_count,0.5340473835499376,ge,0.75,0.42857142857142855,0.4166666666666667,0.4226190476190476
one_shot_random,ratio_anchored_span_over_std,2.5661538091211047,le,0.75,0.6071428571428572,0.6666666666666666,0.6369047619047619
one_shot_random,metric_ambiguity,0.535756782016975,ge,0.7875,0.6785714285714286,0.5833333333333333,0.6309523809523809
one_shot_random,metric_anchored_span,0.29393563795006317,ge,0.6625,0.6785714285714286,0.5833333333333333,0.6309523809523809
one_shot_random,ratio_std_over_ambiguity,0.2625387450198759,ge,0.6875,0.6071428571428572,0.5833333333333333,0.5952380952380952
one_shot_random,ratio_ambiguity_over_std,3.808979343800414,le,0.6875,0.6071428571428572,0.5833333333333333,0.5952380952380952
one_shot_random,ratio_std_over_set_span,0.2706721690253045,ge,0.725,0.6785714285714286,0.5,0.5892857142857143
one_shot_random,ratio_effective_times_anchored_span_over_std,114.17660086793879,le,0.675,0.4642857142857143,0.6666666666666666,0.5654761904761905
one_shot_random,ratio_ambiguity_over_effective,0.012469955167131064,ge,0.75,0.6071428571428572,0.5,0.5535714285714286
one_shot_random,ratio_effective_over_ambiguity,80.19760685792065,le,0.75,0.6071428571428572,0.5,0.5535714285714286
one_shot_random,metric_std,0.092811763317599,ge,0.7125,0.6785714285714286,0.41666666666666663,0.5476190476190477
one_shot_random,metric_set_span,0.374879924945805,ge,0.7125,0.6785714285714286,0.41666666666666663,0.5476190476190477
one_shot_random,ratio_std_over_geomspan,0.10702684280014926,ge,0.7125,0.6785714285714286,0.41666666666666663,0.5476190476190477
one_shot_random,ratio_std_times_effective_over_count,0.05157421535722185,ge,0.7125,0.6785714285714286,0.41666666666666663,0.5476190476190477
one_shot_random,ratio_candidate_times_geometry,36.962620837429085,ge,0.625,0.75,0.3333333333333333,0.5416666666666666
one_shot_random,ratio_geometry_over_candidate_effective,0.00013654530040951445,le,0.65,0.5714285714285714,0.5,0.5357142857142857
one_shot_random,ratio_effective_over_count,0.5339726828295146,ge,0.6,0.6428571428571428,0.3333333333333333,0.488095238095238
one_shot_random,ratio_count_over_effective,1.8727578964393983,le,0.6,0.6428571428571428,0.3333333333333333,0.488095238095238
one_shot_random,ratio_candidate_times_anchored_span_over_std,295.55325038057936,ge,0.65,0.3214285714285714,0.5,0.4107142857142857
persistent_mode_informed,ratio_candidate_times_anchored_span_over_std,444.13143102872425,le,0.6818181818181819,0.75,0.6666666666666666,0.7083333333333333
persistent_mode_informed,ratio_geometry_over_candidate_effective,5.262835947268088e-05,ge,0.6818181818181819,0.75,0.6666666666666666,0.7083333333333333
persistent_mode_informed,ratio_effective_times_anchored_span_over_std,243.19502074702325,le,0.6363636363636364,0.75,0.6666666666666666,0.7083333333333333
persistent_mode_informed,ratio_anchored_span_over_std,2.6245344039238505,le,0.6493506493506493,0.9166666666666667,0.5,0.7083333333333334
persistent_mode_informed,ratio_candidate_times_geometry,158.41435451601228,le,0.6818181818181819,0.5833333333333333,0.75,0.6666666666666666
persistent_mode_informed,ratio_std_times_effective_over_count,0.0457690471709644,ge,0.6948051948051948,0.5833333333333334,0.5,0.5416666666666667
persistent_mode_informed,ratio_ambiguity_over_effective,0.00283858222695855,ge,0.7402597402597402,0.6666666666666666,0.41666666666666663,0.5416666666666666
persistent_mode_informed,ratio_effective_over_ambiguity,352.47471293605673,le,0.7402597402597402,0.6666666666666666,0.41666666666666663,0.5416666666666666
persistent_mode_informed,metric_std,0.07167324600335875,ge,0.6948051948051948,0.6666666666666666,0.41666666666666663,0.5416666666666666
persistent_mode_informed,metric_anchored_span,0.19078215541819504,ge,0.6948051948051948,0.6666666666666666,0.41666666666666663,0.5416666666666666
persistent_mode_informed,ratio_std_over_geomspan,0.08696138850704173,ge,0.6948051948051948,0.6666666666666666,0.41666666666666663,0.5416666666666666
persistent_mode_informed,ratio_std_over_ambiguity,0.17291741400985045,ge,0.6493506493506493,0.6666666666666666,0.41666666666666663,0.5416666666666666
persistent_mode_informed,ratio_ambiguity_over_std,5.786597350554927,le,0.6493506493506493,0.6666666666666666,0.41666666666666663,0.5416666666666666
persistent_mode_informed,ratio_effective_over_count,0.6250851241366276,ge,0.6818181818181819,0.3333333333333333,0.6666666666666666,0.5
persistent_mode_informed,ratio_count_over_effective,1.5998300024883387,le,0.6818181818181819,0.3333333333333333,0.6666666666666666,0.5
persistent_mode_informed,metric_ambiguity,0.43410208569244335,ge,0.6948051948051948,0.5833333333333334,0.41666666666666663,0.5
persistent_mode_informed,metric_set_span,0.3697468695545676,ge,0.6493506493506493,0.5833333333333334,0.41666666666666663,0.5
persistent_mode_informed,ratio_std_over_set_span,0.20942790919048582,le,0.6298701298701299,0.3333333333333333,0.5,0.41666666666666663
