e,alpha,a1,a2,mean_collapse_error,max_collapse_error
0.85,0.75,1.5,4.0,5.193401515881155e-16,8.910231473507641e-15
0.85,0.75,2.5,4.0,4.978694890056458e-16,1.0813076765877776e-14
0.85,1.0,0.75,1.0,4.295384625530798e-16,6.676139134108996e-15
0.85,1.0,0.75,1.5,0.0,0.0
0.85,1.0,0.75,2.5,3.9460012818258065e-16,7.466249840604178e-15
0.85,1.0,0.75,4.0,4.295384625530798e-16,6.676139134108996e-15
0.85,1.0,1.0,1.5,4.295384625530798e-16,6.676139134108996e-15
0.85,1.0,1.0,2.5,4.085837003297711e-16,8.107669216110732e-15
0.85,1.0,1.0,4.0,0.0,0.0
0.85,1.0,1.5,2.5,3.9460012818258065e-16,7.466249840604178e-15
0.85,1.0,1.5,4.0,4.295384625530798e-16,6.676139134108996e-15
0.85,1.0,2.5,4.0,4.085837003297711e-16,8.107669216110732e-15
0.85,1.5,0.75,1.0,3.4660050192258726e-16,4.4561531270373326e-15
0.85,1.5,0.75,1.5,0.0,0.0
0.85,1.5,0.75,2.5,2.8950831931110493e-16,4.98212582300539e-15
0.85,1.5,0.75,4.0,3.4660050192258726e-16,4.4561531270373326e-15
0.85,1.5,1.0,1.5,3.4660050192258726e-16,4.4561531270373326e-15
0.85,1.5,1.0,2.5,3.267640187530119e-16,5.4099570369018346e-15
0.85,1.5,1.0,4.0,0.0,0.0
0.85,1.5,1.5,2.5,2.8950831931110493e-16,4.98212582300539e-15
0.85,1.5,1.5,4.0,3.4660050192258726e-16,4.4561531270373326e-15
0.85,1.5,2.5,4.0,3.267640187530119e-16,5.4099570369018346e-15
0.85,2.0,0.75,1.0,3.0754546394393856e-16,3.339453982049829e-15
0.85,2.0,0.75,1.5,0.0,0.0
0.85,2.0,0.75,2.5,2.3768034280031036e-16,3.733124920302089e-15
0.85,2.0,0.75,4.0,3.0754546394393856e-16,3.339453982049829e-15
0.85,2.0,1.0,1.5,3.0754546394393856e-16,3.339453982049829e-15
0.85,2.0,1.0,2.5,2.8721576035655254e-16,4.058392894287053e-15
0.85,2.0,1.0,4.0,0.0,0.0
0.85,2.0,1.5,2.5,2.3768034280031036e-16,3.733124920302089e-15
0.85,2.0,1.5,4.0,3.0754546394393856e-16,3.339453982049829e-15
0.85,2.0,2.5,4.0,2.8721576035655254e-16,4.058392894287053e-15
0.9,0.5,0.75,1.0,1.3460570280210942e-10,5.619579801452538e-08
0.9,0.5,0.75,1.5,0.0,0.0
0.9,0.5,0.75,2.5,1.3460578207894278e-10,5.619579801452538e-08
0.9,0.5,0.75,4.0,1.3460570280210942e-10,5.619579801452538e-08
0.9,0.5,1.0,1.5,1.3460570280210942e-10,5.619579801452538e-08
0.9,0.5,1.0,2.5,8.141942468486349e-16,1.9658786530415128e-14
0.9,0.5,1.0,4.0,0.0,0.0
0.9,0.5,1.5,2.5,1.3460578207894278e-10,5.619579801452538e-08
0.9,0.5,1.5,4.0,1.3460570280210942e-10,5.619579801452538e-08
0.9,0.5,2.5,4.0,8.141942468486349e-16,1.9658786530415128e-14
0.9,0.75,0.75,1.0,8.973717842282667e-11,3.746386534301692e-08
0.9,0.75,0.75,1.5,0.0,0.0
0.9,0.75,0.75,2.5,8.973720524713475e-11,3.746386534301692e-08
0.9,0.75,0.75,4.0,8.973717842282667e-11,3.746386534301692e-08
0.9,0.75,1.0,1.5,8.973717842282667e-11,3.746386534301692e-08
0.9,0.75,1.0,2.5,5.806271865894226e-16,1.3112387253404635e-14
0.9,0.75,1.0,4.0,0.0,0.0
0.9,0.75,1.5,2.5,8.973720524713475e-11,3.746386534301692e-08
0.9,0.75,1.5,4.0,8.973717842282667e-11,3.746386534301692e-08
0.9,0.75,2.5,4.0,5.806271865894226e-16,1.3112387253404635e-14
0.9,1.0,0.75,1.0,6.730291858453947e-11,2.809789900726269e-08
0.9,1.0,0.75,1.5,0.0,0.0
0.9,1.0,0.75,2.5,6.730291877526179e-11,2.809789900726269e-08
0.9,1.0,0.75,4.0,6.730291858453947e-11,2.809789900726269e-08
0.9,1.0,1.0,1.5,6.730291858453947e-11,2.809789900726269e-08
0.9,1.0,1.0,2.5,4.700632741800028e-16,9.84114239077122e-15
0.9,1.0,1.0,4.0,0.0,0.0
0.9,1.0,1.5,2.5,6.730291877526179e-11,2.809789900726269e-08
0.9,1.0,1.5,4.0,6.730291858453947e-11,2.809789900726269e-08
0.9,1.0,2.5,4.0,4.700632741800028e-16,9.84114239077122e-15
0.9,1.5,0.75,1.0,4.48686662358284e-11,1.873193267150846e-08
0.9,1.5,0.75,1.5,0.0,0.0
0.9,1.5,0.75,2.5,4.486863526967544e-11,1.873193267150846e-08
0.9,1.5,0.75,4.0,4.48686662358284e-11,1.873193267150846e-08
0.9,1.5,1.0,1.5,4.48686662358284e-11,1.873193267150846e-08
0.9,1.5,1.0,2.5,3.6185940099535687e-16,6.573795438263846e-15
0.9,1.5,1.0,4.0,0.0,0.0
0.9,1.5,1.5,2.5,4.486863526967544e-11,1.873193267150846e-08
0.9,1.5,1.5,4.0,4.48686662358284e-11,1.873193267150846e-08
0.9,1.5,2.5,4.0,3.6185940099535687e-16,6.573795438263846e-15
0.9,2.0,0.75,1.0,3.3651542767950635e-11,1.4048949503631345e-08
0.9,2.0,0.75,1.5,0.0,0.0
0.9,2.0,0.75,2.5,3.3651495336785796e-11,1.4048949503631345e-08
0.9,2.0,0.75,4.0,3.3651542767950635e-11,1.4048949503631345e-08
0.9,2.0,1.0,1.5,3.3651542767950635e-11,1.4048949503631345e-08
0.9,2.0,1.0,2.5,3.1162105050085536e-16,4.943999644233911e-15
0.9,2.0,1.0,4.0,0.0,0.0
0.9,2.0,1.5,2.5,3.3651495336785796e-11,1.4048949503631345e-08
0.9,2.0,1.5,4.0,3.3651542767950635e-11,1.4048949503631345e-08
0.9,2.0,2.5,4.0,3.1162105050085536e-16,4.943999644233911e-15
