e,alpha,a1,a2,mean_collapse_error,max_collapse_error
0.2,2.0,0.75,1.0,4.6883432857138666e-11,1.2904784139758925e-08
0.2,2.0,0.75,1.5,0.0,0.0
0.2,2.0,0.75,2.5,3.7584504205819676e-16,4.658825248306791e-15
0.2,2.0,0.75,4.0,4.6883432857138666e-11,1.2904784139758925e-08
0.2,2.0,1.0,1.5,4.6883432857138666e-11,1.2904784139758925e-08
0.2,2.0,1.0,2.5,4.6883422935549275e-11,1.2904784139758925e-08
0.2,2.0,1.0,4.0,0.0,0.0
0.2,2.0,1.5,2.5,3.7584504205819676e-16,4.658825248306791e-15
0.2,2.0,1.5,4.0,4.6883432857138666e-11,1.2904784139758925e-08
0.2,2.0,2.5,4.0,4.6883422935549275e-11,1.2904784139758925e-08
0.25,0.5,0.75,1.0,6.805136990891425e-16,9.28696748898837e-15
0.25,0.5,0.75,1.5,0.0,0.0
0.25,0.5,0.75,2.5,6.430864386757345e-16,6.558778181783045e-15
0.25,0.5,0.75,4.0,6.805136990891425e-16,9.28696748898837e-15
0.25,0.5,1.0,1.5,6.805136990891425e-16,9.28696748898837e-15
0.25,0.5,1.0,2.5,6.699602189471632e-16,1.3927243389092332e-14
0.25,0.5,1.0,4.0,0.0,0.0
0.25,0.5,1.5,2.5,6.430864386757345e-16,6.558778181783045e-15
0.25,0.5,1.5,4.0,6.805136990891425e-16,9.28696748898837e-15
0.25,0.5,2.5,4.0,6.699602189471632e-16,1.3927243389092332e-14
0.25,0.75,0.75,1.0,5.265699040305274e-16,6.214336398431863e-15
0.25,0.75,0.75,1.5,0.0,0.0
0.25,0.75,0.75,2.5,4.965639989585896e-16,4.384173062047055e-15
0.25,0.75,0.75,4.0,5.265699040305274e-16,6.214336398431863e-15
0.25,0.75,1.0,1.5,5.265699040305274e-16,6.214336398431863e-15
0.25,0.75,1.0,2.5,5.269629502713882e-16,9.302880628116477e-15
0.25,0.75,1.0,4.0,0.0,0.0
0.25,0.75,1.5,2.5,4.965639989585896e-16,4.384173062047055e-15
0.25,0.75,1.5,4.0,5.265699040305274e-16,6.214336398431863e-15
0.25,0.75,2.5,4.0,5.269629502713882e-16,9.302880628116477e-15
0.25,1.0,0.75,1.0,4.445467029562241e-16,4.668302997739993e-15
0.25,1.0,0.75,1.5,0.0,0.0
0.25,1.0,0.75,2.5,4.1067107122282244e-16,3.29450615336938e-15
0.25,1.0,0.75,4.0,4.445467029562241e-16,4.668302997739993e-15
0.25,1.0,1.0,1.5,4.445467029562241e-16,4.668302997739993e-15
0.25,1.0,1.0,2.5,4.4376278067999773e-16,6.996070742043272e-15
0.25,1.0,1.0,4.0,0.0,0.0
0.25,1.0,1.5,2.5,4.1067107122282244e-16,3.29450615336938e-15
0.25,1.0,1.5,4.0,4.445467029562241e-16,4.668302997739993e-15
0.25,1.0,2.5,4.0,4.4376278067999773e-16,6.996070742043272e-15
0.25,1.5,0.75,1.0,3.783969390412417e-16,3.144138325765144e-15
0.25,1.5,0.75,1.5,0.0,0.0
0.25,1.5,0.75,2.5,3.4810963805469683e-16,2.2385865440709654e-15
0.25,1.5,0.75,4.0,3.783969390412417e-16,3.144138325765144e-15
0.25,1.5,1.0,1.5,3.783969390412417e-16,3.144138325765144e-15
0.25,1.5,1.0,2.5,3.8292697027956555e-16,4.6998803940277125e-15
0.25,1.5,1.0,4.0,0.0,0.0
0.25,1.5,1.5,2.5,3.4810963805469683e-16,2.2385865440709654e-15
0.25,1.5,1.5,4.0,3.783969390412417e-16,3.144138325765144e-15
0.25,1.5,2.5,4.0,3.8292697027956555e-16,4.6998803940277125e-15
0.25,2.0,0.75,1.0,3.4490903395418796e-16,2.383143892635004e-15
0.25,2.0,0.75,1.5,0.0,0.0
0.25,2.0,0.75,2.5,3.1332840775329845e-16,1.7422013638940487e-15
0.25,2.0,0.75,4.0,3.4490903395418796e-16,2.383143892635004e-15
0.25,2.0,1.0,1.5,3.4490903395418796e-16,2.383143892635004e-15
0.25,2.0,1.0,2.5,3.5005527095449495e-16,3.562194573551303e-15
0.25,2.0,1.0,4.0,0.0,0.0
0.25,2.0,1.5,2.5,3.1332840775329845e-16,1.7422013638940487e-15
0.25,2.0,1.5,4.0,3.4490903395418796e-16,2.383143892635004e-15
0.25,2.0,2.5,4.0,3.5005527095449495e-16,3.562194573551303e-15
0.3,0.5,0.75,1.0,6.663497062768447e-16,1.8229307620542017e-14
0.3,0.5,0.75,1.5,0.0,0.0
0.3,0.5,0.75,2.5,5.466987119607561e-16,1.218175739911815e-14
0.3,0.5,0.75,4.0,6.663497062768447e-16,1.8229307620542017e-14
0.3,0.5,1.0,1.5,6.663497062768447e-16,1.8229307620542017e-14
0.3,0.5,1.0,2.5,6.512175682714346e-16,1.2391426920181328e-14
0.3,0.5,1.0,4.0,0.0,0.0
0.3,0.5,1.5,2.5,5.466987119607561e-16,1.218175739911815e-14
0.3,0.5,1.5,4.0,6.663497062768447e-16,1.8229307620542017e-14
