split,observation_seed,condition,geometry_skew_bin,true_alpha,true_t,true_rotation_shift,mean_best_entropy,mean_candidate_count,mean_anchored_alpha_log_std,mean_anchored_alpha_log_span,mean_anchored_effective_count,best_alpha_bank_log_span,anchored_alpha_bank_log_span,best_alpha_abs_error_mean,anchored_alpha_abs_error_mean,best_alpha_output,best_alpha_output_abs_error,anchored_alpha_output,anchored_alpha_output_abs_error,alpha_point_recoverable_flag,alpha_point_unrecoverable_flag,gate_threshold,gate_open_flag,point_output_flag,abstain_flag,gate_correct_flag,gate_open_and_recoverable_flag,gate_closed_and_unrecoverable_flag,trial_backbone_rho12,trial_backbone_rho13,trial_backbone_rho23,refined_alpha_output,refined_alpha_output_abs_error,refined_alpha_bank_log_span,refined_alpha_abs_error_mean,refined_beats_anchored_flag,refined_beats_best_flag
calibration,20260411,sparse_partial_high_noise,mid_skew,1.2226140284530431,0.2578962401373784,21,0.6110586613975559,101.2,0.20383067149766315,0.4921006420506896,55.515560062945745,0.41983922125673157,0.08990412823813049,0.16927901325562114,0.195642379718776,1.0344585192989164,0.1881555091541267,1.0265077111867946,0.1961063172662485,0,1,0.18902735609863774,0,0,1,1,0,1,0.26883941971394665,0.16472929147312748,0.22508695145942945,nan,nan,nan,nan,0,0
calibration,20260411,sparse_partial_high_noise,high_skew,1.2745425961678112,0.6954212915285561,18,0.5434076445960477,99.2,0.2668587225620286,0.6183335227148614,55.09361908742805,0.522064288657915,0.06796639939729492,0.2139013500220753,0.23519459310286353,1.0567307137326032,0.217811882435208,1.0390637562488962,0.23547883991891494,0,1,0.18902735609863774,0,0,1,1,0,1,0.26601520069349277,0.16214259940216852,0.22298709346627224,nan,nan,nan,nan,0,0
calibration,20260412,sparse_full_noisy,low_skew,0.8962159817208718,0.07936317382920971,18,0.7021156599643512,25.2,0.09905140935806939,0.24778531284304733,15.936499487786296,0.21602965189652829,0.02842712930445641,0.08768556665631726,0.10250530818957553,0.9778337015690711,0.08161771984819932,0.9986754608395465,0.1024594791186747,1,0,0.18902735609863774,1,1,0,1,1,0,0.22530461606708396,0.1361853424139051,0.1856240574719767,1.0179421271514832,0.12172614543061144,0.18975441752739497,0.12462114206177748,0,0
calibration,20260412,sparse_full_noisy,mid_skew,0.8301997466221273,-0.3456479674719034,7,0.3929704904254173,29.2,0.1740283196561224,0.401482186576929,16.96924297943345,0.36228941571536444,0.16222769801550135,0.2193085553391319,0.1512655326092937,1.034033050456544,0.20383330383441678,0.9798469054557415,0.14964715883361424,0,1,0.18902735609863774,1,1,0,0,0,0,0.25857561650306093,0.1536736406155562,0.21306233773897718,1.0118501250921024,0.18165037846997512,0.2739879206302952,0.18709207868878983,0,1
calibration,20260412,sparse_full_noisy,high_skew,1.1321343287894376,0.5160498421535533,31,0.47181021416206537,27.6,0.11692322880612305,0.26955794616307105,14.477650292790793,0.22474755400140514,0.0403342127090454,0.14850046992147234,0.13191957537293364,0.9784056750504772,0.1537286537389605,1.000114725897712,0.13201960289172554,1,0,0.18902735609863774,1,1,0,1,1,0,0.2611441226132133,0.16092441194903925,0.22190822968013943,0.96413712214374,0.16799720664569762,0.16945020150564333,0.16654633885409736,0,0
calibration,20260412,sparse_partial_high_noise,low_skew,1.1685674195962412,0.14831088408388507,32,0.829277371461042,91.0,0.10840029815914107,0.2976066066428915,48.9149571993472,0.18258715378805346,0.014984074899907985,0.1581162484974381,0.15827542855661317,1.007146386956363,0.16142103263987817,1.010269660529452,0.1582977590667891,0,1,0.18902735609863774,1,1,0,0,0,0,0.26723517172810796,0.16221210425305538,0.2211467085613145,1.0104417949305902,0.15812562466565105,0.0715077992045248,0.15780533293383064,1,1
calibration,20260412,sparse_partial_high_noise,mid_skew,0.8812085887392607,0.4266360032401446,58,0.7459480354766436,15.2,0.08417192923256772,0.23884614087118564,10.705942572861826,0.09182187480827454,0.03913840234033343,0.14868453789099165,0.13451526966159488,1.0292558072934896,0.14804721855422898,1.015631752666394,0.13442316392713338,1,0,0.18902735609863774,1,1,0,1,1,0,0.36471099283373154,0.23333496586331504,0.3215237132793134,1.0003134068862753,0.11910481814701468,0.053001139243445794,0.11924979711903008,1,1
calibration,20260412,sparse_partial_high_noise,high_skew,0.791242631916462,-0.6767255273818573,1,0.5371664912460958,116.0,0.28644113647153735,0.6780135345361993,63.754139365009586,0.5544414026463524,0.073541510907566,0.4241626497430562,0.27016753634540736,1.1775246887299524,0.38628205681349037,1.0609585723214987,0.26971594040503666,0,1,0.18902735609863774,0,0,1,1,0,1,0.2681479305994778,0.16453050011856454,0.2251721454918429,nan,nan,nan,nan,0,0
calibration,20260416,sparse_full_noisy,low_skew,0.843420762150945,0.03544723703524339,0,0.4214937678292384,34.2,0.16831835686597657,0.38891826503189175,19.807276767061328,0.3370404512630697,0.09231546392772635,0.06912136868770022,0.14063826801751458,0.9017853352899522,0.058364573139007225,0.9834917771824349,0.1400710150314899,1,0,0.18902735609863774,1,1,0,1,1,0,0.24478238148799378,0.14661325529755992,0.20139780523960132,0.9365215859711125,0.09310082382016749,0.18882090013430008,0.09542069319529108,1,0
calibration,20260416,sparse_full_noisy,mid_skew,0.8914591742959608,-0.41798272193138025,2,0.5474355383035876,32.4,0.10800821741519959,0.25645200575147736,18.17408110975977,0.2251579861451467,0.03666217041728893,0.04543834995744025,0.09885035443579995,0.930243957794231,0.03878478349827019,0.9902311433141832,0.09877196901822238,1,0,0.18902735609863774,1,1,0,1,1,0,0.24182336242756247,0.1458170831691048,0.2022200561134774,0.978884467460357,0.08742529316439618,0.14296545415534034,0.0886949805538109,1,0
calibration,20260416,sparse_full_noisy,high_skew,0.7919341547849998,0.6727910454320641,59,0.45856160878223146,38.4,0.22020368088614295,0.5095097598487219,23.264084108463397,0.4636928573317858,0.15224485937792426,0.36535802957202723,0.19926109132541395,1.1400483571296334,0.3481142023446335,0.9894975917938934,0.19756343700889356,0,1,0.18902735609863774,0,0,1,1,0,1,0.23396192343720862,0.14390779432944906,0.19431282247190856,nan,nan,nan,nan,0,0
calibration,20260416,sparse_partial_high_noise,low_skew,1.251449993747517,-0.011978891607849106,32,0.5929523989309361,94.4,0.23534518645001432,0.5686207536351031,51.25009421838524,0.48337979020085386,0.08193142427805664,0.10408498492001901,0.21030370044535704,1.1492776034066918,0.10217239034082515,1.0407337762501407,0.21071621749737623,0,1,0.18902735609863774,0,0,1,1,0,1,0.26533049644601137,0.16148284593572546,0.2216500814745427,nan,nan,nan,nan,0,0
calibration,20260416,sparse_partial_high_noise,mid_skew,1.2419793681897893,-0.44764907761156186,12,0.520745691441466,102.8,0.24834352013135547,0.5920508379706864,57.354803118880774,0.5383166464631396,0.05767315860272389,0.30755137135625293,0.22745290713864427,0.9480607532993356,0.2939186148904537,1.0143014340136394,0.2276779341761499,0,1,0.18902735609863774,0,0,1,1,0,1,0.2713619672756507,0.16608047917077376,0.22797869331342194,nan,nan,nan,nan,0,0
