split,observation_seed,condition,geometry_skew_bin,mean_band_candidate_count,mean_frontier_candidate_count,mean_cluster_count,mean_cluster_entropy,mean_geometry_span_norm_set,consensus_geometry_bank_span_norm,compression_load,mean_alpha_log_span_set,mean_ambiguity_ratio,mean_poison_pull,mean_supportive_pull,mode_persistence_rate,true_alpha,true_t,true_rotation_shift,alpha_fan,broad_fan,compact_minor,dominant_core,fringe_singleton,dominant_core_mean_mass,broad_fan_mean_mass,alpha_fan_mean_mass,fringe_singleton_mean_mass,compact_minor_mean_mass,fan_vs_core,fringe_vs_fan,useful_structure_ratio,fringe_burden,residual_shell_mass,residual_shell_alpha_mass,gate_open_flag,anchored_alpha_output_abs_error,refined_alpha_output_abs_error,correction_pressure,correction_flux,refined_alpha_bank_log_span,triggered_alpha_output_abs_error,improve,fan_rule_fire_flag,fan_rule_output_abs_error
calibration,20260412,sparse_full_noisy,low_skew,25.2,16.0,11.0,0.7666441366345824,0.7888910223629475,0.0841332280520782,9.376687910686444,0.2772087160739128,0.352678863894119,0.00918603990311,0.2853211666182073,0.9071578022594272,0.8962159817208718,0.0793631738292097,18,0.5567819125000926,0.0,2.0278458044910783,2.4153722830088276,0.0,0.4830744566017655,0.0,0.11135638250001852,0.0,0.40556916089821565,0.0,0.0,0.12531050727995677,0.20278458044910783,0.0,0.0,1,0.1024594791186747,0.1217261454306114,0.4385971292297506,0.0724061063176834,0.1897544175273949,0.1217261454306114,-0.0192666663119367,0,0.1024594791186747
calibration,20260412,sparse_full_noisy,mid_skew,29.2,16.0,12.4,0.8427067144099512,0.7672540571503417,0.0525988340633564,14.586902367953012,0.4528298070170637,0.5925019060735732,0.0015411128496217,0.2702654966261206,0.9058579530071116,0.8301997466221273,-0.3456479674719034,7,0.6723394546871012,1.8744211632311965,1.1755251714973174,1.2777142105843828,0.0,0.25554284211687656,0.37488423264623927,0.13446789093742023,0.0,0.23510503429946347,0.5946512255792674,0.0,1.038121528832315,0.11755251714973174,0.0,0.0,1,0.1496471588336142,0.1816503784699751,0.1616483258558121,0.0468856442065205,0.2739879206302952,0.1496471588336142,-0.03200321963636088,1,0.1816503784699751
calibration,20260412,sparse_full_noisy,high_skew,27.6,16.0,13.8,0.8231518124998992,0.7825370759543777,0.0884449400101385,8.847731434547576,0.3140842863099578,0.4036450808645552,0.0063014513015423,0.2871291823732841,0.9313811315962504,1.1321343287894376,0.5160498421535533,31,1.5190718086408617,0.0,2.0974850674841172,1.3834431238750184,0.0,0.27668862477500367,0.0,0.30381436172817233,0.0,0.41949701349682345,0.0,0.0,0.4363984906128549,0.20974850674841172,0.0,0.0,1,0.1320196028917255,0.1679972066456976,0.3411057796381216,0.0498539863996488,0.1694502015056433,0.1679972066456976,-0.035977603753972076,0,0.1320196028917255
calibration,20260412,sparse_partial_high_noise,low_skew,91.0,16.0,18.6,0.8313701606244532,0.9094204195533944,0.0559017083598353,16.26820442945176,0.417530701726666,0.4601633536052875,0.0,0.2744606835099901,0.9586470679010488,1.1685674195962412,0.148310884083885,32,0.8369083813787473,2.231406971039511,0.6384168549616547,0.9361073799853461,0.357160412634737,0.18722147599706923,0.44628139420790214,0.16738167627574946,0.07143208252694741,0.12768337099233093,0.704466254530949,0.13797609244684939,1.5884142146387406,0.13527376802311286,0.17791128796290706,0.13935987285378076,1,0.1582977590667891,0.158125624665651,0.1015132474845371,0.0183401104907108,0.0715077992045248,0.1582977590667891,0.00017213440113811318,1,0.158125624665651
calibration,20260412,sparse_partial_high_noise,mid_skew,15.2,16.0,12.4,0.7798517637933403,0.5655694569611018,0.1078625271942305,5.243428572210882,0.2918848787044402,0.5165813191695042,0.0044753195563669,0.3298281932625287,0.8643939254312641,0.8812085887392607,0.4266360032401446,58,1.0734476264520874,0.4707055652751124,2.8264119346569156,0.6294348736158829,0.0,0.1258869747231766,0.09414111305502249,0.21468952529041746,0.0,0.5652823869313831,0.4278595246890575,0.0,0.4468233916013638,0.28264119346569155,0.7839449790764459,0.3463902972730569,1,0.1344231639271333,0.1191048181470146,0.2730550499817028,0.0287294629295689,0.0530011392434457,0.1191048181470146,0.015318345780118703,1,0.1191048181470146
calibration,20260416,sparse_full_noisy,low_skew,34.2,16.0,11.6,0.8372302733679303,0.7906409842709285,0.0682373402587138,11.586632498765429,0.4406041040651081,0.5598290353702347,0.0,0.3322330382354344,0.9177138189249524,0.843420762150945,0.0354472370352433,0,1.3968501762850485,1.6776112927626747,0.5175598052303817,1.388429911114725,0.0195488146071684,0.277685982222945,0.3355222585525349,0.2793700352570097,0.00390976292143368,0.10351196104607634,0.5471587565885029,0.011518544727912548,1.5966761607866908,0.05566574344447185,0.0,0.0,1,0.1400710150314899,0.0931008238201674,0.3008655246664752,0.0633014884368513,0.1888209001343,0.0931008238201674,0.04697019121132248,1,0.0931008238201674
calibration,20260416,sparse_full_noisy,mid_skew,32.4,16.0,13.4,0.8078623693133956,0.8427386009048558,0.0692717640936344,12.165687014491622,0.2989758513697926,0.3548989729257256,0.0,0.3455854520658851,0.9309137069063628,0.8914591742959608,-0.4179827219313802,2,0.9032718874103498,0.0,1.6485602975124571,2.412919455156522,0.0352483599206685,0.4825838910313044,0.0,0.18065437748206997,0.0070496719841337,0.32971205950249144,0.0,1.0,0.2204861691051712,0.17190570173537942,0.0,0.0,1,0.0987719690182223,0.0874252931643961,0.199542229618652,0.035920334200275,0.1429654541553403,0.0987719690182223,0.011346675853826205,0,0.0987719690182223
calibration,20260417,sparse_full_noisy,low_skew,42.4,16.0,14.2,0.8312594852639765,0.8314061300388351,0.0627716225944763,13.24493609811507,0.4105268809549208,0.4939956505736681,0.0,0.3005547920664232,0.8782200558831701,1.125363630106658,0.0032712117242083,39,1.6930936166614308,0.6773960801849332,0.7331616867096911,1.6881779969011308,0.20817061954281119,0.33763559938022614,0.13547921603698665,0.33861872333228615,0.041634123908562234,0.1466323373419382,0.28635589421885954,0.2350705142896751,0.9014947361124164,0.11495029257953134,0.0,0.0,1,0.1274620310365655,0.1597040025945928,0.4038565236718819,0.0691686341829925,0.236291709286424,0.1597040025945928,-0.0322419715580273,0,0.1274620310365655
calibration,20260417,sparse_full_noisy,high_skew,13.8,16.0,12.6,0.7852858382480778,0.6985176515603606,0.1352885786069285,5.163167938883109,0.4377998361577705,0.6379916089381179,0.0064525631072291,0.3898087511151852,0.891552704882635,0.8225173096767153,0.5662878117286482,16,1.466384138402708,1.419020877058327,1.4949867560681063,0.6196082284708571,0.0,0.12392164569417141,0.2838041754116654,0.29327682768054164,0.0,0.29899735121362125,0.6960662305907674,0.0,1.3645189913708837,0.14949867560681063,0.0,0.0,1,0.1328944674485733,0.1296852236851673,0.2756727888601508,0.0805366676379337,0.3215524734649612,0.1296852236851673,0.0032092437634060056,1,0.1296852236851673
calibration,20260417,sparse_partial_high_noise,low_skew,101.4,16.0,20.0,0.8403075253579194,0.9023913402736512,0.0650114244871154,13.880504040524368,0.5398872197459053,0.598813023412466,0.0,0.3738818581604445,0.9703202348163004,0.8118979550083474,-0.1806085087754579,29,0.950700151241538,2.236772801272576,0.337317059700128,1.1299775750637364,0.345232412722018,0.22599551501274728,0.4473545602545152,0.19014003024830758,0.0690464825444036,0.0674634119400256,0.6643714416708926,0.13370709356078816,1.7585795240602835,0.10277818851441639,0.45687140382344305,0.4087796555560592,1,0.1834749006539744,0.1395383914039945,0.3720821023645693,0.0972620168123367,0.2340078199964541,0.1395383914039945,0.04393650924997991,1,0.1395383914039945
