split,observation_seed,condition,geometry_skew_bin,bank_seed,cluster_id,cluster_size,cluster_mass_layer1,cluster_mass_layer2,cluster_best_score,cluster_mean_score_gap,cluster_center_rho12,cluster_center_rho13,cluster_center_rho23,cluster_center_alpha,cluster_geometry_span,cluster_alpha_span,cluster_rank_by_mass,archetype
calibration,20260410,sparse_full_noisy,low_skew,20260325,0,2,0.1561419484807293,0.3808019551556203,0.0014585312877905,0.0003396603719021,0.3675544283043914,0.2334660657618668,0.2873511808226171,0.9491414285419434,0.0590890896870961,0.2534213783052613,2,alpha_fan
calibration,20260410,sparse_full_noisy,low_skew,20260325,1,3,0.1498247534563827,0.0419784098493008,0.0014750509753414,0.0003795104838776,0.4237443672408691,0.3351520889592134,0.3614892434894598,1.0000322112200075,0.0718536716360282,0.1410372507439691,3,compact_minor
calibration,20260410,sparse_full_noisy,low_skew,20260325,2,4,0.2305211362740597,0.0496979922087048,0.0014991395403212,0.0004155205763155,0.213329158213882,0.1255692791857212,0.1552698186653389,1.0017277931714474,0.0970240238085905,0.3255284544636871,1,alpha_fan
calibration,20260410,sparse_full_noisy,low_skew,20260325,3,1,0.1088038704128298,0.0206021260976726,0.0016030187326864,0.0001444874448959,0.43232115195372,0.3130126766199202,0.4007276314092877,0.8982369401679546,0.0,0.0,4,compact_minor
calibration,20260410,sparse_full_noisy,low_skew,20260325,4,5,0.0951506547082269,0.2688927416581488,0.0016566529058532,0.0005419820409397,0.2935905890950996,0.1808923958249991,0.2499118623966985,1.0177432766224297,0.1784246129043834,0.3179635151073523,5,alpha_fan
calibration,20260410,sparse_full_noisy,low_skew,20260325,5,1,0.0753108386558366,0.099059731082504,0.001750187870021,0.0002916565822304,0.3496822528066055,0.2872269743488653,0.301840362976604,1.125018739847982,0.0,0.0,6,compact_minor
calibration,20260410,sparse_full_noisy,low_skew,20260325,6,1,0.0653207261723431,0.0423415659716961,0.0018071137415842,0.0003485824537936,0.439594270548897,0.1921994055472487,0.3467005172117435,1.168285665776475,0.0,0.0,7,compact_minor
calibration,20260410,sparse_full_noisy,low_skew,20260325,7,1,0.0602893197641599,0.0924561697345179,0.0018391755077783,0.0003806442199877,0.2969488563702391,0.1412371775802061,0.2544230728044944,0.8273180844997886,0.0,0.0,8,compact_minor
calibration,20260410,sparse_full_noisy,low_skew,20260325,8,3,0.0586367520754315,0.0041693082418341,0.0018502928282539,0.0005709241461356,0.1549420191975863,0.0915655385254739,0.1330355063152863,1.1947330239020202,0.1042032997029941,0.0276210841696545,9,compact_minor
calibration,20260410,sparse_full_noisy,low_skew,20260325,9,1,0.0,0.0,0.0019528570682513,0.0004943257804607,0.4333314001842973,0.2421600052224527,0.4229439605965925,1.0444551130588429,0.0,0.0,10,fringe_singleton
calibration,20260410,sparse_full_noisy,low_skew,20260325,10,2,0.0,0.0,0.0020518331089466,0.0006723902774915,0.3777776136117292,0.1663544562727827,0.3308152740219061,1.0818650211996914,0.0736548543135741,0.1795345180693957,11,fringe_singleton
calibration,20260410,sparse_full_noisy,low_skew,20260325,11,1,0.0,0.0,0.0021973788418425,0.0007388475540519,0.2497153380180841,0.1014629394662874,0.2039865215015441,1.1455032343505196,0.0,0.0,12,fringe_singleton
calibration,20260410,sparse_full_noisy,low_skew,20260325,12,1,0.0,0.0,0.0022050866601726,0.000746555372382,0.3860428089233638,0.28576295264513,0.405695138524797,1.1277055214575535,0.0,0.0,13,fringe_singleton
calibration,20260410,sparse_full_noisy,low_skew,20260326,0,7,0.384587488310608,0.5655911865260389,0.0014625128296737,0.0003029243066993,0.3136238523653569,0.2071905169036043,0.2573302789402568,1.1000002529300918,0.195412703361476,0.1349229615612743,1,compact_minor
calibration,20260410,sparse_full_noisy,low_skew,20260326,1,1,0.1235201627558537,0.1014244863434568,0.0014862707716485,2.375794197484655e-05,0.4311512324910664,0.2413383419861184,0.2718500594136546,0.883428258219019,0.0,0.0,4,compact_minor
