e,alpha1,alpha2,mean_family_distance,max_family_distance
0.4,1.0,2.0,0.3591607110117698,0.458256649302433
0.4,1.5,2.0,0.11972023700392324,0.15275221643414433
0.45,0.5,0.75,0.46660916202890884,0.5953511744999724
0.45,0.5,1.0,0.6999137430433632,0.8930267617499588
0.45,0.5,1.5,0.9332183240578177,1.1907023489999449
0.45,0.5,2.0,1.049870614565045,1.339540142624938
0.45,0.75,1.0,0.23330458101445442,0.29767558724998633
0.45,0.75,1.5,0.4666091620289088,0.5953511744999725
0.45,0.75,2.0,0.5832614525361359,0.7441889681249657
0.45,1.0,1.5,0.23330458101445442,0.2976755872499862
0.45,1.0,2.0,0.3499568715216816,0.4465133808749794
0.45,1.5,2.0,0.11665229050722721,0.14883779362499316
0.5,0.5,0.75,0.4524999628562867,0.5773491098552279
0.5,0.5,1.0,0.67874994428443,0.8660236647828418
0.5,0.5,1.5,0.9049999257125734,1.1546982197104558
0.5,0.5,2.0,1.018124916426645,1.2990354971742626
0.5,0.75,1.0,0.22624998142814334,0.28867455492761385
0.5,0.75,1.5,0.45249996285628674,0.5773491098552278
0.5,0.75,2.0,0.5656249535703585,0.7216863873190347
0.5,1.0,1.5,0.22624998142814334,0.28867455492761396
0.5,1.0,2.0,0.339374972142215,0.4330118323914209
0.5,1.5,2.0,0.11312499071407167,0.14433727746380692
0.55,0.5,0.75,0.43637516111483127,0.5567753182613973
0.55,0.5,1.0,0.6545627416722468,0.8351629773920959
0.55,0.5,1.5,0.8727503222296625,1.1135506365227945
0.55,0.5,2.0,0.9818441125083702,1.252744466088144
0.55,0.75,1.0,0.21818758055741563,0.27838765913069863
0.55,0.75,1.5,0.43637516111483127,0.5567753182613973
0.55,0.75,2.0,0.5454689513935391,0.6959691478267466
0.55,1.0,1.5,0.21818758055741563,0.27838765913069863
0.55,1.0,2.0,0.3272813708361234,0.41758148869604794
0.55,1.5,2.0,0.10909379027870782,0.13919382956534931
0.6,0.5,0.75,0.41800156058139637,0.5333322623860905
0.6,0.5,1.0,0.6270023408720946,0.7999983935791358
0.6,0.5,1.5,0.8360031211627927,1.066664524772181
0.6,0.5,2.0,0.9405035113081419,1.1999975903687037
0.6,0.75,1.0,0.20900078029069818,0.2666661311930453
0.6,0.75,1.5,0.41800156058139637,0.5333322623860905
0.6,0.75,2.0,0.5225019507267454,0.6666653279826131
0.6,1.0,1.5,0.20900078029069818,0.2666661311930453
0.6,1.0,2.0,0.3135011704360473,0.3999991967895679
0.6,1.5,2.0,0.10450039014534909,0.13333306559652264
0.65,0.5,0.75,0.39706710595249134,0.5066217878072166
0.65,0.5,1.0,0.5956006589287369,0.759932681710825
0.65,0.5,1.5,0.7941342119049827,1.0132435756144331
0.65,0.5,2.0,0.8934009883931053,1.1398990225662375
0.65,0.75,1.0,0.19853355297624567,0.2533108939036084
0.65,0.75,1.5,0.39706710595249134,0.5066217878072167
0.65,0.75,2.0,0.4963338824406141,0.6332772347590209
0.65,1.0,1.5,0.19853355297624567,0.2533108939036083
0.65,1.0,2.0,0.29780032946436846,0.3799663408554125
0.65,1.5,2.0,0.09926677648812283,0.1266554469518042
0.7,0.5,0.75,0.37314102848890757,0.4760942725578877
0.7,0.5,1.0,0.5597115427333614,0.7141414088368316
0.7,0.5,1.5,0.7462820569778151,0.9521885451157754
0.7,0.5,2.0,0.8395673141000422,1.0712121132552475
0.7,0.75,1.0,0.18657051424445378,0.23804713627894392
0.7,0.75,1.5,0.37314102848890757,0.4760942725578878
0.7,0.75,2.0,0.46642628561113453,0.5951178406973597
0.7,1.0,1.5,0.18657051424445378,0.23804713627894386
0.7,1.0,2.0,0.2798557713666807,0.3570707044184158
0.7,1.5,2.0,0.09328525712222689,0.11902356813947196
0.75,0.5,0.75,0.34560255529227324,0.4409576663878261
0.75,0.5,1.0,0.51840383293841,0.6614364995817391
0.75,0.5,1.5,0.6912051105845465,0.8819153327756521
0.75,0.5,2.0,0.7776057494076148,0.9921547493726086
0.75,0.75,1.0,0.17280127764613662,0.22047883319391304
0.75,0.75,1.5,0.3456025552922733,0.4409576663878261
0.75,0.75,2.0,0.4320031941153416,0.5511970829847825
0.75,1.0,1.5,0.17280127764613662,0.22047883319391304
0.75,1.0,2.0,0.259201916469205,0.33071824979086956
0.75,1.5,2.0,0.08640063882306831,0.11023941659695652
0.8,0.5,0.75,0.3135011704360473,0.39999919678956786
0.8,0.5,1.0,0.4702517556540709,0.5999987951843518
0.8,0.5,1.5,0.6270023408720946,0.7999983935791357
0.8,0.5,2.0,0.7053776334811064,0.8999981927765277
0.8,0.75,1.0,0.15675058521802365,0.19999959839478398
0.8,0.75,1.5,0.3135011704360473,0.3999991967895679
0.8,0.75,2.0,0.391876463045059,0.4999989959869599
0.8,1.0,1.5,0.15675058521802365,0.19999959839478393
0.8,1.0,2.0,0.23512587782703545,0.2999993975921759
0.8,1.5,2.0,0.07837529260901183,0.09999979919739199
0.85,0.5,0.75,0.2752449819023557,0.351187753232841
0.85,0.5,1.0,0.4128674728535335,0.5267816298492616
0.85,0.5,1.5,0.5504899638047114,0.702375506465682
0.85,0.5,2.0,0.6193012092803003,0.7901724447738924
0.85,0.75,1.0,0.13762249095117784,0.17559387661642056
0.85,0.75,1.5,0.2752449819023557,0.35118775323284107
0.85,0.75,2.0,0.34405622737794456,0.43898469154105135
0.85,1.0,1.5,0.13762249095117784,0.1755938766164205
0.85,1.0,2.0,0.20643373642676674,0.2633908149246308
0.85,1.5,2.0,0.06881124547558892,0.08779693830821028
0.9,0.5,0.75,0.22775332010207525,0.2905926793838609
0.9,0.5,1.0,0.34162998015311286,0.4358890190757914
0.9,0.5,1.5,0.4555066402041505,0.5811853587677218
0.9,0.5,2.0,0.5124449702296693,0.6538335286136872
0.9,0.75,1.0,0.11387666005103762,0.1452963396919305
0.9,0.75,1.5,0.22775332010207525,0.29059267938386096
0.9,0.75,2.0,0.284691650127594,0.36324084922982625
0.9,1.0,1.5,0.11387666005103762,0.14529633969193045
0.9,1.0,2.0,0.17081499007655643,0.2179445095378957
0.9,1.5,2.0,0.05693833002551881,0.07264816984596525
