e,a1,a2,mean_collapse_error,max_collapse_error
0.5,1.5,4.0,2.8681999582243073e-16,3.650675994272797e-15
0.5,2.5,4.0,2.431272754478824e-16,2.776112617575152e-15
0.55,0.75,1.0,3.0215913402341763e-16,3.4989643425563487e-15
0.55,0.75,1.5,0.0,0.0
0.55,0.75,2.5,2.6659794357675324e-16,2.3826185393545094e-15
0.55,0.75,4.0,3.0215913402341763e-16,3.4989643425563487e-15
0.55,1.0,1.5,3.0215913402341763e-16,3.4989643425563487e-15
0.55,1.0,2.5,2.6742300462268947e-16,3.44269848777947e-15
0.55,1.0,4.0,0.0,0.0
0.55,1.5,2.5,2.6659794357675324e-16,2.3826185393545094e-15
0.55,1.5,4.0,3.0215913402341763e-16,3.4989643425563487e-15
0.55,2.5,4.0,2.6742300462268947e-16,3.44269848777947e-15
0.6,0.75,1.0,3.047537807882321e-16,6.554078232643619e-15
0.6,0.75,1.5,0.0,0.0
0.6,0.75,2.5,2.6100922695925894e-16,6.184590632250848e-15
0.6,0.75,4.0,3.047537807882321e-16,6.554078232643619e-15
0.6,1.0,1.5,3.047537807882321e-16,6.554078232643619e-15
0.6,1.0,2.5,2.4923816496963085e-16,4.48802164916502e-15
0.6,1.0,4.0,0.0,0.0
0.6,1.5,2.5,2.6100922695925894e-16,6.184590632250848e-15
0.6,1.5,4.0,3.047537807882321e-16,6.554078232643619e-15
0.6,2.5,4.0,2.4923816496963085e-16,4.48802164916502e-15
0.65,0.75,1.0,2.107374666325876e-11,1.0536712127723512e-08
0.65,0.75,1.5,0.0,0.0
0.65,0.75,2.5,2.9027121589705087e-16,3.789423922623494e-15
0.65,0.75,4.0,2.107374666325876e-11,1.0536712127723512e-08
0.65,1.0,1.5,2.107374666325876e-11,1.0536712127723512e-08
0.65,1.0,2.5,2.107373125250218e-11,1.0536712127723512e-08
0.65,1.0,4.0,0.0,0.0
0.65,1.5,2.5,2.9027121589705087e-16,3.789423922623494e-15
0.65,1.5,4.0,2.107374666325876e-11,1.0536712127723512e-08
0.65,2.5,4.0,2.107373125250218e-11,1.0536712127723512e-08
0.7,0.75,1.0,3.0386603067368575e-16,6.184590632250848e-15
0.7,0.75,1.5,0.0,0.0
0.7,0.75,2.5,3.2330501828677267e-16,8.414392407092491e-15
0.7,0.75,4.0,3.0386603067368575e-16,6.184590632250848e-15
0.7,1.0,1.5,3.0386603067368575e-16,6.184590632250848e-15
0.7,1.0,2.5,2.7925565130046207e-16,3.1442302063507628e-15
0.7,1.0,4.0,0.0,0.0
0.7,1.5,2.5,3.2330501828677267e-16,8.414392407092491e-15
0.7,1.5,4.0,3.0386603067368575e-16,6.184590632250848e-15
0.7,2.5,4.0,2.7925565130046207e-16,3.1442302063507628e-15
0.75,0.75,1.0,2.9442417091328364e-16,9.186196677925575e-15
0.75,0.75,1.5,0.0,0.0
0.75,0.75,2.5,3.3073684749694114e-16,7.099407485460597e-15
0.75,0.75,4.0,2.9442417091328364e-16,9.186196677925575e-15
0.75,1.0,1.5,2.9442417091328364e-16,9.186196677925575e-15
0.75,1.0,2.5,2.9319637338864873e-16,7.230101031281382e-15
0.75,1.0,4.0,0.0,0.0
0.75,1.5,2.5,3.3073684749694114e-16,7.099407485460597e-15
0.75,1.5,4.0,2.9442417091328364e-16,9.186196677925575e-15
0.75,2.5,4.0,2.9319637338864873e-16,7.230101031281382e-15
0.8,0.75,1.0,9.125401913628507e-12,4.562530187486071e-09
0.8,0.75,1.5,0.0,0.0
0.8,0.75,2.5,3.136121903326633e-16,4.919005331294476e-15
0.8,0.75,4.0,9.125401913628507e-12,4.562530187486071e-09
0.8,1.0,1.5,9.125401913628507e-12,4.562530187486071e-09
0.8,1.0,2.5,9.12542297652699e-12,4.562530187486071e-09
0.8,1.0,4.0,0.0,0.0
0.8,1.5,2.5,3.136121903326633e-16,4.919005331294476e-15
0.8,1.5,4.0,9.125401913628507e-12,4.562530187486071e-09
0.8,2.5,4.0,9.12542297652699e-12,4.562530187486071e-09
0.85,0.75,1.0,7.853974667108153e-12,3.926800762822708e-09
0.85,0.75,1.5,0.0,0.0
0.85,0.75,2.5,7.853998394326388e-12,3.926800762822702e-09
0.85,0.75,4.0,7.853974667108153e-12,3.926800762822708e-09
0.85,1.0,1.5,7.853974667108153e-12,3.926800762822708e-09
0.85,1.0,2.5,4.1196608294970547e-16,8.699159310635322e-15
0.85,1.0,4.0,0.0,0.0
0.85,1.5,2.5,7.853998394326388e-12,3.926800762822702e-09
0.85,1.5,4.0,7.853974667108153e-12,3.926800762822708e-09
0.85,2.5,4.0,4.1196608294970547e-16,8.699159310635322e-15
0.9,0.75,1.0,6.98485498204596e-12,3.4922400792782467e-09
0.9,0.75,1.5,0.0,0.0
0.9,0.75,2.5,9.619134638934565e-12,4.809329095243684e-09
0.9,0.75,4.0,6.98485498204596e-12,3.4922400792782467e-09
0.9,1.0,1.5,6.98485498204596e-12,3.4922400792782467e-09
0.9,1.0,2.5,2.634603031527538e-12,1.3170890159654386e-09
0.9,1.0,4.0,0.0,0.0
0.9,1.5,2.5,9.619134638934565e-12,4.809329095243684e-09
0.9,1.5,4.0,6.98485498204596e-12,3.4922400792782467e-09
0.9,2.5,4.0,2.634603031527538e-12,1.3170890159654386e-09
0.95,0.75,1.0,1.0763219841706034e-12,5.377773969302948e-10
0.95,0.75,1.5,0.0,0.0
0.95,0.75,2.5,5.825203235075304e-12,2.912193387637184e-09
0.95,0.75,4.0,1.0763219841706034e-12,5.377773969302948e-10
0.95,1.0,1.5,1.0763219841706034e-12,5.377773969302948e-10
0.95,1.0,2.5,4.749529253712948e-12,2.3744159907068985e-09
0.95,1.0,4.0,0.0,0.0
0.95,1.5,2.5,5.825203235075304e-12,2.912193387637184e-09
0.95,1.5,4.0,1.0763219841706034e-12,5.377773969302948e-10
0.95,2.5,4.0,4.749529253712948e-12,2.3744159907068985e-09
