condition,trial,true_rho,true_t,true_h,true_w1,true_w2,true_w3,true_alpha,true_rotation_shift,baseline_geometry_mae,baseline_weight_mae,baseline_alpha_error,baseline_fit_rmse,harmonic_geometry_mae,harmonic_weight_mae,harmonic_alpha_error,harmonic_fit_rmse,pca_geometry_mae,pca_weight_mae,pca_alpha_error,pca_fit_rmse,oracle_geometry_mae,oracle_weight_mae,oracle_alpha_error,oracle_fit_rmse
sparse_partial_high_noise,0,0.18380484215445722,0.20198390643465183,1.3468971440695963,0.07261033963567898,0.4646047991262643,0.46278486123805673,1.736156775554657,22,0.0574139391418989,0.22846230692472325,0.24458155770077283,0.07130706519652402,0.032334687182331824,0.01788672612457147,0.30103519599078,0.11343161338063992,0.06429391034401614,0.09082042616042203,0.2541577509430253,0.09513504743042295,0.037047694392498894,0.26837302078237674,0.16343002326972567,0.0477769426658456
sparse_partial_high_noise,1,0.10278761052993653,0.02841723869413466,1.2989718264861696,0.3763689004144556,0.3363491930933501,0.2872819064921943,1.026178618761101,55,0.08269477298699068,0.10525709012500346,0.13536424740607067,0.0632229466708031,0.023962893478060538,0.053097745643461515,0.02405620326847613,0.01643090711900246,0.1439535844198556,0.038994002768863945,0.052970325053965484,0.01237568947968291,0.04142199832071589,0.11790954818812953,0.05650725233141363,0.030287047908131977
sparse_partial_high_noise,2,0.2071985041909233,0.06765266423140825,1.3455156426017427,0.14728494179610596,0.419192710014349,0.43352234818954505,0.6267256702741086,21,0.09148261373783555,0.15054415851650377,1.158550401690425,0.05628219481707682,0.044999922547220884,0.08910896995594969,0.34648262343302694,0.16507257178375423,0.27883325939829523,0.08738329183821957,0.37831965316214733,0.1653400738933837,0.10699208464052633,0.1418020964796284,0.005811727988746518,0.02756962510495868
sparse_partial_high_noise,3,0.11829126854976357,0.4008879007756663,0.8208514290650932,0.4678913424200868,0.13509023949305488,0.39701841808685834,1.4261448350997556,44,0.0708432781903852,0.07344966793600995,0.05132065363173588,0.02525934384236605,0.023195953996628924,0.11856717965764736,0.6782275524672599,0.03022064013106031,0.023195953996628924,0.11856717965764736,0.6782275524672599,0.03022064013106031,0.0708432781903852,0.07344966793600995,0.05132065363173588,0.025259343842366045
sparse_partial_high_noise,4,0.10111782292559308,0.15617943532629242,1.3170116375707832,0.3723524850490889,0.06727920031197179,0.5603683146389393,1.3917618174689617,32,0.12334730020618778,0.11070391885295279,0.06684768588461609,0.06771953367335894,0.21618960402850226,0.2013494147501503,0.09527457223162394,0.030723152808990635,0.024883719214159068,0.17598273189883695,0.671549005165453,0.004764564992148637,0.06894091945711406,0.10649871389170133,0.006736982313989559,0.015417972517667553
sparse_partial_high_noise,5,0.2028317415144783,-0.6824380719725114,1.0630144447842267,0.3198394850997351,0.29886458073446587,0.3812959341657991,1.3750624071037576,19,0.054899376660629585,0.10092799445778693,0.7111393368163781,0.04178084678972162,0.05515038863479347,0.06829562180306015,0.401854113396622,0.11053711770121237,0.17885919724539825,0.3502860102415502,0.3840508994838313,0.1129887884912879,0.2312398637980401,0.24798811573917298,0.015964051912661148,0.016303621625679585
sparse_partial_high_noise,6,0.10789677464368207,-0.3549263584569273,0.8433439175455957,0.34955531357169445,0.1152633105507309,0.5351813758775746,1.2616291462395153,34,0.13021597604954915,0.06929177370218625,0.41214994235895663,0.05313044372379737,0.05044895511082794,0.1883332021837801,0.30531794759071995,0.06858143484203454,0.18514231509938592,0.1887697269400864,0.39752758412745703,0.034952795263573866,0.03136918175356189,0.19224881076124703,0.09016624493194425,0.05125510983551549
sparse_partial_high_noise,7,0.07271408217824384,-0.3636400545535085,1.0907469699490122,0.039601371935997824,0.38986987867139056,0.5705287493926117,1.6142233385751423,19,0.24542724035845062,0.19793779875259943,0.05803482122873915,0.01264732987696782,0.24811857360792078,0.2728106858545975,1.0041205951369063,0.08172471694452892,0.24811857360792078,0.2728106858545975,1.0041205951369063,0.08172471694452892,0.24542724035845062,0.19793779875259943,0.05803482122873915,0.01264732987696782
sparse_partial_high_noise,8,0.18955845584459494,-0.6105607750029955,1.045925956408443,0.38292542632676246,0.2010187115295734,0.4160558621436641,1.3819533401794322,19,0.06534860541282152,0.07624831222374451,0.14135197554448964,0.06736333911308125,0.18736034504219878,0.03161459803752876,0.014010738975543502,0.009735617727587461,0.18736034504219878,0.03161459803752876,0.014010738975543502,0.009735617727587461,0.09583334574006423,0.03774507520097301,0.060657576428184035,0.02837607413581321
sparse_partial_high_noise,9,0.14841259377017926,0.5804742331540282,1.0480358272894439,0.38492735573987474,0.30136360945051366,0.31370903480961165,0.9126484341034473,20,0.0958292475617788,0.2344620327833832,0.24737349432304145,0.027233014207857755,0.0824614456966956,0.12192284162829292,0.03319121594191843,0.0494606886393555,0.09360783899072256,0.15996768053519742,0.05441304183694906,0.026582850964652033,0.10984945009478607,0.13411281735662475,0.06307287024305364,0.029990206659637586
sparse_partial_high_noise,10,0.14614642045598658,0.23659574604132716,0.7625044010131942,0.08583244826798699,0.5290317454744337,0.38513580625757937,1.4563326609522116,16,0.05163427671349296,0.1337717237258683,0.0256663636594201,0.07608685355019688,0.06577043817471756,0.2075855281671759,0.4892711850118152,0.12593553951917674,0.06577043817471756,0.2075855281671759,0.4892711850118152,0.1263592610644105,0.0396166956589136,0.0628055170610175,0.06697265477171022,0.01757822784512119
sparse_partial_high_noise,11,0.16703746114252851,0.18117197905150428,1.0231508584003601,0.5995022661872189,0.3059926828967105,0.09450505091607059,0.7371094710067987,57,0.06638990365724232,0.09395644071799941,0.6676550470471883,0.06612374137942617,0.10540820790372606,0.16384415618322765,0.2539020366131276,0.11394758868329115,0.05899795651337366,0.43575167726573144,0.2786272183885097,0.11347606818739528,0.032145765464028635,0.07768060671143934,0.0399076914770331,0.022899941147236712
sparse_partial_high_noise,12,0.0821099633772082,0.04215036749227987,0.796166857037035,0.3849343611995058,0.24456326882310042,0.37050236997739383,0.7877678419066718,60,0.07708230744172768,0.116219222402883,0.03985055927417602,0.027952879472821855,0.19381986663311732,0.1094033665246943,0.39297530199191844,0.051823846081033395,0.08661697032730416,0.18680943042711076,0.03116336083465976,0.04565457712421113,0.11876275738642716,0.21814178499341033,0.023478943479091074,0.02336837917734022
