condition,mode,representation,trial,true_alpha,true_rotation_shift,geometry_mae,weight_mae,alpha_abs_error,fit_rmse,euclidean_fit_rmse,fit_improvement_factor
full_clean,pose_free,support,8,1.7809293534356287,25,0.031714279140437014,0.2503025170498256,0.03093368961252696,0.014514170066148638,0.18914662539365856,13.031859522908908
full_clean,canonical,radial,9,0.756121449780609,0,0.12403359310000872,0.14912433337513942,0.017876500607478585,0.01874807494021556,0.09778883964263332,5.2159403007757
full_clean,pose_free,radial,9,0.756121449780609,63,0.00887245988653143,0.32262167184930046,0.5448170281965219,0.016565721262036422,0.09392634638597444,5.669921937007655
full_clean,canonical,support,9,0.756121449780609,0,0.12403359310000872,0.14912433337513942,0.017876500607478585,0.01703995264920362,0.0962245723589555,5.646997637839837
full_clean,pose_free,support,9,0.756121449780609,63,0.00887245988653143,0.32262167184930046,0.5448170281965219,0.01425406828086745,0.09225084966309262,6.471896152406993
full_clean,canonical,radial,10,1.128288809347239,0,0.120159338498675,0.12613595243096454,0.014937136577362509,0.005439615480749399,0.04171111701510346,7.668026749816708
full_clean,pose_free,radial,10,1.128288809347239,56,0.120159338498675,0.12613595243096454,0.014937136577362509,0.005439615480749399,0.04030645752625811,7.4097990324686
full_clean,canonical,support,10,1.128288809347239,0,0.120159338498675,0.12613595243096454,0.014937136577362509,0.005339501369997734,0.04161716235955084,7.794203892032806
full_clean,pose_free,support,10,1.128288809347239,56,0.120159338498675,0.12613595243096454,0.014937136577362509,0.005339501369997734,0.040245296767921275,7.5372762322071205
full_clean,canonical,radial,11,1.2230744834600042,0,0.03435655912712391,0.17481627636238603,0.029702090569372785,0.012010325724907948,0.06964862229852799,5.799061898386757
full_clean,pose_free,radial,11,1.2230744834600042,63,0.1042538440881232,0.38550872472868564,0.4183906115650611,0.007069930881293628,0.06761379486157344,9.563572260723678
full_clean,canonical,support,11,1.2230744834600042,0,0.03435655912712391,0.17481627636238603,0.029702090569372785,0.012018507909108305,0.06907413701436561,5.747313854327734
full_clean,pose_free,support,11,1.2230744834600042,63,0.1042538440881232,0.38550872472868564,0.4183906115650611,0.00658625712966202,0.06710407805628629,10.188499588647218
full_clean,canonical,radial,12,1.6944599717557487,0,0.056440785817307194,0.03222524358011153,0.01796945233863645,0.008553602329573664,0.18481014121686123,21.606117995208773
full_clean,pose_free,radial,12,1.6944599717557487,56,0.056440785817307194,0.03222524358011153,0.01796945233863645,0.008553602329573664,0.18479163567324033,21.603954515670228
full_clean,canonical,support,12,1.6944599717557487,0,0.056440785817307194,0.03222524358011153,0.01796945233863645,0.009466933286628638,0.17520221137129202,18.506754623353324
full_clean,pose_free,support,12,1.6944599717557487,56,0.056440785817307194,0.03222524358011153,0.01796945233863645,0.009466933286628638,0.1751863433334399,18.505078469379097
full_clean,canonical,radial,13,0.8129163961694917,0,0.03979549446164876,0.03617956647103938,0.002755886806336205,0.010193481646114855,0.0722228869780443,7.0852030234018555
full_clean,pose_free,radial,13,0.8129163961694917,17,0.03780313975778682,0.1989067714526412,0.008508069911826843,0.004554413370628536,0.0685933982979634,15.060863543990763
full_clean,canonical,support,13,0.8129163961694917,0,0.10112688635731253,0.09519090500548105,0.005880244667057721,0.009431677181425326,0.07172312035439316,7.6044927084277365
full_clean,pose_free,support,13,0.8129163961694917,17,0.03780313975778682,0.1989067714526412,0.008508069911826843,0.004491110747681641,0.06801723205301435,15.144857447152816
full_clean,canonical,radial,14,1.5470084580446768,0,0.06030402842989004,0.1346278915213303,0.008904158546622298,0.002956693162783065,0.15145206391280874,51.22346336751782
full_clean,pose_free,radial,14,1.5470084580446768,22,0.06030402842989004,0.1346278915213303,0.008904158546622298,0.002956693162783065,0.1513044944315492,51.1735530544975
full_clean,canonical,support,14,1.5470084580446768,0,0.06030402842989004,0.1346278915213303,0.008904158546622298,0.002644819311168874,0.14598288667814396,55.19578825731843
full_clean,pose_free,support,14,1.5470084580446768,22,0.06030402842989004,0.1346278915213303,0.008904158546622298,0.0026448193111688737,0.14598288667814396,55.19578825731844
full_clean,canonical,radial,15,1.3940653064465505,0,0.20783539943315152,0.13769269834683437,0.034966951255454015,0.010840430614435756,0.11389423598931765,10.506430974951252
full_clean,pose_free,radial,15,1.3940653064465505,23,0.1854589987666211,0.5407266355592527,0.6641456356856235,0.008316127928740622,0.11313583381400072,13.60438833835181
full_clean,canonical,support,15,1.3940653064465505,0,0.19050571528284124,0.3530722431668997,0.0018987727084252004,0.01063330841049907,0.1114732747409041,10.483404641102867
full_clean,pose_free,support,15,1.3940653064465505,23,0.09568455132957647,0.34283034647036453,0.6759668552071489,0.007580480789939723,0.1107493412198303,14.60980434998384
full_clean,canonical,radial,16,0.8818650688053744,0,0.06003927983825332,0.2066057212160799,0.011595576059602819,0.009843649431392036,0.04425916413724574,4.4962149907635265
full_clean,pose_free,radial,16,0.8818650688053744,53,0.044882232433841034,0.20193811031953238,0.005256937285369134,0.005109577085994154,0.04063659682835291,7.953025493977136
full_clean,canonical,support,16,0.8818650688053744,0,0.06003927983825332,0.2066057212160799,0.011595576059602819,0.0102456532840746,0.0441069714231215,4.304944760494625
full_clean,pose_free,support,16,0.8818650688053744,53,0.044882232433841034,0.20193811031953238,0.005256937285369134,0.005067951526627054,0.04058412696247873,8.007994304848701
full_clean,canonical,radial,17,1.6115399266507624,0,0.02301219702329672,0.0573449644027898,0.026981187089494485,0.013980260654380268,0.1659746524176372,11.872071381275308
full_clean,pose_free,radial,17,1.6115399266507624,53,0.02301219702329672,0.0573449644027898,0.026981187089494485,0.013980260654380268,0.16548365987001126,11.836950966873586
full_clean,canonical,support,17,1.6115399266507624,0,0.02301219702329672,0.0573449644027898,0.026981187089494485,0.01275391294931598,0.1583467908468859,12.41554583884614
