condition,geometry_skew_bin,trial_in_cell,true_alpha,true_t,top_seed_rank,top_seed_alpha,top_seed_t,top_seed_alpha_strength,raw_ratio_index,support_alias_index,alpha_orbit_absorbable_change,visible_skew_anchor,conditioned_alpha_error,family_alpha_error,conditioned_geometry_mae,family_geometry_mae,family_better,family_minus_conditioned_alpha_gain,raw_router_choose_family,raw_router_alpha_error,raw_router_correct,support_router_choose_family,support_router_alpha_error,support_router_correct,oracle_router_alpha_error
sparse_full_noisy,high_skew,2,1.2767886860745101,0.5254765400033514,1,1.266696025618516,-0.33083688590610644,0.23641195591550299,0.714587659317402,0.0,0.0,0.0021821363356212876,0.013240672877339321,0.010092660455994107,0.14042125698787208,0.11938924398428048,1,0.0031480124213452143,1,0.010092660455994107,1,1,0.010092660455994107,1,0.010092660455994107
sparse_full_noisy,high_skew,3,1.1521326195850496,-0.5656671757810996,1,1.139079173730286,0.3511576025274178,0.130220193664928,0.3708311958154477,1.4591144349190066,0.0020423449651481226,0.0013997154138643624,0.01584372783709842,0.013053445854763535,0.03472802776298437,0.07632637448535073,1,0.0027902819823348857,0,0.01584372783709842,0,0,0.01584372783709842,0,0.013053445854763535
sparse_partial_high_noise,low_skew,0,1.2569188878635538,-0.15229024484509088,1,1.137202151413636,0.471769910259083,0.12857099264451494,0.2725290228321414,1.2095107471067048,0.002332150536767009,0.0019281767792024948,0.11971673644991787,0.11971673644991787,0.08681814958467321,0.05686014394738692,0,0.0,0,0.11971673644991787,1,0,0.11971673644991787,1,0.11971673644991787
sparse_partial_high_noise,low_skew,1,0.8624122499001882,0.18510904879854398,1,1.1692389270661159,0.6368387077209661,0.1563530474623743,0.24551435954939024,1.381975899955639,0.0005354394059230629,0.0003874448215343338,0.03626637935296284,0.3101509096045084,0.05836492427344012,0.06362356919772508,0,-0.2738845302515456,1,0.3101509096045084,0,1,0.3101509096045084,0,0.03626637935296284
sparse_partial_high_noise,low_skew,2,0.7857583886376794,0.16742103563674596,1,1.1579554375318877,-0.5824828455516012,0.14665589614081492,0.25177719354453143,0.6302461316895622,0.0028747375012479013,0.004561293368895914,0.37219704889420824,0.37219704889420824,0.13990065619462624,0.20307596713699402,0,0.0,0,0.37219704889420824,1,1,0.37219704889420824,0,0.37219704889420824
sparse_partial_high_noise,low_skew,3,0.8819038893280221,-0.13714302817188434,1,1.1579554375318877,-0.5824828455516012,0.14665589614081492,0.25177719354453143,0.34114533645981765,0.0006190335765287169,0.0018145743481433484,0.27605154820386557,0.18766868145539484,0.06832754145621305,0.0743590979451353,1,0.08838286674847073,0,0.27605154820386557,0,1,0.18766868145539484,1,0.18766868145539484
sparse_partial_high_noise,mid_skew,0,0.8354192556733231,0.3745751383679515,1,1.2613899836168747,0.27639451195163184,0.2322142745284555,0.8401551568038813,1.0927769859664889,0.0017573693874713414,0.0016081683729064487,0.4259707279435516,0.4259707279435516,0.17261483191903035,0.1853451116429777,0,0.0,1,0.4259707279435516,0,0,0.4259707279435516,1,0.4259707279435516
sparse_partial_high_noise,mid_skew,1,1.1124755237721258,-0.22825175701686976,1,0.9609161150505362,-0.5420896658434821,0.039868163051181876,0.07354532942285057,4.594207452086835,0.008975214832919246,0.0019535937213375986,0.0815594087215894,0.15155940872158957,0.07348629169687355,0.03287565746709873,0,-0.07000000000000017,0,0.0815594087215894,1,0,0.0815594087215894,1,0.0815594087215894
sparse_partial_high_noise,mid_skew,2,1.2804525619213016,0.4106468097398704,1,1.300938477977131,-0.39158687469804154,0.2630859101548497,0.6718455779645811,0.0,0.0,0.0019880527061196225,0.02048591605582928,0.02048591605582928,0.040192350624837225,0.03787062380700679,0,0.0,1,0.02048591605582928,0,1,0.02048591605582928,0,0.02048591605582928
sparse_partial_high_noise,mid_skew,3,0.881673051373355,0.2182501983467554,1,1.1488557429081974,0.0541757381907145,0.1387664408611282,2.5614130143022615,2.500624645608358,0.00631668852803809,0.0025260442582342663,0.2807394556902645,0.2671826915348423,0.01978952862586567,0.16601799179418705,1,0.013556764155422174,1,0.2671826915348423,1,0,0.2807394556902645,0,0.2671826915348423
sparse_partial_high_noise,high_skew,0,1.2747178011675482,-0.5427436256373093,1,0.8112467853857629,0.4642667505929957,0.20918297351620235,0.4505663462847995,7.922011289463138,0.0063848607100236345,0.0008059646063009241,0.03512964447543099,0.01179631114209756,0.058317563580946453,0.049706072854823515,1,0.023333333333333428,1,0.01179631114209756,1,0,0.03512964447543099,0,0.01179631114209756
