split,observation_seed,condition,geometry_skew_bin,true_alpha,true_t,true_rotation_shift,mean_best_entropy,mean_candidate_count,mean_alpha_log_span_set,mean_geometry_span_norm_set,mean_ambiguity_ratio,mean_anchored_alpha_log_std,mean_anchored_alpha_log_span,mean_anchored_effective_count,best_alpha_bank_log_span,anchored_alpha_bank_log_span,best_alpha_abs_error_mean,anchored_alpha_abs_error_mean,alpha_abs_error_gain,anchored_beats_best_flag,alpha_point_recoverable_flag,alpha_point_unrecoverable_flag
calibration,20260412,sparse_partial_high_noise,low_skew,1.1685674195962412,0.14831088408388507,32,0.829277371461042,91.0,0.417530701726666,0.9094204195533943,0.4601633536052875,0.10840029815914107,0.2976066066428915,48.9149571993472,0.18258715378805346,0.014984074899907985,0.1581162484974381,0.15827542855661317,-0.0001591800591750625,0,0,1
calibration,20260412,sparse_partial_high_noise,mid_skew,0.8812085887392607,0.4266360032401446,58,0.7459480354766436,15.2,0.29188487870444024,0.5655694569611018,0.5165813191695042,0.08417192923256772,0.23884614087118564,10.705942572861826,0.09182187480827454,0.03913840234033343,0.14868453789099165,0.13451526966159488,0.014169268229396764,1,1,0
calibration,20260412,sparse_partial_high_noise,high_skew,0.791242631916462,-0.6767255273818573,1,0.5371664912460958,116.0,0.9049414500712466,0.8952899023519489,1.0122866678493385,0.28644113647153735,0.6780135345361993,63.754139365009586,0.5544414026463524,0.073541510907566,0.4241626497430562,0.27016753634540736,0.15399511339764882,1,0,1
calibration,20260416,sparse_full_noisy,low_skew,0.843420762150945,0.03544723703524339,0,0.4214937678292384,34.2,0.4406041040651081,0.7906409842709285,0.5598290353702347,0.16831835686597657,0.38891826503189175,19.807276767061328,0.3370404512630697,0.09231546392772635,0.06912136868770022,0.14063826801751458,-0.07151689932981437,0,1,0
calibration,20260416,sparse_full_noisy,mid_skew,0.8914591742959608,-0.41798272193138025,2,0.5474355383035876,32.4,0.29897585136979266,0.8427386009048558,0.35489897292572564,0.10800821741519959,0.25645200575147736,18.17408110975977,0.2251579861451467,0.03666217041728893,0.04543834995744025,0.09885035443579995,-0.053412004478359705,0,1,0
calibration,20260416,sparse_full_noisy,high_skew,0.7919341547849998,0.6727910454320641,59,0.45856160878223146,38.4,0.5676106303413835,0.772141720962271,0.7457008743492661,0.22020368088614295,0.5095097598487219,23.264084108463397,0.4636928573317858,0.15224485937792426,0.36535802957202723,0.19926109132541395,0.16609693824661328,1,0,1
calibration,20260416,sparse_partial_high_noise,low_skew,1.251449993747517,-0.011978891607849106,32,0.5929523989309361,94.4,0.6747641241018935,0.897427787439448,0.7526313736269886,0.23534518645001432,0.5686207536351031,51.25009421838524,0.48337979020085386,0.08193142427805664,0.10408498492001901,0.21030370044535704,-0.10621871552533803,0,0,1
calibration,20260416,sparse_partial_high_noise,mid_skew,1.2419793681897893,-0.44764907761156186,12,0.520745691441466,102.8,0.686822949001196,0.9026830015305249,0.761735978575009,0.24834352013135547,0.5920508379706864,57.354803118880774,0.5383166464631396,0.05767315860272389,0.30755137135625293,0.22745290713864427,0.08009846421760866,1,0,1
calibration,20260416,sparse_partial_high_noise,high_skew,1.1866154632460388,0.6027915804267757,5,0.5435061560909835,123.0,0.8423572842061494,0.9100605016919993,0.9262150484791294,0.2942339422463644,0.7166568823973366,69.32580417954888,0.624076665767614,0.06889729794194674,0.27272577328944303,0.11457829007782201,0.15814748321162103,1,1,0
calibration,20260417,sparse_full_noisy,low_skew,1.1253636301066579,0.0032712117242083226,39,0.5664489308187474,42.4,0.41052688095492085,0.8314061300388351,0.4939956505736681,0.13701625231477382,0.3387957646759875,24.138250778011034,0.315158025239328,0.04322459211929286,0.1258573181830451,0.12726942331973173,-0.001412105136686631,0,1,0
calibration,20260417,sparse_full_noisy,mid_skew,0.7818524568839363,0.22568076777600718,9,0.4706303214284572,22.8,0.583024113304415,0.7122236950930946,0.8794644158911108,0.24082891903672676,0.5330884407154456,14.12474960859364,0.5050224175459032,0.17435621980970284,0.29892402710839744,0.21363137334397395,0.08529265376442349,1,0,1
calibration,20260417,sparse_full_noisy,high_skew,0.8225173096767153,0.5662878117286482,16,0.4121263613431562,13.8,0.4377998361577705,0.6985176515603606,0.6379916089381179,0.17528752396114822,0.39576600365068737,7.516481502187422,0.4077934116042922,0.13955771092042912,0.3014685908253022,0.1340702151160757,0.1673983757092265,1,1,0
calibration,20260417,sparse_partial_high_noise,low_skew,0.8118979550083474,-0.1806085087754579,29,0.6492393327361862,101.4,0.5398872197459053,0.9023913402736513,0.598813023412466,0.15683960533587593,0.40510622510420424,55.93279422448732,0.3181586779898219,0.07940470342031862,0.10131258714188437,0.18386888066440338,-0.082556293522519,0,0,1
calibration,20260417,sparse_partial_high_noise,mid_skew,1.2619160489624313,0.23231582095435085,4,0.6015355120725714,106.4,0.920124625668097,0.8869612633276308,1.0391976435077577,0.26863221942696935,0.6357473146389717,57.575341739446586,0.021953827567274264,0.06466268918266802,0.009557058499272974,0.20816077809530129,-0.19860371959602832,0,0,1
calibration,20260417,sparse_partial_high_noise,high_skew,0.86848329444384,-0.6280079309469837,40,0.6403411630453155,86.2,0.5440473595068542,0.915078697627236,0.595370017071876,0.17929096922062426,0.43684278982397406,48.540922004357505,0.3753261110235563,0.08045372971133725,0.15153256238692808,0.1329955356539885,0.018537026732939582,1,1,0
calibration,20260418,sparse_full_noisy,low_skew,0.8433559122909388,0.14583597539702348,3,0.5315967129681702,31.8,0.4516351310438161,0.7886383332689766,0.5800079906040995,0.16936500628359957,0.3965450520215185,18.659865433107797,0.37847326633874157,0.10830706145091354,0.14680639272216045,0.1420184093171811,0.004787983404979351,1,1,0
calibration,20260418,sparse_full_noisy,mid_skew,1.2669206668244894,0.35992966721599756,52,0.3046836620802467,1.8,0.2167351479466566,0.07232607266921853,1.9616687699586186,0.09594247237963756,0.2167351479466566,1.6022127339317578,0.5395119875265447,0.42030395619292615,0.13955730152754992,0.14132903911167677,-0.0017717375841268534,0,0,1
calibration,20260418,sparse_full_noisy,high_skew,0.8130490064634044,0.4964261640515543,13,0.38430698157704557,32.4,0.5179869468213749,0.7291546558904417,0.7199737655705019,0.2036624809581779,0.4840512422571643,19.673327386103175,0.41197816104360296,0.14973343653584448,0.08553040972572772,0.1615217618417268,-0.0759913521159991,0,0,1
calibration,20260418,sparse_partial_high_noise,low_skew,1.1668612367248918,-0.14594916659893772,41,0.9918081875746697,63.6,0.2780541861522917,0.8901399029574047,0.31337963894002174,0.07276067265016598,0.20788865662031064,34.737699616248875,0.019312156556158554,0.016172371169166387,0.16675964655106384,0.15993814043685137,0.006821506114212478,1,0,1
calibration,20260418,sparse_partial_high_noise,mid_skew,0.8927899215802785,0.31239828831979416,15,0.8403635805319443,79.0,0.40485976422072234,0.908629744878238,0.44637390079595407,0.10921696205156409,0.30289911267273856,41.87434516570387,0.0319187398053562,0.02449037392204562,0.16513699362767215,0.12269753712783238,0.04243945649983977,1,1,0
calibration,20260418,sparse_partial_high_noise,high_skew,1.1985688418340448,0.4633307896967259,24,0.6293043304828976,104.2,0.6006100623526038,0.9179350204434957,0.6548741765900983,0.19662185155357564,0.4747084770012521,55.706011573702696,0.046540059088622104,0.09152212973048164,0.020037070021354308,0.17157419694057902,-0.15153712691922472,0,0,1
holdout,20260422,sparse_full_noisy,low_skew,0.8454209249936677,0.16946780190594682,35,0.5061510292908702,34.6,0.3993542335701358,0.777503989402197,0.5177702762466074,0.1428397872976997,0.3432281180016316,20.737096231197388,0.3064288671857942,0.0776413169362482,0.1267285156068869,0.1251377872844652,0.0015907283224216862,1,1,0
holdout,20260422,sparse_full_noisy,mid_skew,1.1375779426247343,-0.4219389980466032,15,0.45421428387875806,39.0,0.36834399235910653,0.8351315178039831,0.4415973438631882,0.13224278732311845,0.3148006610796986,22.776495646267456,0.2907176211052672,0.04978677803644005,0.07141085533720545,0.14166124145714296,-0.0702503861199375,0,1,0
holdout,20260422,sparse_full_noisy,high_skew,0.8791076466259337,0.6874423450019049,63,0.5044649749836905,9.8,0.2792992317204471,0.6094126447942695,0.46839719572083016,0.09814035523854056,0.25302089799912614,6.107039009291971,0.23371718416844084,0.05792020215302901,0.14990870342979173,0.16062794193725355,-0.010719238507461815,0,0,1
holdout,20260422,sparse_partial_high_noise,low_skew,0.881734382249758,0.17784105610841,54,0.9966784470107299,56.8,0.26184963941405737,0.8639022515214432,0.3030607228365005,0.06846646141906218,0.187348760407483,31.69382965378542,0.021816271556068995,0.023382542368592024,0.12022214425177222,0.11709069252940214,0.003131451722370074,1,1,0
holdout,20260422,sparse_partial_high_noise,mid_skew,1.193340098604452,-0.28236615286284156,37,0.8986221462296736,70.8,0.33059219058464134,0.9015431783130541,0.3672161293659498,0.08023759055613824,0.2313560527983276,38.17714725336077,0.11550601167523154,0.023372642150625726,0.21591164213724764,0.1821614570443757,0.03375018509287195,1,0,1
holdout,20260422,sparse_partial_high_noise,high_skew,0.8058417417559449,-0.5118742378742865,56,0.70779492223395,108.8,0.516858257626248,0.9158486503226267,0.5653692766890297,0.14675034007574086,0.38857426379568816,59.15695724899983,0.3275829516986462,0.0474069328614318,0.2316302323283448,0.21454013680326356,0.017090095525081228,1,0,1
holdout,20260423,sparse_full_noisy,low_skew,1.1624723636075858,-0.1594309746744751,38,0.39656788755681605,15.8,0.3879305486032044,0.7132180943711048,0.5502972390960897,0.12672798913868966,0.29198309494506425,9.261924916289974,0.33716146238624234,0.09552207333875137,0.1346531710663493,0.07865127524197808,0.05600189582437122,1,1,0
holdout,20260423,sparse_full_noisy,mid_skew,0.7901616811706246,-0.36926069541729967,39,0.2384336646852395,29.2,0.6288999338073177,0.7907994701204137,0.7952300928840141,0.24020043284761788,0.5660787983183784,17.02454857254533,0.5539168778037842,0.06119428662801231,0.22005029241226975,0.20430754406037846,0.015742748351891295,1,0,1
holdout,20260423,sparse_full_noisy,high_skew,0.8688163105521297,-0.5257667371670004,28,0.40922968778116725,11.4,0.4130929627654509,0.5579127112436792,0.7610851402368819,0.1466963151743731,0.35517956770490655,7.632537211365968,0.3609290665237666,0.11623143962035168,0.1345270735557727,0.09928386621333649,0.03524320734243622,1,1,0
holdout,20260423,sparse_partial_high_noise,low_skew,1.284002752037176,0.09283757178881881,29,0.6099831270590059,107.6,0.6624193071211382,0.894669016299224,0.7418365386638317,0.21995473973531848,0.5489336343840882,59.13492308359107,0.4557085879986672,0.08178704873711658,0.21680377842400186,0.24962706504077542,-0.032823286616773556,0,0,1
holdout,20260423,sparse_partial_high_noise,mid_skew,1.2481451346845953,-0.2693313050528414,37,0.7499151677441482,112.0,0.4382863718481329,0.9162501519275914,0.4788884627066866,0.12409373779205198,0.3408233611203972,61.10863694744243,0.22656524162169112,0.02733253001497698,0.3134354090294048,0.24036691571248464,0.07306849331692017,1,0,1
holdout,20260423,sparse_partial_high_noise,high_skew,1.1892117130269413,-0.6618817448914281,0,0.856627124516252,57.4,0.29147811779338106,0.8654332265964177,0.33681424753651046,0.07263285239592285,0.20621407542720727,28.83761362183669,0.053950256843221335,0.026715902951672893,0.25052308358303427,0.19685748647206572,0.05366559711096855,1,0,1
holdout,20260424,sparse_full_noisy,low_skew,1.220903502241568,-0.08422455438773073,27,0.37385086881332535,36.2,0.46826285862268546,0.7931258919190322,0.5932636489110511,0.1786392014407741,0.41135905724987004,20.74734560017086,0.380772850619722,0.09854211454443157,0.18106762030973492,0.20400178915497866,-0.02293416884524374,0,0,1
holdout,20260424,sparse_full_noisy,mid_skew,1.2370805507722022,-0.2678446141747568,36,0.4699066977329898,23.4,0.5494829421550164,0.7159502142915177,0.7802113817244831,0.22876015280434644,0.5106724644702989,14.07423906015301,0.019726712669818874,0.15248997815347196,0.024679369357251613,0.24328886091313945,-0.21860949155588782,0,0,1
holdout,20260424,sparse_full_noisy,high_skew,1.1240444792751552,0.6531923374747928,11,0.8105328577517457,47.0,0.2519061601852364,0.8323554701131404,0.30383101960167924,0.06908300378792023,0.1885743765994495,28.38874510192354,0.11197911752379536,0.015529912915187386,0.1079309389616651,0.11784329170937406,-0.009912352747708963,0,1,0
holdout,20260424,sparse_partial_high_noise,low_skew,0.7901446823273661,-0.11149395428809702,51,0.6568931677256151,110.0,0.5712137092713883,0.9163417149241819,0.6238700791860337,0.1709586617846583,0.4374574252381528,59.12403023057696,0.03571916981300463,0.07039091430856598,0.39905355759674577,0.23286829925669408,0.16618525834005168,1,0,1
holdout,20260424,sparse_partial_high_noise,mid_skew,0.8649653549713395,-0.2613324334384325,2,0.721395694288011,92.6,0.42928998959751336,0.8884171253505851,0.48337418757044015,0.12399555381411827,0.3311195398519872,50.581919117261286,0.26590490459570243,0.02718734177136244,0.11666623922307998,0.1270523273348096,-0.010386088111729613,0,1,0
holdout,20260424,sparse_partial_high_noise,high_skew,1.2822085684698488,0.4737218196896238,35,0.5071606081742754,91.8,0.7455928308527424,0.8907641935866668,0.8377302133744952,0.27847586017762144,0.6342187617217324,50.85616949795603,0.5683813192832111,0.06161381191495541,0.43206645466124527,0.251434294237807,0.18063216042343827,1,0,1
confirmation,20260425,sparse_full_noisy,low_skew,1.1796315323071715,0.16422008158074786,57,0.32025918009420706,3.6,0.10732994711619588,0.28672260504329156,0.6546524531311183,0.03532292471036151,0.09788604151517155,2.498723121964669,0.046540059088622104,0.07492504809601247,0.029684923049826173,0.027665584372661957,0.002019338677164216,1,1,0
confirmation,20260425,sparse_full_noisy,mid_skew,1.1188307723106752,0.4398380556486153,28,0.657028965889596,21.6,0.3225915510254872,0.7702607198413636,0.42133884305594804,0.11930180779965693,0.2669045068785679,12.992962023247808,0.2459643016377893,0.057019975593221986,0.14265517461607685,0.13457837072494416,0.008076803891132689,1,1,0
confirmation,20260425,sparse_full_noisy,high_skew,0.8339713012585691,-0.45060961323439513,42,0.45254238740345587,11.6,0.36854323433011205,0.6588546444726565,0.5688885590839596,0.14885891007538726,0.34401633962062544,6.630866124799951,0.3041218572992644,0.1069913140771396,0.2593868804564677,0.1705677323726471,0.08881914808382058,1,0,1
confirmation,20260425,sparse_partial_high_noise,low_skew,1.1495547960554364,0.03523116428113053,17,0.820395891309359,89.0,0.38012795246109193,0.8959511365490849,0.42453838499282026,0.10057578355498578,0.26924715563027235,46.579535210118,0.02933873774334768,0.03129921229120765,0.24359221780553,0.15635441148425838,0.08723780632127162,1,0,1
confirmation,20260425,sparse_partial_high_noise,mid_skew,1.1089816388146323,0.41077650719586833,48,0.7885969519203744,96.2,0.48173830031421866,0.9138922475192086,0.5281209404502063,0.13337455738211618,0.3649474971859128,53.17911879782931,0.21791611833670022,0.02595369504019993,0.0864433507403265,0.09147566394415754,-0.005032313203831046,0,1,0
confirmation,20260425,sparse_partial_high_noise,high_skew,1.2826531927841773,-0.5313299359465913,24,0.5305759162782319,110.6,0.8647974952922726,0.9070518247468871,0.9537672225713985,0.30649495572246815,0.7358460293574319,63.74690242485108,0.6667916770653108,0.04981519214806283,0.16709550212976573,0.19899411494783598,-0.03189861281807024,0,0,1
confirmation,20260426,sparse_full_noisy,low_skew,1.2103793013687527,0.04212600469119543,42,0.349149003394869,8.4,0.41710241244475676,0.5428398510876226,0.8870222064296625,0.16885113613982514,0.3936968008625127,4.965732616046049,0.4344708723523424,0.08403794703062423,0.09991193761376346,0.17285077707796773,-0.07293883946420426,0,0,1
confirmation,20260426,sparse_full_noisy,mid_skew,1.1128276435635405,-0.35023869377937256,59,0.5747078746173335,32.6,0.38497013915064016,0.8279156214100357,0.46600714541693655,0.1385960681336645,0.3269915516457442,19.988548591825655,0.2877248286089051,0.052243850347519286,0.1582595346262054,0.13416208213775577,0.024097452488449633,1,1,0
confirmation,20260426,sparse_full_noisy,high_skew,0.8937364337370768,-0.5769045728103854,17,0.744979984331923,40.8,0.2736387897598069,0.8238572072553844,0.3328906984431189,0.07962492198603485,0.22252686087395004,26.12774265962579,0.16405856888107254,0.020599877381826625,0.09607590698000998,0.10753280420874711,-0.011456897228737134,0,1,0
confirmation,20260426,sparse_partial_high_noise,low_skew,0.8367153816937006,-0.09721380364975842,58,0.7460834157242705,90.2,0.47957361440680424,0.9173436427096556,0.5230164988924114,0.1356703059645059,0.3674646150736613,49.99710932764298,0.3162609632284565,0.06119504628727436,0.09923775665846224,0.14962140535881452,-0.05038364870035228,0,1,0
confirmation,20260426,sparse_partial_high_noise,mid_skew,1.2188639297390595,-0.2911026935130036,30,0.543334855871309,105.6,0.6366183985369614,0.9026619265602427,0.7061048447538161,0.2279490313161397,0.5548657834374509,58.66422853199165,0.46490626273953917,0.07611624522107155,0.11408443465175319,0.20916340001658895,-0.09507896536483576,0,0,1
confirmation,20260426,sparse_partial_high_noise,high_skew,0.8019425689008923,-0.6495091928693849,42,0.6662746160269816,105.4,0.5136310551657424,0.9196930592918611,0.5592869610707524,0.14893342806563628,0.3879827759804786,57.89750659745546,0.31994845956690054,0.062169837106536015,0.16999525871293947,0.19270464215900046,-0.022709383446060993,0,0,1
confirmation,20260427,sparse_full_noisy,low_skew,1.2484364223773405,-0.05535812108117959,3,0.48698043317574957,26.2,0.5206668074270342,0.6766818727434709,0.7928095349338813,0.20786875786845718,0.49235502142682525,16.584971347724796,0.44774196140932954,0.17553450445833207,0.10067840534392367,0.257578259676903,-0.15689985433297934,0,0,1
confirmation,20260427,sparse_full_noisy,mid_skew,1.142549518606605,-0.4232779746677641,60,0.6235858074262983,23.6,0.3535276582367769,0.7677627600943113,0.47464427703476986,0.13555906637511828,0.3239317265956275,15.272205158095437,0.26590490459570243,0.06543221952156233,0.1106141150576287,0.15325512534304372,-0.04264101028541502,0,0,1
confirmation,20260427,sparse_full_noisy,high_skew,1.1904656127747277,-0.48602453422396796,60,0.3948964550800817,15.0,0.4429041809469699,0.6942221154306121,0.6389790549747035,0.14709723394739718,0.34047903099936133,8.64723410037634,0.40715489739771504,0.13332548819031254,0.08487211968613413,0.10068370203028136,-0.01581158234414723,0,1,0
confirmation,20260427,sparse_partial_high_noise,low_skew,1.1919344353632797,-0.14797549125154508,6,0.5927323741949319,85.6,0.6475824337714295,0.9032006737413057,0.7176462397293479,0.21951816253177378,0.5319589982820551,46.788448583250194,0.48175598213464366,0.09593298992500955,0.12862582325384994,0.15997938660422029,-0.031353563350370345,0,0,1
confirmation,20260427,sparse_partial_high_noise,mid_skew,0.8371333086222645,0.323964267389595,6,0.7434967650956128,86.4,0.44755169851471,0.8881097807311302,0.504511181796189,0.13316259245662745,0.34548309982228587,46.59703034334376,0.26590490459570243,0.017553131053063425,0.14505661120865065,0.17202174210739388,-0.026965130898743223,0,0,1
confirmation,20260427,sparse_partial_high_noise,high_skew,0.8731351834837112,-0.6812330477156526,52,0.6395177587806458,93.4,0.570426816928871,0.904560999413652,0.6309840853700888,0.1794657492251917,0.43883451015701197,52.05112743996743,0.3679343082068783,0.07199384008924808,0.15098639571057776,0.14860763445907826,0.002378761251499495,1,1,0
